epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,228.694,0.38147,0.32123,0.87102,0.99736,0.99013,0.99489,0.95217,0.3539,0.25128,0.70205,0.000885523,0.000885523,0.000885523
43,234.182,0.37455,0.32671,0.86554,0.99575,0.99456,0.995,0.95688,0.33078,0.22485,0.69335,0.000880023,0.000880023,0.000880023
44,239.674,0.37538,0.31148,0.8757,0.99704,0.99429,0.99468,0.94629,0.34178,0.24212,0.69232,0.000874524,0.000874524,0.000874524
45,245.162,0.37629,0.31408,0.87816,0.99692,0.99066,0.995,0.96074,0.33439,0.26535,0.68795,0.000869024,0.000869024,0.000869024
46,250.705,0.36772,0.30538,0.88572,0.99438,1,0.995,0.95494,0.32463,0.22529,0.68879,0.000863525,0.000863525,0.000863525
47,256.161,0.36523,0.31064,0.8728,0.99582,0.9948,0.995,0.95582,0.33294,0.24173,0.69223,0.000858025,0.000858025,0.000858025
48,261.699,0.37095,0.32982,0.86321,0.99045,1,0.995,0.96075,0.33714,0.22866,0.6895,0.000852526,0.000852526,0.000852526
49,267.228,0.36237,0.31172,0.87368,0.99435,0.99833,0.995,0.9486,0.34083,0.23726,0.69535,0.000847026,0.000847026,0.000847026
50,272.683,0.35602,0.30609,0.86638,0.99153,0.99882,0.995,0.95655,0.3265,0.22912,0.68265,0.000841527,0.000841527,0.000841527
51,278.19,0.35963,0.30298,0.87386,0.99586,0.99444,0.995,0.95934,0.32159,0.22823,0.68427,0.000836027,0.000836027,0.000836027
52,283.845,0.39079,0.30226,0.87152,0.99404,0.99877,0.995,0.95923,0.32929,0.22182,0.68985,0.000830528,0.000830528,0.000830528
53,289.372,0.37543,0.31014,0.87007,0.99789,0.99012,0.995,0.9512,0.3337,0.22378,0.68848,0.000825029,0.000825029,0.000825029
54,294.911,0.37511,0.30271,0.87586,0.99412,1,0.995,0.94753,0.3354,0.22481,0.69138,0.000819529,0.000819529,0.000819529
55,300.398,0.3554,0.27369,0.87633,0.9964,0.99472,0.995,0.95324,0.33032,0.22678,0.68343,0.00081403,0.00081403,0.00081403
56,305.875,0.35992,0.28877,0.87285,0.9977,0.99002,0.995,0.95248,0.33389,0.20726,0.68807,0.00080853,0.00080853,0.00080853
