stamp,track_id,class,class_name,ns,est_x,est_y,est_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aquabot_x,aquabot_y,aquabot_z,aq_range_est,aq_range_gt,aq_range_err
136.984000,0,0,container1,drone1,11.102181,-4.740957,0.000000,container1,14.314788,-5.052656,-1.837161,-3.212606,0.311698,1.837161,3.713914,-0.550643,-0.045344,0.000000,12.563324,15.793333,-3.230009
137.016000,0,0,container1,drone1,11.097808,-4.748079,0.000000,container1,14.314788,-5.052656,-1.837161,-3.216979,0.304577,1.837161,3.717107,-0.550675,-0.045340,0.000000,12.561963,15.793364,-3.231401
137.052000,0,0,container1,drone1,11.093013,-4.748340,0.000000,container1,14.314692,-5.052520,-1.836628,-3.221680,0.304180,1.836628,3.720880,-0.550739,-0.045332,0.000000,12.557676,15.793232,-3.235556
137.084000,0,0,container1,drone1,11.092846,-4.750002,0.000000,container1,14.314599,-5.052383,-1.836085,-3.221753,0.302381,1.836085,3.720528,-0.550802,-0.045324,0.000000,12.558206,15.793100,-3.234893
137.116000,0,0,container1,drone1,11.092959,-4.751305,0.000000,container1,14.314508,-5.052246,-1.835532,-3.221548,0.300941,1.835532,3.719962,-0.550833,-0.045320,0.000000,12.558829,15.792937,-3.234107
137.152000,0,0,container1,drone1,11.095457,-4.753105,0.000000,container1,14.314418,-5.052108,-1.834970,-3.218961,0.299003,1.834970,3.717288,-0.550896,-0.045312,0.000000,12.561880,15.792804,-3.230924
137.184000,0,0,container1,drone1,11.100290,-4.753971,0.000000,container1,14.314330,-5.051969,-1.834400,-3.214040,0.297998,1.834400,3.712664,-0.550958,-0.045305,0.000000,12.566746,15.792672,-3.225926
137.216000,0,0,container1,drone1,11.103460,-4.755767,0.000000,container1,14.314243,-5.051830,-1.833821,-3.210783,0.296063,1.833821,3.709404,-0.551049,-0.045293,0.000000,12.570448,15.792569,-3.222121
137.248000,0,0,container1,drone1,11.105719,-4.757793,0.000000,container1,14.314243,-5.051830,-1.833821,-3.208524,0.294038,1.833821,3.707288,-0.551049,-0.045293,0.000000,12.573301,15.792569,-3.219268
137.284000,0,0,container1,drone1,11.110337,-4.760223,0.000000,container1,14.314076,-5.051551,-1.832642,-3.203739,0.291327,1.832642,3.702349,-0.551110,-0.045286,0.000000,12.578552,15.792245,-3.213693
137.316000,0,0,container1,drone1,11.114251,-4.762184,0.000000,container1,14.313994,-5.051411,-1.832042,-3.199744,0.289227,1.832042,3.698431,-0.551169,-0.045278,0.000000,12.582974,15.792113,-3.209139
137.348000,0,0,container1,drone1,11.117590,-4.763534,0.000000,container1,14.313994,-5.051411,-1.832042,-3.196404,0.287877,1.832042,3.695437,-0.551199,-0.045275,0.000000,12.586604,15.792142,-3.205538
137.380000,0,0,container1,drone1,11.122660,-4.764704,0.000000,container1,14.313836,-5.051130,-1.830823,-3.191176,0.286426,1.830823,3.690198,-0.551258,-0.045267,0.000000,12.591801,15.791821,-3.200020
