stamp,ns,class,score,u,v,world_x,world_y,world_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aquabot_x,aquabot_y,aquabot_z,aq_det_range,aq_gt_range,aq_range_err
136.492000,drone1,0,0.901170,254.126129,47.722065,11.169050,-4.700972,0.000000,container1,14.316457,-5.054554,-1.843617,-3.147407,0.353582,1.843617,3.664712,-0.555022,-0.030946,-0.257871,12.622580,15.776949,-3.154369
136.984000,drone1,0,0.900850,247.877716,61.915382,11.072618,-4.758635,0.000000,container1,14.314984,-5.052925,-1.838197,-3.242365,0.294290,1.838197,3.738784,-0.556419,-0.032551,-0.242925,12.555055,15.776808,-3.221753
137.016000,drone1,0,0.901459,247.157928,61.722965,11.092351,-4.757731,0.000000,container1,14.314885,-5.052791,-1.837684,-3.222534,0.295060,1.837684,3.721407,-0.556637,-0.032609,-0.241445,12.573145,15.776956,-3.203811
137.052000,drone1,0,0.902836,246.099792,62.836510,11.083181,-4.747957,0.000000,container1,14.314788,-5.052656,-1.837161,-3.231607,0.304698,1.837161,3.729784,-0.556705,-0.032756,-0.240657,12.560970,15.776866,-3.215896
137.084000,drone1,0,0.906410,245.610291,63.182892,11.094296,-4.754207,0.000000,container1,14.314692,-5.052520,-1.836628,-3.220397,0.298312,1.836628,3.719294,-0.556646,-0.032880,-0.239927,12.573502,15.776659,-3.203157
137.116000,drone1,0,0.911364,244.943420,63.938164,11.095904,-4.755043,0.000000,container1,14.314508,-5.052246,-1.835532,-3.218603,0.297203,1.835532,3.717111,-0.556921,-0.032920,-0.238457,12.575518,15.776681,-3.201164
137.152000,drone1,0,0.913575,244.287140,64.232994,11.110810,-4.759592,0.000000,container1,14.314418,-5.052108,-1.834970,-3.203608,0.292515,1.834970,3.703482,-0.556646,-0.033130,-0.238386,12.590703,15.776177,-3.185474
137.184000,drone1,0,0.913996,243.602295,64.162613,11.129877,-4.756294,0.000000,container1,14.314418,-5.052108,-1.834970,-3.184541,0.295814,1.834970,3.687265,-0.556938,-0.033166,-0.236907,12.607367,15.776590,-3.169224
137.216000,drone1,0,0.914636,243.386627,65.057877,11.124968,-4.763944,0.000000,container1,14.314330,-5.051969,-1.834400,-3.189361,0.288026,1.834400,3.690529,-0.557197,-0.033210,-0.235468,12.605882,15.776781,-3.170899
137.248000,drone1,0,0.917739,243.020020,65.878799,11.122058,-4.767803,0.000000,container1,14.314243,-5.051830,-1.833821,-3.192185,0.284027,1.833821,3.692373,-0.557166,-0.033348,-0.234907,12.604543,15.776581,-3.172037
137.284000,drone1,0,0.919623,242.525269,65.868896,11.143070,-4.772559,0.000000,container1,14.314243,-5.051830,-1.833821,-3.171173,0.279271,1.833821,3.673858,-0.557176,-0.033466,-0.233928,12.625747,15.776653,-3.150905
137.316000,drone1,0,0.920929,241.933746,66.713730,11.141611,-4.771579,0.000000,container1,14.314159,-5.051691,-1.833235,-3.172548,0.280112,1.833235,3.674816,-0.557397,-0.033529,-0.232544,12.624182,15.776797,-3.152615
137.348000,drone1,0,0.919874,241.253174,67.564606,11.140106,-4.768209,0.000000,container1,14.314076,-5.051551,-1.832642,-3.173970,0.283342,1.832642,3.675996,-0.557451,-0.033645,-0.231772,12.621516,15.776707,-3.155191
137.380000,drone1,0,0.920587,240.530991,67.780518,11.157412,-4.767873,0.000000,container1,14.313915,-5.051271,-1.831436,-3.156503,0.283398,1.831436,3.660325,-0.557448,-0.033761,-0.231019,12.637370,15.776380,-3.139010
137.412000,drone1,0,0.921682,240.090820,68.051750,11.173427,-4.775323,0.000000,container1,14.313836,-5.051130,-1.830823,-3.140409,0.275808,1.830823,3.645567,-0.557734,-0.033813,-0.229658,12.655228,15.776591,-3.121363
137.448000,drone1,0,0.921238,239.073792,68.330719,11.192873,-4.769917,0.000000,container1,14.313836,-5.051130,-1.830823,-3.120963,0.281213,1.830823,3.629243,-0.557469,-0.034011,-0.229462,12.670912,15.776298,-3.105386
137.480000,drone1,0,0.921504,238.327942,68.665665,11.202620,-4.764195,0.000000,container1,14.313759,-5.050990,-1.830206,-3.111139,0.286795,1.830206,3.620924,-0.557767,-0.034050,-0.228100,12.678053,15.776525,-3.098472
137.512000,drone1,0,0.922140,237.861145,70.666367,11.170743,-4.762730,0.000000,container1,14.313684,-5.050850,-1.829583,-3.142941,0.288119,1.829583,3.648077,-0.558013,-0.034098,-0.226782,12.648127,15.776696,-3.128569
137.548000,drone1,0,0.919449,237.304718,69.746696,11.211916,-4.764485,0.000000,container1,14.313537,-5.050569,-1.828322,-3.101621,0.286084,1.828322,3.611739,-0.557881,-0.034264,-0.226353,12.686779,15.776207,-3.089428
137.580000,drone1,0,0.923182,236.630829,70.570038,11.208928,-4.761213,0.000000,container1,14.313537,-5.050569,-1.828322,-3.104609,0.289356,1.828322,3.614566,-0.558019,-0.034332,-0.225244,12.682870,15.776428,-3.093558
137.612000,drone1,0,0.927356,236.340240,70.706734,11.222069,-4.769217,0.000000,container1,14.313466,-5.050429,-1.827686,-3.091397,0.281213,1.827686,3.602256,-0.558261,-0.034379,-0.223978,12.698230,15.776594,-3.078364
137.644000,drone1,0,0.929419,235.680191,70.975319,11.232534,-4.767278,0.000000,container1,14.313396,-5.050290,-1.827045,-3.080861,0.283012,1.827045,3.593035,-0.558132,-0.034517,-0.223563,12.707038,15.776294,-3.069256
137.680000,drone1,0,0.925677,235.236328,72.606506,11.210312,-4.772937,0.000000,container1,14.313327,-5.050151,-1.826401,-3.103014,0.277214,1.826401,3.611272,-0.558255,-0.034599,-0.222450,12.688598,15.776323,-3.087725
137.712000,drone1,0,0.924279,235.303024,73.392731,11.205765,-4.791528,0.000000,container1,14.313259,-5.050012,-1.825754,-3.107494,0.258484,1.825754,3.613407,-0.558513,-0.034643,-0.221223,12.691538,15.776504,-3.084965
137.744000,drone1,0,0.925691,234.734955,74.078926,11.204527,-4.793663,0.000000,container1,14.313193,-5.049874,-1.825104,-3.108666,0.256211,1.825104,3.613925,-0.558406,-0.034765,-0.220717,12.691037,15.776243,-3.085206
137.776000,drone1,0,0.930385,233.792023,73.731094,11.227465,-4.788983,0.000000,container1,14.313193,-5.049874,-1.825104,-3.085728,0.260891,1.825104,3.594549,-0.558517,-0.034833,-0.219747,12.710610,15.776424,-3.065815
137.808000,drone1,0,0.935768,232.985779,73.506683,11.246649,-4.788334,0.000000,container1,14.313127,-5.049737,-1.824451,-3.066478,0.261403,1.824451,3.577743,-0.558703,-0.034890,-0.218788,12.728293,15.776507,-3.048214
137.844000,drone1,0,0.935458,232.098862,74.015152,11.249590,-4.786867,0.000000,container1,14.313000,-5.049464,-1.823139,-3.063410,0.262597,1.823139,3.574531,-0.558601,-0.035010,-0.218170,12.730323,15.776095,-3.045772
137.876000,drone1,0,0.936391,231.558197,74.538422,11.249887,-4.790555,0.000000,container1,14.313000,-5.049464,-1.823139,-3.063113,0.258909,1.823139,3.574007,-0.558805,-0.035051,-0.217086,12.732131,15.776385,-3.044254
137.908000,drone1,0,0.933727,231.516403,75.607903,11.236062,-4.806144,0.000000,container1,14.312937,-5.049329,-1.822479,-3.076875,0.243185,1.822479,3.584373,-0.558960,-0.035108,-0.216158,12.725253,15.776438,-3.051186
137.944000,drone1,0,0.921650,231.103241,76.494896,11.228706,-4.814539,0.000000,container1,14.312815,-5.049061,-1.821156,-3.084109,0.234522,1.821156,3.589337,-0.558852,-0.035220,-0.215539,12.721434,15.776029,-3.054596
137.976000,drone1,0,0.916427,230.939148,78.297142,11.196199,-4.824590,0.000000,container1,14.312815,-5.049061,-1.821156,-3.116616,0.224471,1.821156,3.616669,-0.559054,-0.035260,-0.214497,12.695261,15.776312,-3.081052
138.008000,drone1,0,0.917207,230.744156,78.422676,11.204621,-4.835231,0.000000,container1,14.312756,-5.048929,-1.820492,-3.108134,0.213698,1.820492,3.608373,-0.559209,-0.035313,-0.213602,12.707185,15.776368,-3.069183
138.040000,drone1,0,0.919116,230.682526,78.951416,11.202967,-4.848952,0.000000,container1,14.312639,-5.048668,-1.819161,-3.109672,0.199716,1.819161,3.608226,-0.559072,-0.035411,-0.213094,12.710671,15.775930,-3.065260
138.076000,drone1,0,0.916973,230.148590,79.724945,11.198133,-4.854391,0.000000,container1,14.312639,-5.048668,-1.819161,-3.114505,0.194277,1.819161,3.612096,-0.559269,-0.035460,-0.211988,12.708405,15.776213,-3.067808
138.108000,drone1,0,0.915757,229.749115,79.768303,11.209967,-4.862947,0.000000,container1,14.312581,-5.048539,-1.818494,-3.102614,0.185592,1.818494,3.601053,-0.559383,-0.035512,-0.211187,12.722669,15.776222,-3.053553
138.140000,drone1,0,0.915923,229.165894,79.669647,11.225497,-4.867113,0.000000,container1,14.312581,-5.048539,-1.818494,-3.087084,0.181426,1.818494,3.587468,-0.559324,-0.035590,-0.210612,12.738523,15.776201,-3.037678
138.172000,drone1,0,0.921089,227.888977,80.329865,11.223521,-4.853423,0.000000,container1,14.312468,-5.048285,-1.817159,-3.088947,0.194863,1.817159,3.589099,-0.559586,-0.035610,-0.209595,12.731727,15.776222,-3.044495
138.204000,drone1,0,0.923281,227.190369,80.973053,11.221458,-4.856040,0.000000,container1,14.312413,-5.048160,-1.816491,-3.090954,0.192120,1.816491,3.590341,-0.559631,-0.035671,-0.208917,12.730815,15.776153,-3.045338
138.240000,drone1,0,0.923560,226.455933,81.375137,11.226972,-4.860808,0.000000,container1,14.312358,-5.048037,-1.815822,-3.085386,0.187230,1.815822,3.584950,-0.559549,-0.035744,-0.208205,12.737609,15.775967,-3.038358
138.272000,drone1,0,0.923542,226.334503,82.313805,11.216401,-4.878156,0.000000,container1,14.312358,-5.048037,-1.815822,-3.095957,0.169882,1.815822,3.593191,-0.559780,-0.035769,-0.207227,12.734602,15.776276,-3.041674
138.304000,drone1,0,0.927184,226.345093,83.338127,11.203251,-4.898620,0.000000,container1,14.312303,-5.047915,-1.815153,-3.109052,0.149296,1.815153,3.603231,-0.559706,-0.035834,-0.206662,12.730143,15.776085,-3.045942
138.340000,drone1,0,0.929140,224.772690,83.634056,11.211302,-4.880875,0.000000,container1,14.312249,-5.047795,-1.814483,-3.100947,0.166921,1.814483,3.596677,-0.559769,-0.035883,-0.205850,12.730846,15.776055,-3.045209
138.372000,drone1,0,0.928626,224.107727,84.242470,11.207823,-4.880284,0.000000,container1,14.312196,-5.047677,-1.813814,-3.104373,0.167393,1.813814,3.599315,-0.559995,-0.035900,-0.204910,12.727591,15.776201,-3.048610
138.404000,drone1,0,0.930627,223.578537,83.989075,11.224716,-4.882047,0.000000,container1,14.312143,-5.047560,-1.813145,-3.087426,0.165514,1.813145,3.584284,-0.560050,-0.035944,-0.204254,12.743906,15.776151,-3.032245
138.436000,drone1,0,0.930647,222.528412,83.963646,11.236516,-4.869656,0.000000,container1,14.312090,-5.047445,-1.812475,-3.075574,0.177789,1.812475,3.574329,-0.560000,-0.035991,-0.203608,12.750041,15.776000,-3.025959
138.472000,drone1,0,0.934608,222.031250,84.490807,11.238866,-4.875352,0.000000,container1,14.312037,-5.047332,-1.811806,-3.073172,0.171980,1.811806,3.571638,-0.560216,-0.036013,-0.202660,12.754552,15.776139,-3.021588
138.504000,drone1,0,0.932856,220.714996,84.075188,11.266212,-4.860268,0.000000,container1,14.311985,-5.047221,-1.811136,-3.045773,0.186953,1.811136,3.548506,-0.560258,-0.036050,-0.202014,12.774164,15.776080,-3.001916
138.536000,drone1,0,0.933277,220.091187,84.171303,11.280186,-4.862770,0.000000,container1,14.311933,-5.047112,-1.810466,-3.031746,0.184342,1.810466,3.535994,-0.560201,-0.036085,-0.201380,12.787971,15.775928,-2.987957
138.568000,drone1,0,0.931823,219.426788,84.735611,11.281917,-4.861535,0.000000,container1,14.311881,-5.047005,-1.809797,-3.029964,0.185469,1.809797,3.534182,-0.560458,-0.036091,-0.200522,12.789330,15.776105,-2.986775
138.600000,drone1,0,0.930667,219.111374,85.163513,11.285988,-4.867561,0.000000,container1,14.311829,-5.046900,-1.809127,-3.025841,0.179339,1.809127,3.529988,-0.560611,-0.036103,-0.199683,12.795498,15.776180,-2.980683
138.636000,drone1,0,0.928205,218.548309,85.786888,11.287237,-4.868617,0.000000,container1,14.311829,-5.046900,-1.809127,-3.024592,0.178282,1.809127,3.528864,-0.560330,-0.036153,-0.199216,12.796767,15.775947,-2.979180
138.668000,drone1,0,0.926342,218.007965,86.299637,11.290924,-4.870101,0.000000,container1,14.311777,-5.046797,-1.808457,-3.020854,0.176696,1.808457,3.525237,-0.560642,-0.036151,-0.198397,12.801018,15.776176,-2.975159
138.700000,drone1,0,0.925619,217.673431,87.257317,11.284884,-4.877904,0.000000,container1,14.311726,-5.046696,-1.807787,-3.026841,0.168791,1.807787,3.529639,-0.560583,-0.036176,-0.197875,12.798304,15.776016,-2.977712
138.736000,drone1,0,0.924846,216.821762,88.093140,11.284492,-4.874491,0.000000,container1,14.311674,-5.046597,-1.807117,-3.027183,0.172106,1.807117,3.529749,-0.560583,-0.036187,-0.197128,12.796634,15.775941,-2.979307
138.768000,drone1,0,0.925545,216.245728,88.374931,11.295432,-4.875077,0.000000,container1,14.311571,-5.046407,-1.805776,-3.016139,0.171330,1.805776,3.519556,-0.560778,-0.036187,-0.196336,12.807152,15.775911,-2.968760
138.800000,drone1,0,0.925165,215.743225,89.077751,11.295824,-4.875268,0.000000,container1,14.311520,-5.046315,-1.805105,-3.015696,0.171047,1.805105,3.518818,-0.560853,-0.036197,-0.195728,12.807643,15.775895,-2.968252
138.832000,drone1,0,0.924355,214.955383,90.007828,11.290773,-4.867656,0.000000,container1,14.311468,-5.046226,-1.804433,-3.020695,0.178570,1.804433,3.523133,-0.560768,-0.036199,-0.195139,12.800003,15.775728,-2.975725
138.868000,drone1,0,0.923014,214.853104,90.822212,11.288954,-4.878937,0.000000,container1,14.311468,-5.046226,-1.804433,-3.022514,0.167289,1.804433,3.524139,-0.560982,-0.036194,-0.194325,12.802769,15.776014,-2.973245
138.900000,drone1,0,0.920859,215.613785,91.867088,11.277241,-4.909954,0.000000,container1,14.311416,-5.046139,-1.803761,-3.034176,0.136185,1.803761,3.532467,-0.560918,-0.036196,-0.193806,12.803635,15.775861,-2.972226
138.932000,drone1,0,0.920952,215.280975,92.242584,11.283166,-4.912708,0.000000,container1,14.311364,-5.046054,-1.803087,-3.028198,0.133346,1.803087,3.526881,-0.560946,-0.036195,-0.193148,12.810179,15.775811,-2.965632
138.964000,drone1,0,0.922077,214.678024,92.933090,11.281044,-4.908139,0.000000,container1,14.311312,-5.045972,-1.802413,-3.030268,0.137834,1.802413,3.528486,-0.561173,-0.036193,-0.192415,12.806677,15.775956,-2.969279
139.000000,drone1,0,0.922589,214.242889,93.295868,11.288082,-4.910078,0.000000,container1,14.311260,-5.045893,-1.801738,-3.023178,0.135815,1.801738,3.521975,-0.561073,-0.036190,-0.191842,12.813822,15.775777,-2.961955
139.032000,drone1,0,0.922696,213.420517,93.960899,11.286099,-4.899967,0.000000,container1,14.311260,-5.045893,-1.801738,-3.025160,0.145926,1.801738,3.524081,-0.561097,-0.036183,-0.191199,12.808162,15.775868,-2.967706
139.064000,drone1,0,0.922327,212.716400,94.686172,11.283790,-4.893315,0.000000,container1,14.311207,-5.045816,-1.801062,-3.027417,0.152501,1.801062,3.525952,-0.561332,-0.036175,-0.190491,12.803711,15.776022,-2.972311
139.096000,drone1,0,0.922688,212.469208,94.779289,11.299113,-4.900334,0.000000,container1,14.311154,-5.045742,-1.800385,-3.012041,0.145408,1.800385,3.512111,-0.561163,-0.036159,-0.190012,12.820392,15.775774,-2.955382
139.128000,drone1,0,0.920240,211.627014,94.994629,11.311834,-4.891411,0.000000,container1,14.311101,-5.045670,-1.799706,-2.999266,0.154259,1.799706,3.501191,-0.561271,-0.036149,-0.189349,12.828876,15.775805,-2.946928
139.164000,drone1,0,0.921559,211.209824,94.498390,11.344336,-4.896154,0.000000,container1,14.311047,-5.045601,-1.799025,-2.966711,0.149447,1.799025,3.472780,-0.561455,-0.036137,-0.188600,12.860917,15.775916,-2.914998
139.196000,drone1,0,0.925020,210.614426,94.850838,11.353608,-4.893517,0.000000,container1,14.310994,-5.045535,-1.798343,-2.957386,0.152018,1.798343,3.464575,-0.561284,-0.036115,-0.188120,12.868348,15.775669,-2.907321
139.228000,drone1,0,0.925046,210.240936,96.030746,11.341901,-4.895805,0.000000,container1,14.310939,-5.045472,-1.797658,-2.969038,0.149666,1.797658,3.474070,-0.561391,-0.036097,-0.187472,12.858471,15.775701,-2.917230
139.264000,drone1,0,0.925819,209.720230,96.292656,11.356082,-4.897342,0.000000,container1,14.310885,-5.045411,-1.796972,-2.954803,0.148069,1.796972,3.461487,-0.561584,-0.036076,-0.186744,12.872356,15.775823,-2.903468
139.296000,drone1,0,0.924891,209.583344,97.112831,11.354564,-4.907585,0.000000,container1,14.310830,-5.045353,-1.796283,-2.956266,0.137769,1.796283,3.461953,-0.561402,-0.036039,-0.186264,12.874662,15.775572,-2.900911
139.328000,drone1,0,0.925685,208.366821,98.303802,11.344441,-4.889018,0.000000,container1,14.310774,-5.045298,-1.795592,-2.966334,0.156280,1.795592,3.470981,-0.561500,-0.036014,-0.185624,12.858364,15.775597,-2.917233
139.360000,drone1,0,0.924597,207.639038,99.453384,11.334378,-4.883146,0.000000,container1,14.310718,-5.045246,-1.794898,-2.976341,0.162100,1.794898,3.479445,-0.561695,-0.035994,-0.184950,12.847009,15.775716,-2.928707
139.396000,drone1,0,0.923856,207.285065,99.916595,11.341700,-4.888888,0.000000,container1,14.310662,-5.045197,-1.794201,-2.968962,0.156309,1.794201,3.472510,-0.561482,-0.035943,-0.184406,12.855770,15.775447,-2.919677
139.428000,drone1,0,0.924988,206.652435,99.982368,11.357160,-4.885953,0.000000,container1,14.310605,-5.045150,-1.793501,-2.953446,0.159197,1.793501,3.459021,-0.561598,-0.035915,-0.183770,12.869088,15.775491,-2.906402
