stamp,ns,class,score,u,v,world_x,world_y,world_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aquabot_x,aquabot_y,aquabot_z,aq_det_range,aq_gt_range,aq_range_err
119.132000,drone2,0,0.915036,551.688171,58.502075,11.514021,-5.614334,0.000000,container1,14.423786,-5.045538,-1.538572,-2.909764,-0.568797,1.538572,3.340279,-0.469161,-0.035902,0.163718,13.219016,15.804876,-2.585861
119.164000,drone2,0,0.912202,551.479614,60.552029,11.491125,-5.617252,0.000000,container1,14.423675,-5.045465,-1.532921,-2.932550,-0.571787,1.532921,3.358070,-0.469769,-0.035929,0.165960,13.200064,15.804946,-2.604882
119.200000,drone2,0,0.910714,551.433960,60.695778,11.516627,-5.622159,0.000000,container1,14.423675,-5.045465,-1.532921,-2.907049,-0.576694,1.532921,3.336668,-0.470300,-0.035959,0.171059,13.225781,15.805986,-2.580205
119.232000,drone2,0,0.907693,551.669189,60.411308,11.549021,-5.632462,0.000000,container1,14.423571,-5.045392,-1.527405,-2.874550,-0.587069,1.527405,3.307666,-0.470881,-0.035978,0.172903,13.260037,15.806011,-2.545974
119.264000,drone2,0,0.908056,551.625793,61.132072,11.556790,-5.639052,0.000000,container1,14.423571,-5.045392,-1.527405,-2.866781,-0.593659,1.527405,3.302095,-0.471515,-0.035996,0.174488,13.270448,15.806773,-2.536325
119.296000,drone2,0,0.917079,550.971863,63.352165,11.527457,-5.635355,0.000000,container1,14.423473,-5.045321,-1.522027,-2.896015,-0.590034,1.522027,3.324397,-0.472016,-0.036011,0.178482,13.242805,15.806977,-2.564172
119.328000,drone2,0,0.919079,550.857056,63.856245,11.538534,-5.641316,0.000000,container1,14.423380,-5.045251,-1.516790,-2.884846,-0.596065,1.516790,3.313349,-0.472580,-0.036026,0.180125,13.255888,15.807007,-2.551118
119.364000,drone2,0,0.920985,551.141541,64.183012,11.555640,-5.657209,0.000000,container1,14.423292,-5.045182,-1.511695,-2.867653,-0.612027,1.511695,3.298974,-0.473269,-0.036044,0.181581,13.278747,15.807157,-2.528410
119.396000,drone2,0,0.915886,550.971191,64.555710,11.566896,-5.660001,0.000000,container1,14.423211,-5.045114,-1.506745,-2.856314,-0.614887,1.506745,3.287385,-0.473760,-0.036048,0.185352,13.290621,15.807393,-2.516772
119.428000,drone2,0,0.914854,551.008728,65.651283,11.561066,-5.669434,0.000000,container1,14.422657,-5.044515,-1.465654,-2.861591,-0.624919,1.465654,3.275266,-0.474325,-0.036058,0.186392,13.289857,15.802973,-2.513116
119.464000,drone2,0,0.919908,550.631958,66.194771,11.573623,-5.668301,0.000000,container1,14.422657,-5.044515,-1.465654,-2.849034,-0.623786,1.465654,3.264085,-0.475034,-0.036066,0.187226,13.301401,15.803727,-2.502326
119.496000,drone2,0,0.920733,550.596436,67.958870,11.559547,-5.677458,0.000000,container1,14.422657,-5.044515,-1.465654,-2.863110,-0.632943,1.465654,3.278133,-0.475464,-0.036051,0.191311,13.292990,15.804564,-2.511575
119.528000,drone2,0,0.918014,550.716797,69.513824,11.550360,-5.690036,0.000000,container1,14.422657,-5.044515,-1.465654,-2.872297,-0.645521,1.465654,3.288606,-0.476047,-0.036062,0.191150,13.290540,15.805094,-2.514555
119.560000,drone2,0,0.916292,551.053223,69.274017,11.582475,-5.703987,0.000000,container1,14.422657,-5.044515,-1.465654,-2.840182,-0.659472,1.465654,3.263385,-0.476679,-0.036076,0.190742,13.326094,15.805642,-2.479548
119.596000,drone2,0,0.921227,551.837463,68.825089,11.617986,-5.728020,0.000000,container1,14.422657,-5.044515,-1.465654,-2.804671,-0.683505,1.465654,3.237515,-0.477198,-0.036058,0.194522,13.368984,15.806534,-2.437549
119.628000,drone2,0,0.920796,551.659668,69.888451,11.614458,-5.730435,0.000000,container1,14.422657,-5.044515,-1.465654,-2.808199,-0.685920,1.465654,3.241082,-0.477750,-0.036062,0.194368,13.367316,15.807036,-2.439720
119.660000,drone2,0,0.913717,551.609375,71.348984,11.603682,-5.737541,0.000000,container1,14.422657,-5.044515,-1.465654,-2.818975,-0.693026,1.465654,3.251930,-0.478394,-0.036070,0.193372,13.361165,15.807537,-2.446371
119.692000,drone2,0,0.914381,551.801697,72.143372,11.615734,-5.751732,0.000000,container1,14.422657,-5.044515,-1.465654,-2.806923,-0.707217,1.465654,3.244551,-0.478788,-0.036040,0.197079,13.378544,15.808307,-2.429763
119.724000,drone2,0,0.914805,550.798706,74.333366,11.593920,-5.738578,0.000000,container1,14.422657,-5.044515,-1.465654,-2.828737,-0.694063,1.465654,3.260616,-0.479405,-0.036044,0.195761,13.353741,15.808749,-2.455008
119.760000,drone2,0,0.914792,551.029785,74.162651,11.629865,-5.751552,0.000000,container1,14.422657,-5.044515,-1.465654,-2.792792,-0.707037,1.465654,3.232295,-0.480059,-0.036045,0.194476,13.392352,15.809230,-2.416877
119.792000,drone2,0,0.917042,551.225281,73.625778,11.661323,-5.758021,0.000000,container1,14.422625,-5.044464,-1.462422,-2.761302,-0.713557,1.462422,3.205095,-0.480430,-0.036001,0.197971,13.423966,15.809575,-2.385609
119.824000,drone2,0,0.916501,551.380005,73.225777,11.689496,-5.763741,0.000000,container1,14.422597,-5.044415,-1.459356,-2.733100,-0.719326,1.459356,3.180721,-0.481003,-0.036002,0.195861,13.452376,15.809530,-2.357154
119.860000,drone2,0,0.909884,551.050171,77.375504,11.611762,-5.765948,0.000000,container1,14.422572,-5.044368,-1.456456,-2.810810,-0.721580,1.456456,3.246936,-0.481688,-0.035993,0.194005,13.383630,15.809642,-2.426013
119.892000,drone2,0,0.910578,551.333557,76.785660,11.652108,-5.774977,0.000000,container1,14.422550,-5.044323,-1.453723,-2.770442,-0.730654,1.453723,3.212867,-0.482036,-0.035938,0.197282,13.424341,15.810010,-2.385669
119.924000,drone2,0,0.914655,550.358765,78.461327,11.637241,-5.756351,0.000000,container1,14.422531,-5.044280,-1.451158,-2.785290,-0.712071,1.451158,3.220364,-0.482625,-0.035934,0.194599,13.403439,15.809987,-2.406548
119.956000,drone2,0,0.920119,549.833923,78.964600,11.650243,-5.746990,0.000000,container1,14.422515,-5.044239,-1.448762,-2.772272,-0.702751,1.448762,3.205973,-0.483221,-0.035916,0.193156,13.411735,15.810128,-2.398394
119.992000,drone2,0,0.924071,548.341797,80.718773,11.630620,-5.716090,0.000000,container1,14.422502,-5.044200,-1.446536,-2.791882,-0.671890,1.446536,3.215355,-0.483616,-0.035857,0.195137,13.381250,15.810469,-2.429219
120.024000,drone2,0,0.927960,548.996826,81.347839,11.636235,-5.737022,0.000000,container1,14.422491,-5.044164,-1.444480,-2.786256,-0.692859,1.444480,3.214000,-0.484196,-0.035856,0.191843,13.395707,15.810440,-2.414734
120.056000,drone2,0,0.925205,548.866699,80.774078,11.671288,-5.736306,0.000000,container1,14.422483,-5.044129,-1.442595,-2.751194,-0.692177,1.442595,3.182650,-0.484729,-0.035829,0.190660,13.427604,15.810615,-2.383011
120.088000,drone2,0,0.925112,549.338135,81.185524,11.684237,-5.753879,0.000000,container1,14.422476,-5.044097,-1.440881,-2.738239,-0.709782,1.440881,3.174568,-0.485097,-0.035777,0.191097,13.447152,15.810831,-2.363678
120.120000,drone2,0,0.928467,549.721863,81.950943,11.688499,-5.769833,0.000000,container1,14.422472,-5.044067,-1.439339,-2.733973,-0.725766,1.439339,3.173806,-0.485691,-0.035765,0.187286,13.458288,15.810830,-2.352542
120.156000,drone2,0,0.933266,549.003540,83.182625,11.684308,-5.759399,0.000000,container1,14.422472,-5.044067,-1.439339,-2.738164,-0.715331,1.439339,3.175050,-0.486156,-0.035708,0.186855,13.450493,15.811242,-2.360749
120.188000,drone2,0,0.931653,549.216125,83.280205,11.708116,-5.771237,0.000000,container1,14.422470,-5.044040,-1.437969,-2.714354,-0.727197,1.437969,3.156626,-0.486579,-0.035657,0.185978,13.477465,15.811415,-2.333950
120.220000,drone2,0,0.931489,550.039185,84.254608,11.710523,-5.799982,0.000000,container1,14.422469,-5.044015,-1.436771,-2.711946,-0.755967,1.436771,3.160767,-0.487169,-0.035646,0.181560,13.492377,15.811390,-2.319014
120.256000,drone2,0,0.937381,549.281982,85.222328,11.715612,-5.789191,0.000000,container1,14.422469,-5.043993,-1.435745,-2.706857,-0.745199,1.435745,3.153373,-0.487714,-0.035594,0.179784,13.492864,15.811627,-2.318763
120.288000,drone2,0,0.937686,549.899719,86.566490,11.706138,-5.811961,0.000000,container1,14.422470,-5.043973,-1.434892,-2.716333,-0.767988,1.434892,3.166573,-0.488039,-0.035531,0.179488,13.494344,15.811831,-2.317487
120.320000,drone2,0,0.936165,550.025879,87.649986,11.702921,-5.821808,0.000000,container1,14.422473,-5.043955,-1.434210,-2.719552,-0.777853,1.434210,3.171432,-0.488624,-0.035518,0.174533,13.496124,15.811809,-2.315685
120.352000,drone2,0,0.935822,549.585510,88.421570,11.707238,-5.816726,0.000000,container1,14.422476,-5.043940,-1.433701,-2.715238,-0.772786,1.433701,3.166262,-0.489023,-0.035438,0.174723,13.498245,15.812177,-2.313932
120.388000,drone2,0,0.937367,549.329590,89.418045,11.706622,-5.816330,0.000000,container1,14.422480,-5.043928,-1.433362,-2.715858,-0.772402,1.433362,3.166547,-0.489460,-0.035383,0.171627,13.497897,15.812257,-2.314360
120.420000,drone2,0,0.938657,549.226440,89.580772,11.724027,-5.818078,0.000000,container1,14.422484,-5.043918,-1.433196,-2.698457,-0.774159,1.433196,3.151990,-0.490041,-0.035369,0.166148,13.514836,15.812237,-2.297402
120.452000,drone2,0,0.939173,548.805969,89.985046,11.735353,-5.812069,0.000000,container1,14.422488,-5.043912,-1.433200,-2.687135,-0.768157,1.433200,3.140831,-0.490417,-0.035284,0.165998,13.522879,15.812606,-2.289727
120.484000,drone2,0,0.939426,548.715271,90.987465,11.732159,-5.813423,0.000000,container1,14.422492,-5.043907,-1.433374,-2.690333,-0.769515,1.433374,3.143979,-0.490810,-0.035238,0.162203,13.520899,15.812628,-2.291729
120.516000,drone2,0,0.938242,548.934204,92.189453,11.724030,-5.822947,0.000000,container1,14.422492,-5.043907,-1.433374,-2.698462,-0.779039,1.433374,3.153278,-0.491385,-0.035220,0.156246,13.518082,15.812576,-2.294493
120.552000,drone2,0,0.939654,549.613403,93.209251,11.723236,-5.844260,0.000000,container1,14.422495,-5.043906,-1.433717,-2.699260,-0.800354,1.433717,3.159449,-0.491757,-0.035108,0.155959,13.526884,15.812971,-2.286086
