stamp,ns,class,score,u,v,world_x,world_y,world_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aquabot_x,aquabot_y,aquabot_z,aq_det_range,aq_gt_range,aq_range_err
154.804000,drone3,2,0.942281,174.179031,65.886665,11.091934,10.661191,0.000000,container3,14.158641,9.918044,-1.619028,-3.066707,0.743147,1.619028,3.546578,-0.575646,-0.028999,-0.028332,15.824456,17.848619,-2.024163
154.840000,drone3,2,0.943747,174.523987,66.265625,11.099733,10.667330,0.000000,container3,14.158641,9.918044,-1.619028,-3.058908,0.749286,1.619028,3.541130,-0.575599,-0.029051,-0.029702,15.834356,17.848487,-2.014131
154.872000,drone3,2,0.941791,175.081238,66.980011,11.097578,10.666632,0.000000,container3,14.158641,9.918044,-1.619028,-3.061063,0.748588,1.619028,3.542844,-0.575932,-0.029073,-0.033115,15.832562,17.848471,-2.015909
154.904000,drone3,2,0.942272,175.279297,67.130432,11.107327,10.673560,0.000000,container3,14.158884,9.918106,-1.620177,-3.051557,0.755455,1.620177,3.536621,-0.576045,-0.029114,-0.034768,15.844546,17.848777,-2.004231
154.936000,drone3,2,0.939913,175.634995,67.960114,11.101704,10.677224,0.000000,container3,14.158884,9.918106,-1.620177,-3.057180,0.759118,1.620177,3.542257,-0.576023,-0.029155,-0.036378,15.842890,17.848638,-2.005748
154.972000,drone3,2,0.939588,175.809128,68.210579,11.114216,10.687276,0.000000,container3,14.159127,9.918173,-1.621629,-3.044910,0.769103,1.621629,3.534498,-0.576339,-0.029179,-0.040019,15.859164,17.848957,-1.989792
155.004000,drone3,2,0.939516,175.879349,68.231087,11.132359,10.698823,0.000000,container3,14.159248,9.918209,-1.622469,-3.026889,0.780614,1.622469,3.521906,-0.576434,-0.029219,-0.041855,15.880443,17.849090,-1.968647
155.036000,drone3,2,0.936546,176.876907,69.867294,11.114625,10.689652,0.000000,container3,14.159369,9.918247,-1.623385,-3.044744,0.771406,1.623385,3.535663,-0.576399,-0.029260,-0.043643,15.861180,17.849128,-1.987947
155.068000,drone3,2,0.934508,177.858170,71.781960,11.089741,10.679777,0.000000,container3,14.159490,9.918286,-1.624376,-3.069749,0.761492,1.624376,3.555535,-0.576746,-0.029278,-0.047516,15.836446,17.849290,-2.012844
155.100000,drone3,2,0.936020,178.491455,72.746834,11.085659,10.676222,0.000000,container3,14.159610,9.918326,-1.625442,-3.073951,0.757896,1.625442,3.558882,-0.576857,-0.029318,-0.049559,15.831151,17.849440,-2.018289
155.136000,drone3,2,0.936354,178.732559,73.463814,11.088875,10.683062,0.000000,container3,14.159730,9.918367,-1.626584,-3.070855,0.764695,1.626584,3.558186,-0.576742,-0.029369,-0.051468,15.838101,17.849427,-2.011326
155.168000,drone3,2,0.935668,178.761978,74.293945,11.085764,10.692069,0.000000,container3,14.159849,9.918410,-1.627800,-3.074085,0.773659,1.627800,3.563465,-0.577106,-0.029390,-0.055549,15.842201,17.849609,-2.007409
155.200000,drone3,2,0.936193,179.041046,75.997536,11.061480,10.694018,0.000000,container3,14.159849,9.918410,-1.627800,-3.098370,0.775608,1.627800,3.584856,-0.577067,-0.029444,-0.056752,15.825663,17.849501,-2.023837
155.236000,drone3,2,0.936232,179.564331,76.998650,11.055692,10.690800,0.000000,container3,14.159968,9.918454,-1.629090,-3.104276,0.772346,1.629090,3.589844,-0.577102,-0.029487,-0.059872,15.819294,17.849516,-2.030222
155.268000,drone3,2,0.939817,180.158035,76.844154,11.076775,10.686906,0.000000,container3,14.160086,9.918499,-1.630455,-3.083310,0.768407,1.630455,3.571503,-0.577448,-0.029510,-0.064133,15.832455,17.849682,-2.017228
155.300000,drone3,2,0.941852,180.700745,77.584023,11.078678,10.686590,0.000000,container3,14.160203,9.918546,-1.631892,-3.081524,0.768045,1.631892,3.570540,-0.577401,-0.029568,-0.065487,15.833652,17.849805,-2.016154
155.332000,drone3,2,0.942415,180.904388,77.951820,11.088758,10.694158,0.000000,container3,14.160319,9.918593,-1.633403,-3.071561,0.775564,1.633403,3.564265,-0.577470,-0.029607,-0.068751,15.846285,17.849853,-2.003568
155.368000,drone3,2,0.941579,181.078568,78.830429,11.088258,10.703383,0.000000,container3,14.160433,9.918642,-1.634986,-3.072176,0.784741,1.634986,3.567528,-0.577752,-0.029640,-0.073213,15.852411,17.849974,-1.997563
155.400000,drone3,2,0.937552,181.131439,79.763092,11.083109,10.713221,0.000000,container3,14.160547,9.918692,-1.636640,-3.077438,0.794529,1.636640,3.574981,-0.577705,-0.029695,-0.074719,15.855296,17.850100,-1.994804
155.432000,drone3,2,0.933686,181.925430,79.626633,11.104058,10.705241,0.000000,container3,14.160659,9.918743,-1.638366,-3.056602,0.786498,1.638366,3.556070,-0.577773,-0.029725,-0.078143,15.865396,17.850146,-1.984750
155.464000,drone3,2,0.929434,182.636749,80.668785,11.099749,10.701621,0.000000,container3,14.160770,9.918795,-1.640162,-3.061022,0.782827,1.640162,3.559888,-0.578130,-0.029738,-0.082736,15.860069,17.850324,-1.990256
155.500000,drone3,2,0.933038,183.132797,82.247772,11.089541,10.708985,0.000000,container3,14.160770,9.918795,-1.640162,-3.071230,0.790190,1.640162,3.570292,-0.578014,-0.029801,-0.084455,15.857506,17.850113,-1.992607
155.532000,drone3,2,0.938931,184.746582,83.349503,11.089130,10.687659,0.000000,container3,14.160880,9.918848,-1.642029,-3.071750,0.768811,1.642029,3.566928,-0.578061,-0.029831,-0.088015,15.842843,17.850141,-2.007298
155.564000,drone3,2,0.941826,184.996689,84.442947,11.083042,10.695306,0.000000,container3,14.160988,9.918902,-1.643964,-3.077946,0.776405,1.643964,3.574797,-0.578395,-0.029845,-0.092726,15.843818,17.850302,-2.006485
155.596000,drone3,2,0.942596,185.226654,84.549660,11.093699,10.698115,0.000000,container3,14.161094,9.918956,-1.645967,-3.067395,0.779159,1.645967,3.567241,-0.578182,-0.029900,-0.093967,15.853452,17.850342,-1.996890
155.628000,drone3,2,0.938983,185.799911,85.246071,11.090880,10.692828,0.000000,container3,14.161199,9.919012,-1.648038,-3.070319,0.773816,1.648038,3.569549,-0.578364,-0.029919,-0.098198,15.847971,17.850432,-2.002461
155.664000,drone3,2,0.939652,186.805908,86.781982,11.072186,10.679339,0.000000,container3,14.161301,9.919068,-1.650175,-3.089115,0.760271,1.650175,3.583814,-0.578627,-0.029942,-0.103115,15.825321,17.850538,-2.025217
155.696000,drone3,2,0.939765,188.125732,87.527702,11.074023,10.659392,0.000000,container3,14.161402,9.919125,-1.652379,-3.087379,0.740267,1.652379,3.579142,-0.578408,-0.030000,-0.104494,15.813070,17.850575,-2.037506
155.728000,drone3,2,0.939729,188.307709,87.263710,11.098252,10.666602,0.000000,container3,14.161501,9.919183,-1.654646,-3.063248,0.747419,1.654646,3.560896,-0.578599,-0.030018,-0.108838,15.835985,17.850677,-2.014693
