stamp_ns,ns,class_id,score,meas_u,meas_v,proj_u,proj_v,reproj_px,cam_x,cam_y,cam_z,world_x,world_y,world_z,disp_med,mad,consistency
72664000000,drone1,3,0.903348,534,57,534,57,0,5.43492,-4.64762,9.6854,12.7526,-4.92205,2.0322,3.9375,3.8125,MISMATCH_expected_left
72696000000,drone1,3,0.901527,563,51,563,51,0,0.541504,-0.42117,0.849833,5.70737,-0.732414,9.28708,44.875,10.125,MISMATCH_expected_left
72732000000,drone1,3,0.902096,563,50,563,50,0,0.543776,-0.425175,0.853399,5.71343,-0.736806,9.28304,44.6875,4.5625,MISMATCH_expected_left
72768000000,drone1,3,0.904824,533,57,533,57,0,7.1,-6.1,12.7121,15.1809,-6.36253,-0.443323,3,2.875,MISMATCH_expected_left
72800000000,drone1,3,0.904377,520,55,520,55,0,5.07937,-4.69841,9.6854,12.8697,-4.97228,2.3705,3.9375,3.8125,MISMATCH_expected_left
72860000000,drone1,3,0.900109,553,52,553,52,0,0.52507,-0.423662,0.859408,5.73748,-0.733855,9.29723,44.375,4.625,MISMATCH_expected_left
73228000000,drone1,3,0.926777,538,71,538,71,0,1.0866,-0.842368,1.90087,6.62777,-1.14782,8.46631,20.0625,20,MISMATCH_expected_left
73260000000,drone1,3,0.929589,518,67,518,67,0,5.19344,-4.5377,10.0029,13.2795,-4.81103,2.2545,3.8125,3.625,MISMATCH_expected_left
73292000000,drone1,3,0.929232,500,64,500,64,0,16.9412,-16.5647,35.8929,34.821,-16.7295,-16.3733,1.0625,1,MISMATCH_expected_left
73312000000,drone1,3,0.924885,529,62,529,62,0,15.9238,-13.5619,29.0562,28.4723,-13.7627,-13.5279,1.3125,1.25,MISMATCH_expected_left
73396000000,drone1,3,0.923157,531,61,531,61,0,9.92941,-8.42353,17.9465,19.5031,-8.66914,-4.63131,2.125,1.625,MISMATCH_expected_left
73420000000,drone1,3,0.925228,554,59,554,59,0,0.531818,-0.411364,0.866733,5.81558,-0.728048,9.28414,44,11,MISMATCH_expected_left
73460000000,drone1,3,0.924766,564,60,564,60,0,0.553759,-0.408511,0.865503,5.81314,-0.72657,9.26274,44.0625,11,MISMATCH_expected_left
73492000000,drone1,3,0.918588,530,65,530,65,0,4.48,-3.73333,8.13573,11.6667,-4.02212,3.40699,4.6875,4.625,MISMATCH_expected_left
73556000000,drone1,3,0.923997,518,63,518,63,0,9.31765,-8.32941,17.9465,19.6847,-8.57882,-4.07125,2.125,2,MISMATCH_expected_left
73588000000,drone1,3,0.922742,531,63,531,63,0,7.03333,-5.9,12.7121,15.3208,-6.17447,-0.375867,3,2.8125,MISMATCH_expected_left
73608000000,drone1,3,0.923496,497,62,497,62,0,14.9053,-14.9895,32.1147,31.6495,-15.1783,-13.5475,1.1875,1.125,MISMATCH_expected_left
73660000000,drone1,3,0.923865,489,42,489,42,0,5.51837,-6.46531,12.4527,15.5161,-6.74111,1.13928,3.0625,3,MISMATCH_expected_left
73696000000,drone1,3,0.927085,532,64,532,64,0,6.52308,-5.41538,11.7342,14.5363,-5.69848,0.387899,3.25,3.125,MISMATCH_expected_left
73720000000,drone1,3,0.927191,555,61,555,61,0,0.534091,-0.406818,0.866733,5.85618,-0.736331,9.27603,44,10.75,MISMATCH_expected_left
73756000000,drone1,3,0.930208,528,65,528,65,0,6.93333,-5.83333,12.7121,15.367,-6.11422,-0.286482,3,0.6875,MISMATCH_expected_left
73792000000,drone1,3,0.932883,517,64,517,64,0,5.16721,-4.61639,10.0029,13.284,-4.9086,2.18844,3.8125,3.6875,MISMATCH_expected_left
73812000000,drone1,3,0.933232,516,62,516,62,0,5.14098,-4.66885,10.0029,13.295,-4.96161,2.21198,3.8125,3.6875,MISMATCH_expected_left
73856000000,drone1,3,0.932867,562,60,562,60,0,0.552354,-0.410842,0.870442,5.87232,-0.743362,9.25668,43.8125,10.625,MISMATCH_expected_left
73888000000,drone1,3,0.934581,562,60,562,60,0,0.55,-0.409091,0.866733,5.87411,-0.742292,9.26003,44,11.0625,MISMATCH_expected_left
73916000000,drone1,3,0.935745,520,66,520,66,0,5.07937,-4.41905,9.6854,13.019,-4.7153,2.36123,3.9375,3.625,MISMATCH_expected_left
73960000000,drone1,3,0.935549,523,67,523,67,0,5.41333,-4.61333,10.1697,13.3901,-4.90823,1.90068,3.75,3.6875,MISMATCH_expected_left
