stamp_sec,method,IDF1,IDSW,Frag,MOTA,MedErr,RMSE,P95,FP,FN,GT,frame_GT,frame_pred,frame_matches,fresh,nonempty,pred_age_sec,pred_frame,min_gt_to_pred,mean_gt_to_pred,p95_gt_to_pred
528.796,ab3dmot,1,0,0,0.4,3.295646339,3.461166945,4.247432755,0,3,5,5,2,2,1,1,0.528,world,2.238105876,11.30373145,16.06559649
528.86,ours,1,0,0,0.4,3.30517953,3.483415992,4.295169404,0,3,5,5,2,2,1,1,0.032,world,2.205190781,11.2897192,16.00381076
528.86,ab3dmot,1,0,0,0.4,3.295646339,3.479755201,4.418549716,0,6,10,5,2,2,1,1,0.132,world,2.20222262,11.2852195,15.97626573
528.92,ours,1,0,0,0.4,3.30517953,3.486665643,4.416337808,0,6,10,5,2,2,1,1,0.02,world,2.199436686,11.28297185,15.98391236
528.92,ab3dmot,1,0,0,0.4,3.295646339,3.486592945,4.432941983,0,9,15,5,2,2,1,1,0.124,world,2.200858116,11.27954597,15.96666156
528.92,sort,1,0,0,0.2,11.88143503,11.88143503,11.88143503,0,4,5,5,1,1,1,1,0.124,world,11.88143503,18.2115247,22.4424475
528.992,ours,1,0,0,0.4,3.30517953,3.486030608,4.417263233,0,9,15,5,2,2,1,1,0,world,2.191482793,11.28029244,15.98351072
528.992,ab3dmot,1,0,0,0.4,3.295646339,3.488719482,4.432560965,0,12,20,5,2,2,1,1,0.196,world,2.192909324,11.27687039,15.9662597
528.992,sort,1,0,0,0.2,11.87393571,11.87393808,11.88068509,0,8,10,5,1,1,1,1,0.1,world,11.86643639,18.2100607,22.44912313
529.06,ours,1,0,0,0.4,3.30517953,3.484491127,4.416844965,0,12,20,5,2,2,1,1,0.04,world,2.183909962,11.27780576,15.983165
529.06,ab3dmot,1,0,0,0.4,3.295646339,3.489018462,4.432179947,0,15,25,5,2,2,1,1,0.264,world,2.185341426,11.27438742,15.96591383
529.06,sort,1,0,0,0.2,11.86643639,11.86733425,11.87993516,0,12,15,5,1,1,1,1,0.1,world,11.85411557,18.20738423,22.45176348
