stamp_sec,method,IDF1,IDSW,Frag,MOTA,MedErr,RMSE,P95,FP,FN,GT,frame_GT,frame_pred,frame_matches,fresh,nonempty,pred_age_sec,pred_frame,min_gt_to_pred,mean_gt_to_pred,p95_gt_to_pred
530.972,ab3dmot,1,0,0,0.2,1.820515701,1.842625123,1.916975303,0,72,90,5,1,1,1,1,0.068,world,1.822169864,13.97854045,19.43903033
531.06,ours,1,0,0,0.2,1.825243371,1.842209773,1.902111498,0,72,90,5,1,1,1,1,0.056,world,1.826224778,13.98253544,19.44465079
531.06,ab3dmot,1,0,0,0.2,1.821702663,1.841819974,1.916143441,0,76,95,5,1,1,1,1,0.088,world,1.827266628,13.98005508,19.43835931
531.148,ours,1,0,0,0.2,1.826224778,1.841738535,1.901731873,0,76,95,5,1,1,1,1,0.048,world,1.83323553,13.9868002,19.44726693
531.148,ab3dmot,1,0,0,0.2,1.821936264,1.841474577,1.915311579,0,80,100,5,1,1,1,1,0.108,world,1.834899684,13.9837537,19.43990407
531.264,ours,1,0,0,0.2,1.826975471,1.841810717,1.901352248,0,80,100,5,1,1,1,1,0.06,world,1.843181645,13.99060934,19.4495828
531.264,ab3dmot,1,0,0,0.2,1.822169864,1.841630061,1.914479717,0,84,105,5,1,1,1,1,0.192,world,1.844736982,13.98736369,19.4415189
531.336,ours,1,0,0,0.2,1.827726164,1.842163005,1.900972623,0,84,105,5,1,1,1,1,0.036,world,1.849194671,13.99352801,19.45057568
531.336,ab3dmot,1,0,0,0.2,1.824718246,1.842123812,1.913331739,0,88,110,5,1,1,1,1,0.132,world,1.852462186,13.98744452,19.4356948
531.4,ours,1,0,0,0.2,1.830480847,1.842907378,1.900346107,0,88,110,5,1,1,1,1,0.032,world,1.858470331,13.99243846,19.44213919
531.4,ab3dmot,1,0,0,0.2,1.827266628,1.843097834,1.912183761,0,92,115,5,1,1,1,1,0.1,world,1.864397573,13.98383891,19.42218628
531.48,ours,1,0,0,0.2,1.83323553,1.84402414,1.899719592,0,92,115,5,1,1,1,1,0.044,world,1.868424034,13.99204014,19.43562056
531.48,ab3dmot,1,0,0,0.2,1.829422213,1.844442537,1.911035783,0,96,120,5,1,1,1,1,0.112,world,1.875104586,13.98252015,19.41338877
531.568,ours,1,0,0,0.2,1.833273754,1.845578243,1.899093076,0,96,120,5,1,1,1,1,0.044,world,1.880968261,13.98879596,19.42225494
531.568,ab3dmot,1,0,0,0.2,1.831577798,1.846319066,1.909887805,0,100,125,5,1,1,1,1,0.1,world,1.890797122,13.97625333,19.39356758
531.632,ours,1,0,0,0.2,1.833311978,1.847599437,1.899870423,0,100,125,5,1,1,1,1,0.032,world,1.895461621,13.98420489,19.40582203
531.632,ab3dmot,1,0,0,0.2,1.833238741,1.848574486,1.91188277,0,104,130,5,1,1,1,1,0.1,world,1.904091929,13.97365678,19.38169756
531.732,ours,1,0,0,0.2,1.838246812,1.850171178,1.906666997,0,104,130,5,1,1,1,1,0.06,world,1.913341593,13.98383017,19.39588946
531.732,ab3dmot,1,0,0,0.2,1.834899684,1.851452769,1.921688495,0,108,135,5,1,1,1,1,0.1,world,1.924777972,13.97013281,19.36425416
531.796,ours,1,0,0,0.2,1.843181645,1.852984887,1.911908652,0,108,135,5,1,1,1,1,0.032,world,1.924698089,13.9849088,19.39197572
531.796,ab3dmot,1,0,0,0.2,1.839818333,1.854474605,1.928898315,0,112,140,5,1,1,1,1,0.164,world,1.934280495,13.97363223,19.3661864
531.88,ours,1,0,0,0.2,1.845962907,1.855959969,1.920723315,0,112,140,5,1,1,1,1,0.036,world,1.934558488,13.98851907,19.39394297
531.88,ab3dmot,1,0,0,0.2,1.844736982,1.857636775,1.933015082,0,116,145,5,1,1,1,1,0.248,world,1.944090426,13.97723253,19.36815518
531.96,ours,1,0,0,0.2,1.84874417,1.859411817,1.930614328,0,116,145,5,1,1,1,1,0.06,world,1.953588884,13.97991356,19.36509117
531.96,ab3dmot,1,0,0,0.2,1.84731293,1.861269213,1.939675957,0,120,150,5,1,1,1,1,0.096,world,1.96368919,13.96846456,19.33813671
532.028,ours,1,0,0,0.2,1.848969421,1.863137291,1.945025206,0,120,150,5,1,1,1,1,0.028,world,1.968110791,13.97857713,19.35457773
532.028,ab3dmot,1,0,0,0.2,1.849888877,1.865075563,1.953889808,0,124,155,5,1,1,1,1,0.1,world,1.975859303,13.97004997,19.33471852
532.1,ours,1,0,0,0.2,1.849194671,1.867065084,1.960849837,0,124,155,5,1,1,1,1,0.004,world,1.98128137,13.97940387,19.34934095
532.1,ab3dmot,1,0,0,0.2,1.851175531,1.869037889,1.969165741,0,128,160,5,1,1,1,1,0.072,world,1.987956673,13.97182761,19.33104929
532.192,ours,1,0,0,0.2,1.853832501,1.871300091,1.974037551,0,128,160,5,1,1,1,1,0.032,world,1.998138172,13.98389336,19.34756305
532.192,ab3dmot,1,0,0,0.2,1.852462186,1.873242525,1.980698251,0,132,165,5,1,1,1,1,0.064,world,2.003136328,13.97745495,19.33008767
532.28,ours,1,0,0,0.2,1.858470331,1.875657728,1.988024091,0,132,165,5,1,1,1,1,0.052,world,2.010120428,13.9861308,19.34374124
532.28,ab3dmot,1,0,0,0.2,1.858429879,1.877484299,1.993269552,0,136,170,5,1,1,1,1,0.056,world,2.012453367,13.98189661,19.32915893
532.36,ours,1,0,0,0.2,1.862709878,1.880112121,2.002331962,0,136,170,5,1,1,1,1,0.06,world,2.021608486,13.98864223,19.33892702
532.36,ab3dmot,1,0,0,0.2,1.864397573,1.881819069,2.00593144,0,140,175,5,1,1,1,1,0.136,world,2.023684122,13.98595921,19.33127562
532.448,ours,1,0,0,0.2,1.866949426,1.884829555,2.013566845,0,140,175,5,1,1,1,1,0.048,world,2.038737791,13.99482113,19.34211372
532.448,ab3dmot,1,0,0,0.2,1.865570746,1.886415913,2.015261056,0,144,180,5,1,1,1,1,0.224,world,2.040792632,13.99213315,19.33446278
532.512,ours,1,0,0,0.2,1.86768673,1.889621559,2.025890813,0,144,180,5,1,1,1,1,0.02,world,2.050297822,13.99876922,19.34424001
532.512,ab3dmot,1,0,0,0.2,1.866743918,1.891091732,2.027105824,0,148,185,5,1,1,1,1,0.288,world,2.052338624,13.99607779,19.33658935
