stamp_sec,method,N,MedErr,RMSE,P95,MeanLogDet
562.74,ftci,1016,3.22796,3.37278,4.3755,-6.40672
562.812,ci,1018,3.21217,3.34791,4.32889,-6.3824
562.812,ftci,1018,3.22796,3.37285,4.37543,-6.40682
562.9,ci,1020,3.21217,3.34796,4.32885,-6.38255
562.9,ftci,1020,3.22796,3.37293,4.37536,-6.4069
562.996,ci,1022,3.21217,3.34801,4.32881,-6.38268
562.996,ftci,1022,3.22796,3.37302,4.37531,-6.40699
563.08,ci,1024,3.21217,3.34807,4.32878,-6.38283
563.08,ftci,1024,3.22796,3.3731,4.37528,-6.4071
563.16,ci,1026,3.21217,3.34812,4.32874,-6.38296
563.16,ftci,1026,3.22796,3.37318,4.37526,-6.40718
563.228,ci,1028,3.21217,3.34818,4.32871,-6.38311
563.228,ftci,1028,3.22796,3.37327,4.37523,-6.40728
563.304,ci,1030,3.21217,3.34823,4.32867,-6.38325
563.304,ftci,1030,3.22796,3.37335,4.3752,-6.40737
563.4,ci,1032,3.21217,3.3483,4.32864,-6.38338
563.4,ftci,1032,3.22796,3.37345,4.37518,-6.40746
563.476,ci,1034,3.21217,3.34837,4.32861,-6.38353
563.476,ftci,1034,3.22796,3.37354,4.37515,-6.40756
563.564,ci,1036,3.21217,3.34845,4.32857,-6.38366
563.564,ftci,1036,3.22796,3.37365,4.37512,-6.40764
563.608,ci,1038,3.21217,3.34854,4.32854,-6.38381
563.608,ftci,1038,3.22796,3.37377,4.37543,-6.40775
563.704,ci,1040,3.21217,3.34865,4.3285,-6.38394
563.704,ftci,1040,3.22796,3.37391,4.37603,-6.40783
563.8,ci,1042,3.21217,3.34878,4.32881,-6.38406
563.8,ftci,1042,3.22796,3.37407,4.37606,-6.4079
563.872,ci,1044,3.21217,3.34891,4.32919,-6.3842
563.872,ftci,1044,3.22796,3.37422,4.37626,-6.408
563.972,ci,1046,3.21217,3.34905,4.32927,-6.38433
563.972,ftci,1046,3.22796,3.37439,4.37634,-6.40807
564.04,ci,1048,3.21217,3.3492,4.32932,-6.38448
564.04,ftci,1048,3.22796,3.37456,4.37672,-6.40818
564.104,ci,1050,3.21217,3.34935,4.33017,-6.38461
564.104,ftci,1050,3.22796,3.37473,4.37715,-6.40826
564.2,ci,1052,3.21217,3.34951,4.33101,-6.38472
564.2,ftci,1052,3.22796,3.37491,4.37736,-6.40833
564.284,ci,1054,3.21217,3.34968,4.33149,-6.38487
564.284,ftci,1054,3.22796,3.3751,4.37738,-6.40843
564.368,ci,1056,3.21217,3.34986,4.33211,-6.38499
564.368,ftci,1056,3.22796,3.37529,4.37775,-6.4085
564.44,ci,1058,3.21217,3.35004,4.33237,-6.38514
564.44,ftci,1058,3.22796,3.37549,4.37889,-6.40862
564.508,ci,1060,3.21217,3.35023,4.33251,-6.38528
564.508,ftci,1060,3.22796,3.3757,4.37914,-6.40872
564.6,ci,1062,3.21217,3.35041,4.3327,-6.3854
564.6,ftci,1062,3.22796,3.3759,4.37916,-6.40878
564.664,ci,1064,3.21217,3.3506,4.33322,-6.38553
564.664,ftci,1064,3.22796,3.3761,4.37921,-6.40888
564.732,ci,1066,3.21217,3.35078,4.33343,-6.38566
564.732,ftci,1066,3.22796,3.3763,4.3794,-6.40897
564.796,ci,1068,3.21217,3.35096,4.33377,-6.38579
564.796,ftci,1068,3.22796,3.3765,4.37959,-6.40906
564.872,ci,1070,3.21217,3.35115,4.33398,-6.38591
564.872,ftci,1070,3.22796,3.3767,4.38022,-6.40913
564.9,ci,1072,3.21217,3.35133,4.33411,-6.38604
564.9,ftci,1072,3.22796,3.37691,4.38115,-6.40923
564.984,ci,1074,3.21217,3.35153,4.33428,-6.3862
564.984,ftci,1074,3.22796,3.37712,4.38212,-6.40935
565.076,ci,1076,3.21217,3.35173,4.33445,-6.38634
565.076,ftci,1076,3.22796,3.37734,4.38286,-6.40944
565.16,ci,1078,3.21217,3.35194,4.33469,-6.38649
565.16,ftci,1078,3.22796,3.37757,4.38294,-6.40955
565.216,ci,1080,3.21217,3.35215,4.3347,-6.38655
565.216,ftci,1080,3.22796,3.37782,4.38331,-6.40957
565.3,ci,1082,3.21217,3.35235,4.33487,-6.38661
565.3,ftci,1082,3.22796,3.37808,4.38343,-6.40961
565.38,ci,1084,3.21217,3.35257,4.33493,-6.38671
565.38,ftci,1084,3.22796,3.37833,4.38416,-6.40968
565.456,ci,1086,3.21217,3.35279,4.33565,-6.3868
565.456,ftci,1086,3.22796,3.37859,4.38479,-6.40976
565.524,ci,1088,3.21217,3.35302,4.33707,-6.3869
565.524,ftci,1088,3.22796,3.37886,4.38521,-6.40982
565.6,ci,1090,3.21217,3.35326,4.33867,-6.38701
565.6,ftci,1090,3.22796,3.37914,4.38661,-6.4099
565.672,ci,1092,3.21217,3.35351,4.33953,-6.38712
565.672,ftci,1092,3.22796,3.37942,4.38772,-6.40997
565.724,ci,1094,3.21217,3.35376,4.34,-6.38724
565.724,ftci,1094,3.22796,3.37971,4.38871,-6.41006
565.8,ci,1096,3.21217,3.35403,4.34098,-6.38738
565.8,ftci,1096,3.22796,3.38,4.39046,-6.41017
565.888,ci,1098,3.21217,3.3543,4.34187,-6.38752
565.888,ftci,1098,3.22796,3.3803,4.39092,-6.41026
565.952,ci,1100,3.21217,3.35458,4.34237,-6.38765
565.952,ftci,1100,3.22796,3.38061,4.39218,-6.41035
565.984,ci,1102,3.21217,3.35487,4.34385,-6.38778
565.984,ftci,1102,3.22796,3.38092,4.39276,-6.41043
566.016,ci,1104,3.21217,3.35516,4.34407,-6.38789
566.016,ftci,1104,3.22796,3.38124,4.39329,-6.41051
566.064,ci,1106,3.21217,3.35546,4.34417,-6.38802
566.064,ftci,1106,3.22796,3.38156,4.3934,-6.41059
566.1,ci,1108,3.21217,3.35577,4.34543,-6.38816
566.1,ftci,1108,3.22796,3.38189,4.39365,-6.4107
566.152,ci,1110,3.21217,3.35607,4.34621,-6.3883
566.152,ftci,1110,3.22796,3.38221,4.39417,-6.4108
566.2,ci,1112,3.21217,3.35636,4.3467,-6.38843
566.2,ftci,1112,3.22796,3.38253,4.39492,-6.41088
566.216,ci,1114,3.21217,3.35665,4.34757,-6.38855
566.216,ftci,1114,3.22796,3.38284,4.39563,-6.41097
566.252,ci,1116,3.21217,3.35695,4.34856,-6.38866
566.252,ftci,1116,3.22796,3.38316,4.39672,-6.41103
566.284,ci,1118,3.21217,3.35724,4.34956,-6.38876
566.284,ftci,1118,3.22796,3.38347,4.39891,-6.41109
566.316,ci,1120,3.21217,3.35754,4.35067,-6.38888
566.316,ftci,1120,3.22796,3.38379,4.39914,-6.41118
566.364,ci,1122,3.21217,3.35785,4.35212,-6.38901
566.364,ftci,1122,3.22796,3.38411,4.39983,-6.41127
566.38,ci,1124,3.21217,3.35816,4.35249,-6.38913
566.38,ftci,1124,3.22796,3.38444,4.40006,-6.41135
566.412,ci,1126,3.21217,3.35848,4.3547,-6.38924
566.412,ftci,1126,3.22796,3.38476,4.40104,-6.41143
566.48,ci,1128,3.21217,3.35881,4.35688,-6.38936
566.48,ftci,1128,3.22796,3.38509,4.40238,-6.41151
566.508,ci,1130,3.21217,3.35914,4.35938,-6.3895
566.508,ftci,1130,3.22796,3.38542,4.4034,-6.41161
566.56,ci,1132,3.21217,3.35949,4.36085,-6.38961
566.56,ftci,1132,3.22796,3.38576,4.40579,-6.41168
566.6,ci,1134,3.21217,3.35985,4.36204,-6.38973
566.6,ftci,1134,3.22796,3.3861,4.40842,-6.41176
566.664,ci,1136,3.21217,3.36023,4.36487,-6.38983
566.664,ftci,1136,3.31705,3.3866,4.40957,-6.41154
566.7,ci,1138,3.21573,3.36062,4.36759,-6.38994
566.7,ftci,1138,3.33205,3.38712,4.41219,-6.41055
566.76,ci,1140,3.2303,3.36104,4.36968,-6.39006
566.76,ftci,1140,3.3613,3.38769,4.41271,-6.40884
566.808,ci,1142,3.24035,3.36146,4.36982,-6.39017
566.808,ftci,1142,3.37663,3.38827,4.41387,-6.40686
566.888,ci,1144,3.25389,3.36192,4.37037,-6.39029
566.888,ftci,1144,3.40315,3.3889,4.4141,-6.40455
566.976,ci,1146,3.25389,3.3623,4.37085,-6.39043
566.976,ftci,1146,3.44215,3.38958,4.41542,-6.40186
567.056,ci,1148,3.25389,3.36268,4.37178,-6.39055
567.056,ftci,1148,3.4556,3.39029,4.41762,-6.39908
567.112,ci,1150,3.25389,3.36307,4.37245,-6.39066
567.112,ftci,1150,3.48756,3.39105,4.42032,-6.39605
567.2,ci,1152,3.25389,3.36347,4.37296,-6.39078
567.2,ftci,1152,3.5065,3.39183,4.42259,-6.39294
567.292,ci,1154,3.25389,3.36388,4.37338,-6.3909
567.292,ftci,1154,3.53097,3.39265,4.42516,-6.38969
567.372,ci,1156,3.25389,3.36431,4.37364,-6.39103
567.372,ftci,1156,3.54688,3.3935,4.42888,-6.38639
567.444,ci,1158,3.25389,3.36474,4.37434,-6.39115
567.444,ftci,1158,3.56092,3.39436,4.43173,-6.38302
567.512,ci,1160,3.25389,3.36517,4.37452,-6.39127
567.512,ftci,1160,3.57305,3.39524,4.43334,-6.3796
567.608,ci,1162,3.25389,3.36561,4.37471,-6.39139
567.608,ftci,1162,3.5848,3.39614,4.43428,-6.37617
567.692,ci,1164,3.25389,3.36605,4.37492,-6.3915
567.692,ftci,1164,3.5942,3.39705,4.43463,-6.37272
567.768,ci,1166,3.25389,3.36649,4.37565,-6.39162
567.768,ftci,1166,3.59844,3.39796,4.43498,-6.36928
567.864,ci,1168,3.25389,3.36693,4.37602,-6.39174
567.864,ftci,1168,3.59949,3.39887,4.43535,-6.36587
567.948,ci,1170,3.25389,3.36737,4.37619,-6.39185
567.948,ftci,1170,3.60224,3.39978,4.43658,-6.36246
568.032,ci,1172,3.25389,3.36781,4.37658,-6.39196
568.032,ftci,1172,3.60224,3.40068,4.43764,-6.3591
568.1,ci,1174,3.25389,3.36825,4.37753,-6.39207
568.1,ftci,1174,3.60224,3.40157,4.43824,-6.3558
568.192,ci,1176,3.25389,3.3687,4.37877,-6.39218
568.192,ftci,1176,3.60224,3.40245,4.43913,-6.35257
568.264,ci,1178,3.25389,3.36915,4.37964,-6.39229
568.264,ftci,1178,3.60224,3.40332,4.43987,-6.3494
568.344,ci,1180,3.25389,3.3696,4.38121,-6.3924
568.344,ftci,1180,3.60224,3.40417,4.44124,-6.34631
568.4,ci,1182,3.25389,3.37005,4.3819,-6.39252
568.4,ftci,1182,3.60224,3.40502,4.4417,-6.34326
568.496,ci,1184,3.25389,3.37049,4.38306,-6.39263
568.496,ftci,1184,3.60224,3.40585,4.44492,-6.34029
568.592,ci,1186,3.25389,3.37093,4.38448,-6.39274
568.592,ftci,1186,3.60224,3.40666,4.44595,-6.3374
568.692,ci,1188,3.25389,3.37137,4.38612,-6.39286
568.692,ftci,1188,3.60224,3.40746,4.44948,-6.33459
568.756,ci,1190,3.25389,3.3718,4.38837,-6.39296
568.756,ftci,1190,3.60224,3.40823,4.45385,-6.33188
568.8,ci,1192,3.25389,3.37221,4.39153,-6.39307
568.8,ftci,1192,3.60224,3.40898,4.45685,-6.32923
568.884,ci,1194,3.25389,3.37262,4.39477,-6.39319
568.884,ftci,1194,3.60224,3.40971,4.45834,-6.32667
568.92,ci,1196,3.25389,3.37302,4.39769,-6.39329
568.92,ftci,1196,3.60224,3.41043,4.45926,-6.32417
568.988,ci,1198,3.25389,3.37342,4.4013,-6.39339
568.988,ftci,1198,3.60224,3.41114,4.45991,-6.32173
569.032,ci,1200,3.25389,3.37381,4.40238,-6.39351
569.032,ftci,1200,3.60224,3.41183,4.45992,-6.31937
569.1,ci,1202,3.25389,3.37419,4.40291,-6.39363
569.1,ftci,1202,3.60224,3.4125,4.45997,-6.31709
569.188,ci,1204,3.25389,3.37457,4.40302,-6.39375
569.188,ftci,1204,3.60224,3.41316,4.4606,-6.31488
569.252,ci,1206,3.25389,3.37493,4.40377,-6.39386
569.252,ftci,1206,3.60224,3.4138,4.46082,-6.31273
569.324,ci,1208,3.25389,3.37529,4.40452,-6.39397
569.324,ftci,1208,3.60224,3.41443,4.46096,-6.31067
569.4,ci,1210,3.25389,3.37564,4.40501,-6.39408
569.4,ftci,1210,3.60224,3.41504,4.4618,-6.30866
569.5,ci,1212,3.25389,3.37597,4.40569,-6.39412
569.5,ftci,1212,3.60224,3.41564,4.46384,-6.30667
569.584,ci,1214,3.25389,3.37629,4.40695,-6.39417
569.584,ftci,1214,3.60224,3.41622,4.46353,-6.30476
569.656,ci,1216,3.25389,3.37659,4.40677,-6.39423
569.656,ftci,1216,3.60224,3.41678,4.46322,-6.30291
569.724,ci,1218,3.25389,3.37688,4.40658,-6.39429
569.724,ftci,1218,3.60224,3.41732,4.46292,-6.30113
569.8,ci,1220,3.25389,3.37717,4.4064,-6.39437
569.8,ftci,1220,3.60224,3.41784,4.46261,-6.29945
569.896,ci,1222,3.25389,3.37745,4.40625,-6.39445
569.896,ftci,1222,3.60224,3.41835,4.46238,-6.29785
569.98,ci,1224,3.25389,3.37773,4.40614,-6.39454
569.98,ftci,1224,3.60224,3.41885,4.46224,-6.29633
570.068,ci,1226,3.25389,3.37799,4.40603,-6.39463
570.068,ftci,1226,3.60224,3.41932,4.46209,-6.29486
570.144,ci,1228,3.25389,3.37825,4.40591,-6.39472
570.144,ftci,1228,3.60224,3.41979,4.46195,-6.29344
570.224,ci,1230,3.25389,3.37852,4.4058,-6.39482
570.224,ftci,1230,3.60224,3.42025,4.4618,-6.2921
570.3,ci,1232,3.25389,3.37878,4.40569,-6.39492
570.3,ftci,1232,3.60224,3.42071,4.46166,-6.29084
570.396,ci,1234,3.25389,3.37905,4.40558,-6.395
570.396,ftci,1234,3.60224,3.42116,4.46152,-6.28965
570.472,ci,1236,3.25389,3.37931,4.40677,-6.3951
570.472,ftci,1236,3.60224,3.4216,4.46137,-6.28854
570.56,ci,1238,3.25389,3.37957,4.40816,-6.39519
570.56,ftci,1238,3.60224,3.42203,4.46123,-6.28751
570.632,ci,1240,3.25389,3.37983,4.40818,-6.39529
570.632,ftci,1240,3.60224,3.42245,4.46108,-6.28658
570.704,ci,1242,3.25389,3.38008,4.40819,-6.39538
570.704,ftci,1242,3.60224,3.42287,4.46132,-6.28574
570.8,ci,1244,3.25389,3.38032,4.41017,-6.39547
570.8,ftci,1244,3.60224,3.42327,4.46129,-6.28502
570.868,ci,1246,3.25389,3.38055,4.41232,-6.39556
570.868,ftci,1246,3.60224,3.42366,4.46163,-6.28441
570.964,ci,1248,3.25389,3.38077,4.41299,-6.39566
570.964,ftci,1248,3.60224,3.42403,4.46159,-6.28384
571.036,ci,1250,3.25389,3.38099,4.41361,-6.39562
571.036,ftci,1250,3.60224,3.42437,4.46155,-6.28371
571.1,ci,1252,3.25389,3.38119,4.41378,-6.39556
571.1,ftci,1252,3.60224,3.42471,4.46151,-6.28361
571.168,ci,1254,3.25389,3.38138,4.41373,-6.39552
571.168,ftci,1254,3.60224,3.42503,4.46147,-6.28347
571.216,ci,1256,3.25389,3.38163,4.41421,-6.39548
571.216,ftci,1256,3.60224,3.42535,4.46144,-6.28331
571.268,ci,1258,3.25389,3.38181,4.41416,-6.39548
571.268,ftci,1258,3.60224,3.42566,4.4614,-6.28308
571.332,ci,1260,3.25389,3.38196,4.41411,-6.39548
571.332,ftci,1260,3.60224,3.42596,4.46136,-6.28287
571.376,ci,1262,3.25389,3.38209,4.41406,-6.39551
571.376,ftci,1262,3.60224,3.42626,4.46132,-6.2826
571.4,ci,1264,3.25389,3.38222,4.41401,-6.39556
571.4,ftci,1264,3.60224,3.42655,4.46129,-6.2823
571.464,ci,1266,3.25389,3.38233,4.41395,-6.39561
571.464,ftci,1266,3.60224,3.42683,4.46126,-6.282
571.5,ci,1268,3.25389,3.38243,4.41389,-6.39567
571.5,ftci,1268,3.60224,3.42712,4.46122,-6.28156
571.564,ci,1270,3.25389,3.38253,4.41384,-6.39576
571.564,ftci,1270,3.60224,3.4274,4.46119,-6.28106
571.6,ci,1272,3.25389,3.38262,4.41378,-6.39584
571.6,ftci,1272,3.60224,3.42768,4.46116,-6.28057
571.66,ci,1274,3.25389,3.38271,4.41373,-6.39592
571.66,ftci,1274,3.60224,3.42796,4.46113,-6.28003
571.696,ci,1276,3.25389,3.38279,4.41367,-6.39601
571.696,ftci,1276,3.60224,3.42823,4.46109,-6.2795
571.748,ci,1278,3.25389,3.38286,4.41361,-6.39609
571.748,ftci,1278,3.60224,3.4285,4.46106,-6.27897
571.792,ci,1280,3.25389,3.38293,4.41356,-6.39618
571.792,ftci,1280,3.60224,3.42876,4.46103,-6.27842
571.832,ci,1282,3.25389,3.38299,4.4135,-6.39626
571.832,ftci,1282,3.60224,3.42902,4.461,-6.27791
571.892,ci,1284,3.25389,3.38304,4.41345,-6.39634
571.892,ftci,1284,3.60224,3.42927,4.46099,-6.27739
571.936,ci,1286,3.25389,3.38308,4.4134,-6.39644
571.936,ftci,1286,3.60224,3.42951,4.46097,-6.2769
571.992,ci,1288,3.25389,3.38312,4.41335,-6.39655
571.992,ftci,1288,3.60224,3.42974,4.46096,-6.2764
572.016,ci,1290,3.25389,3.38315,4.4133,-6.39665
572.016,ftci,1290,3.60224,3.42997,4.46094,-6.27597
572.072,ci,1292,3.25389,3.38317,4.41325,-6.39675
572.072,ftci,1292,3.60224,3.43019,4.46093,-6.27557
572.1,ci,1294,3.25389,3.38319,4.4132,-6.39684
572.1,ftci,1294,3.60224,3.43041,4.46091,-6.27529
572.16,ci,1296,3.25389,3.38321,4.41315,-6.39694
572.16,ftci,1296,3.60224,3.43063,4.4609,-6.27506
572.2,ci,1298,3.25389,3.38322,4.4131,-6.39702
572.2,ftci,1298,3.60224,3.43084,4.46088,-6.27501
572.256,ci,1300,3.25389,3.38323,4.41305,-6.3971
572.256,ftci,1300,3.60224,3.43103,4.46087,-6.27502
572.292,ci,1302,3.25389,3.38323,4.41302,-6.39719
572.292,ftci,1302,3.60224,3.43123,4.46085,-6.27509
572.356,ci,1304,3.25389,3.38323,4.41301,-6.3973
572.356,ftci,1304,3.60224,3.43142,4.46084,-6.27533
572.388,ci,1306,3.25389,3.38322,4.413,-6.39739
572.388,ftci,1306,3.60224,3.43145,4.46082,-6.27561
572.44,ci,1308,3.25389,3.3832,4.41299,-6.39749
572.44,ftci,1308,3.60224,3.43147,4.46081,-6.27589
572.472,ci,1310,3.25389,3.38319,4.41298,-6.39759
572.472,ftci,1310,3.60224,3.43149,4.46079,-6.27617
572.52,ci,1312,3.25389,3.38318,4.41297,-6.39768
572.52,ftci,1312,3.60224,3.43152,4.46078,-6.27645
572.572,ci,1314,3.25389,3.38317,4.41296,-6.39778
572.572,ftci,1314,3.60224,3.43154,4.46077,-6.27673
572.6,ci,1316,3.25389,3.38315,4.41295,-6.39786
572.6,ftci,1316,3.60224,3.43156,4.46075,-6.277
572.66,ci,1318,3.25389,3.38314,4.41294,-6.39795
572.66,ftci,1318,3.60224,3.43158,4.46074,-6.27727
572.7,ci,1320,3.25389,3.38312,4.41293,-6.39804
572.7,ftci,1320,3.60224,3.43159,4.46072,-6.27756
572.78,ci,1322,3.25389,3.3831,4.41281,-6.39815
572.78,ftci,1322,3.60224,3.43161,4.46071,-6.27784
572.832,ci,1324,3.25389,3.38309,4.41257,-6.39818
572.832,ftci,1324,3.60224,3.43166,4.46071,-6.27806
572.9,ci,1326,3.25389,3.38308,4.41232,-6.3982
572.9,ftci,1326,3.60224,3.43171,4.46071,-6.27828
572.98,ci,1328,3.25389,3.38307,4.41208,-6.39823
572.98,ftci,1328,3.60224,3.43174,4.46071,-6.27852
573.068,ci,1330,3.25389,3.38306,4.41184,-6.39828
573.068,ftci,1330,3.60224,3.43178,4.46071,-6.27875
573.124,ci,1332,3.25389,3.38307,4.4116,-6.39833
573.124,ftci,1332,3.60224,3.43184,4.46071,-6.27901
573.212,ci,1334,3.25389,3.3831,4.41136,-6.39839
573.212,ftci,1334,3.60224,3.43192,4.46077,-6.27926
573.3,ci,1336,3.25389,3.38314,4.41112,-6.39845
573.3,ftci,1336,3.60224,3.432,4.4609,-6.27949
573.38,ci,1338,3.25389,3.38318,4.41088,-6.39852
573.38,ftci,1338,3.60224,3.43208,4.46106,-6.27976
573.468,ci,1340,3.25389,3.38324,4.41064,-6.39859
573.468,ftci,1340,3.60224,3.43218,4.46136,-6.28
573.56,ci,1342,3.25389,3.3833,4.41281,-6.39868
573.56,ftci,1342,3.60224,3.43228,4.4617,-6.28028
573.624,ci,1344,3.25389,3.38338,4.41301,-6.39876
573.624,ftci,1344,3.60224,3.43239,4.46234,-6.28054
573.708,ci,1346,3.25389,3.38346,4.4134,-6.39883
573.708,ftci,1346,3.60224,3.43251,4.46477,-6.28078
573.8,ci,1348,3.25389,3.38356,4.41389,-6.39892
573.8,ftci,1348,3.60224,3.43264,4.46675,-6.28105
573.872,ci,1350,3.25389,3.38365,4.41435,-6.399
573.872,ftci,1350,3.60224,3.43277,4.46777,-6.28131
573.972,ci,1352,3.25389,3.38376,4.41506,-6.3991
573.972,ftci,1352,3.60224,3.43291,4.4681,-6.28159
574.048,ci,1354,3.25389,3.38387,4.41583,-6.39919
574.048,ftci,1354,3.60224,3.43307,4.46841,-6.28185
574.104,ci,1356,3.25389,3.38399,4.4162,-6.39927
574.104,ftci,1356,3.60224,3.43323,4.46923,-6.28209
574.2,ci,1358,3.25389,3.38412,4.41663,-6.39936
574.2,ftci,1358,3.60224,3.4334,4.47028,-6.28236
574.292,ci,1360,3.25389,3.38426,4.4176,-6.39944
574.292,ftci,1360,3.60224,3.43358,4.4714,-6.28262
574.368,ci,1362,3.25389,3.38439,4.41776,-6.39954
574.368,ftci,1362,3.60224,3.43375,4.47166,-6.2829
574.456,ci,1364,3.25389,3.38453,4.41877,-6.39963
574.456,ftci,1364,3.60224,3.43392,4.47202,-6.28315
574.528,ci,1366,3.25389,3.38467,4.41911,-6.39971
574.528,ftci,1366,3.60224,3.4341,4.47304,-6.28339
574.632,ci,1368,3.25389,3.38482,4.4197,-6.39979
574.632,ftci,1368,3.60224,3.43427,4.47389,-6.28366
574.696,ci,1370,3.25389,3.38496,4.42143,-6.39988
574.696,ftci,1370,3.60224,3.43445,4.47496,-6.28391
574.78,ci,1372,3.25389,3.38511,4.42385,-6.39996
574.78,ftci,1372,3.60224,3.43463,4.47581,-6.28415
574.86,ci,1374,3.25389,3.38527,4.42617,-6.40004
574.86,ftci,1374,3.60224,3.43481,4.4767,-6.28442
574.948,ci,1376,3.25389,3.38542,4.42794,-6.40013
574.948,ftci,1376,3.60224,3.435,4.47833,-6.28467
575,ci,1378,3.25389,3.38559,4.42884,-6.40021
575,ftci,1378,3.60224,3.43519,4.47971,-6.28493
575.1,ci,1380,3.25389,3.38575,4.42915,-6.4003
575.1,ftci,1380,3.60224,3.43538,4.48058,-6.28518
575.2,ci,1382,3.25389,3.38593,4.43087,-6.40038
575.2,ftci,1382,3.60224,3.43559,4.48088,-6.28542
575.3,ci,1384,3.25389,3.38611,4.43109,-6.40045
575.3,ftci,1384,3.60224,3.43581,4.48245,-6.28566
575.356,ci,1386,3.25389,3.38631,4.43183,-6.40054
575.356,ftci,1386,3.60224,3.43603,4.48386,-6.28593
575.428,ci,1388,3.25389,3.38651,4.43236,-6.40062
575.428,ftci,1388,3.60224,3.43626,4.48477,-6.28616
575.5,ci,1390,3.25389,3.38672,4.43268,-6.4007
575.5,ftci,1390,3.60224,3.43651,4.48531,-6.28641
575.588,ci,1392,3.25389,3.38693,4.43304,-6.40077
575.588,ftci,1392,3.60224,3.43675,4.48558,-6.28665
575.656,ci,1394,3.25389,3.38716,4.43391,-6.40086
575.656,ftci,1394,3.60224,3.43701,4.4857,-6.28691
575.7,ci,1396,3.25389,3.38739,4.43507,-6.40095
575.7,ftci,1396,3.60224,3.43726,4.48591,-6.28716
575.752,ci,1398,3.25389,3.38762,4.43539,-6.40104
575.752,ftci,1398,3.60224,3.43753,4.48621,-6.28741
575.8,ci,1400,3.25389,3.38787,4.43608,-6.40111
575.8,ftci,1400,3.60224,3.43779,4.48629,-6.28763
575.852,ci,1402,3.25389,3.38811,4.43611,-6.40119
575.852,ftci,1402,3.60224,3.43805,4.48679,-6.28787
575.9,ci,1404,3.25389,3.38836,4.43648,-6.40126
575.9,ftci,1404,3.60224,3.43832,4.48691,-6.28811
575.952,ci,1406,3.25389,3.38862,4.43699,-6.40134
575.952,ftci,1406,3.60224,3.43859,4.4874,-6.28835
575.988,ci,1408,3.25389,3.38887,4.43859,-6.40142
575.988,ftci,1408,3.60224,3.43885,4.4877,-6.2886
576.024,ci,1410,3.25389,3.38912,4.44038,-6.40152
576.024,ftci,1410,3.60224,3.43911,4.48811,-6.28886
576.084,ci,1412,3.25389,3.38938,4.44133,-6.4016
576.084,ftci,1412,3.60224,3.43937,4.4884,-6.28909
576.1,ci,1414,3.25389,3.38964,4.44188,-6.40168
576.1,ftci,1414,3.60224,3.43963,4.4891,-6.28934
576.176,ci,1416,3.25389,3.3899,4.44301,-6.40175
576.176,ftci,1416,3.60224,3.43989,4.49039,-6.28955
576.2,ci,1418,3.25389,3.39017,4.44421,-6.40182
576.2,ftci,1418,3.60224,3.44016,4.49054,-6.28978
576.24,ci,1420,3.25389,3.39045,4.44441,-6.4019
576.24,ftci,1420,3.60224,3.44044,4.49122,-6.29003
576.28,ci,1422,3.25389,3.39073,4.44669,-6.40199
576.28,ftci,1422,3.60224,3.44072,4.49299,-6.29028
576.3,ci,1424,3.25389,3.39101,4.44819,-6.40205
576.3,ftci,1424,3.60224,3.441,4.49309,-6.2905
576.38,ci,1426,3.25389,3.39131,4.44851,-6.40212
576.38,ftci,1426,3.60224,3.44129,4.49457,-6.29072
576.448,ci,1428,3.25389,3.39161,4.44885,-6.40219
576.448,ftci,1428,3.60224,3.44159,4.49548,-6.29095
576.492,ci,1430,3.25389,3.39192,4.44916,-6.40226
576.492,ftci,1430,3.60224,3.4419,4.49796,-6.29118
576.512,ci,1432,3.25389,3.39223,4.45083,-6.40233
576.512,ftci,1432,3.60224,3.4422,4.50016,-6.29141
576.568,ci,1434,3.25389,3.39255,4.45354,-6.40241
576.568,ftci,1434,3.60224,3.44251,4.50067,-6.29165
576.6,ci,1436,3.25389,3.39287,4.45541,-6.40248
576.6,ftci,1436,3.60224,3.44283,4.50174,-6.29187
576.66,ci,1438,3.25389,3.39321,4.45647,-6.40256
576.66,ftci,1438,3.60224,3.44315,4.50468,-6.2921
576.7,ci,1440,3.25389,3.39354,4.4571,-6.40264
576.7,ftci,1440,3.60224,3.44348,4.50537,-6.29233
576.76,ci,1442,3.25389,3.3939,4.45857,-6.40272
576.76,ftci,1442,3.60224,3.44382,4.5058,-6.29256
576.8,ci,1444,3.25389,3.39425,4.45879,-6.4028
576.8,ftci,1444,3.60224,3.44417,4.50839,-6.2928
576.844,ci,1446,3.25389,3.39461,4.46068,-6.40289
576.844,ftci,1446,3.60224,3.44452,4.50944,-6.29304
576.876,ci,1448,3.25389,3.39498,4.46136,-6.40297
576.876,ftci,1448,3.60224,3.44487,4.51098,-6.29326
576.92,ci,1450,3.25389,3.39535,4.46271,-6.40305
576.92,ftci,1450,3.60224,3.44522,4.51224,-6.29349
576.976,ci,1452,3.25389,3.39573,4.46483,-6.40312
576.976,ftci,1452,3.60224,3.44558,4.51318,-6.29371
577.024,ci,1454,3.25389,3.39611,4.46641,-6.40319
577.024,ftci,1454,3.60224,3.44594,4.51412,-6.29393
577.1,ci,1456,3.25389,3.39649,4.4674,-6.40327
577.1,ftci,1456,3.60224,3.44631,4.51493,-6.29416
577.2,ci,1458,3.25389,3.39688,4.46891,-6.40334
577.2,ftci,1458,3.60224,3.44668,4.51558,-6.29439
