stamp_sec,method,IDF1,IDSW,Frag,MOTA,MedErr,RMSE,P95,FP,FN,GT,frame_GT,frame_pred,frame_matches,fresh,nonempty,pred_age_sec,pred_frame,min_gt_to_pred,mean_gt_to_pred,p95_gt_to_pred
529.588,ours,1,0,0,0.2,4.094044618,4.094044618,4.094044618,0,4,5,5,1,1,1,1,0.02,world,4.094044618,12.66133237,16.5593893
529.588,ab3dmot,1,0,0,0.2,4.097073009,4.097073009,4.097073009,0,4,5,5,1,1,1,1,0.268,world,4.097073009,12.6601473,16.55689371
529.664,ours,1,0,0,0.2,4.089363603,4.089366282,4.093576516,0,8,10,5,1,1,1,1,0.032,world,4.084682588,12.66196411,16.56881251
529.664,ab3dmot,1,0,0,0.2,4.0852565,4.085273589,4.095891358,0,8,10,5,1,1,1,1,0.076,world,4.07343999,12.66342409,16.58445578
529.76,ours,1,0,0,0.2,4.084682588,4.085725179,4.093108415,0,12,15,5,1,1,1,1,0.036,world,4.078433222,12.66157259,16.57423775
529.76,ab3dmot,1,0,0,0.2,4.07343999,4.08035165,4.094709707,0,12,15,5,1,1,1,1,0.172,world,4.070489917,12.6628279,16.58479898
529.86,ours,1,0,0,0.2,4.081557905,4.083312607,4.092640313,0,16,20,5,1,1,1,1,0.032,world,4.076066323,12.66124023,16.57473608
529.86,ab3dmot,1,0,0,0.2,4.071964954,4.075080456,4.093528057,0,16,20,5,1,1,1,1,0.076,world,4.059225803,12.66368412,16.59762545
529.964,ours,1,0,0,0.2,4.078433222,4.078886059,4.092172212,0,20,25,5,1,1,1,1,0.044,world,4.061131619,12.66311077,16.5931573
529.964,ab3dmot,1,0,0,0.2,4.070489917,4.070384678,4.092346406,0,20,25,5,1,1,1,1,0.08,world,4.051547144,12.66438369,16.60649408
530.068,ours,1,0,0,0.2,4.077249772,4.075042477,4.09170411,0,24,30,5,1,1,1,1,0.056,world,4.055769931,12.66327352,16.60110382
530.068,ab3dmot,1,0,0,0.2,4.06485786,4.06662832,4.091164755,0,24,30,5,1,1,1,1,0.088,world,4.047794239,12.66397932,16.61303288
530.156,ours,1,0,0,0.2,4.076066323,4.071380595,4.091236009,0,28,35,5,1,1,1,1,0.044,world,4.049339761,12.6641961,16.61026035
530.156,ab3dmot,1,0,0,0.2,4.059225803,4.063261174,4.089983104,0,28,35,5,1,1,1,1,0.108,world,4.042999409,12.6649429,16.61934538
530.256,ours,1,0,0,0.2,4.068598971,4.068093662,4.090767907,0,32,40,5,1,1,1,1,0.052,world,4.045010347,12.66511099,16.61763191
530.256,ab3dmot,1,0,0,0.2,4.055386473,4.060362597,4.088801453,0,32,40,5,1,1,1,1,0.108,world,4.040014332,12.66564894,16.62492211
530.356,ours,1,0,0,0.2,4.061131619,4.064893663,4.090299806,0,36,45,5,1,1,1,1,0.044,world,4.039202404,12.66682894,16.62745575
530.356,ab3dmot,1,0,0,0.2,4.051547144,4.05752369,4.087619802,0,36,45,5,1,1,1,1,0.108,world,4.034740522,12.66735278,16.63388713
530.456,ours,1,0,0,0.2,4.058450775,4.062132056,4.089831704,0,40,50,5,1,1,1,1,0.044,world,4.037192588,12.66735099,16.6332416
