stamp_ns,node_ns,src_drone_ns,fused_id,class_id,class_name,frame,x,y,z,cov00,cov01,cov02,cov10,cov11,cov12,cov20,cov21,cov22
530808000000,/,drone2,0,3,"container4",world,27.9058,4.66604,0,0.0958038,0,0,0,0.0958038,0,0,0,0.232377
530808000000,/,drone1,1,4,"container5",world,30.8731,-2.46403,0,0.0913853,0,0,0,0.0913853,0,0,0,0.223432
530900000000,/,drone2,0,3,"container4",world,27.9033,4.67814,0,0.0931928,0,0,0,0.0931928,0,0,0,0.227053
530900000000,/,drone1,1,4,"container5",world,30.8762,-2.46683,0,0.0908259,0,0,0,0.0908259,0,0,0,0.221113
530972000000,/,drone2,0,3,"container4",world,27.901,4.68356,0,0.0915486,0,0,0,0.0915486,0,0,0,0.223179
530972000000,/,drone1,1,4,"container5",world,30.878,-2.47025,0,0.0899059,0,0,0,0.0899059,0,0,0,0.218179
531060000000,/,drone2,0,3,"container4",world,27.8996,4.68638,0,0.0908117,0,0,0,0.0908117,0,0,0,0.221018
531060000000,/,drone1,1,4,"container5",world,30.8784,-2.47432,0,0.0894441,0,0,0,0.0894441,0,0,0,0.215655
531148000000,/,drone2,0,3,"container4",world,27.898,4.68353,0,0.0905202,0,0,0,0.0905202,0,0,0,0.220155
531148000000,/,drone1,1,4,"container5",world,30.8781,-2.47924,0,0.0890384,0,0,0,0.0890384,0,0,0,0.213317
531268000000,/,drone2,0,3,"container4",world,27.8957,4.68471,0,0.0905969,0,0,0,0.0905969,0,0,0,0.220112
531268000000,/,drone1,1,4,"container5",world,30.8769,-2.48134,0,0.0890857,0,0,0,0.0890857,0,0,0,0.212891
531336000000,/,drone2,0,3,"container4",world,27.8883,4.70627,0,0.0890662,0,0,0,0.0890662,0,0,0,0.213589
531336000000,/,drone1,1,4,"container5",world,30.874,-2.4856,0,0.0884125,0,0,0,0.0884125,0,0,0,0.210442
531400000000,/,drone2,0,3,"container4",world,27.8877,4.71162,0,0.0884753,0,0,0,0.0884753,0,0,0,0.211037
531400000000,/,drone1,1,4,"container5",world,30.8658,-2.49356,0,0.0880594,0,0,0,0.0880594,0,0,0,0.208138
