stamp_ns,node_ns,src_drone_ns,src_track_id,class_id,class_name,associated_track_id,is_new_track,mahalanobis_d2,association_threshold,pre_x,pre_y,pre_z,meas_x,meas_y,meas_z,post_x,post_y,post_z,pre_cov_det,meas_cov_det,post_cov_det,omega_used
638964000000,/,drone3,0,3,"container4",0,0,0.569833,8,27.32,4.20606,0,27.1054,3.9738,0,27.2128,4.09,0,0.00155823,0.00155513,0.00155668,0.499502
639012000000,/,drone2,0,3,"container4",0,0,0.572703,8,27.2128,4.09,0,27.4268,4.32436,0,27.3202,4.20766,0,0.00155668,0.0015766,0.00156666,0.503179
639012000000,/,drone2,1,4,"container5",2,0,0.000224662,8,30.4115,-4.13574,0,30.4148,-4.13043,0,30.4132,-4.13308,0,0.00156115,0.0015766,0.00156889,0.502462
639012000000,/,drone1,0,4,"container5",1,0,0.000707381,8,29.9224,-3.09848,0,29.9142,-3.09092,0,29.9183,-3.09471,0,0.00157238,0.00155653,0.00156447,0.497468
639012000000,/,drone3,0,3,"container4",0,0,0.552125,8,27.3202,4.20766,0,27.114,3.97383,0,27.2169,4.09051,0,0.00156666,0.0015766,0.00157164,0.501581
639076000000,/,drone2,0,3,"container4",0,0,0.556921,8,27.2169,4.09051,0,27.4255,4.32382,0,27.3211,4.207,0,0.00157164,0.00156477,0.0015682,0.498905
639076000000,/,drone2,1,4,"container5",2,0,0.000172651,8,30.4132,-4.13308,0,30.416,-4.12834,0,30.4146,-4.13071,0,0.00156889,0.00156477,0.00156683,0.499342
639076000000,/,drone1,0,4,"container5",1,0,0.000519175,8,29.9183,-3.09471,0,29.911,-3.08856,0,29.9147,-3.09163,0,0.00156447,0.00157789,0.00157119,0.502136
639076000000,/,drone3,0,3,"container4",0,0,0.548873,8,27.3211,4.207,0,27.1161,3.97355,0,27.2187,4.09035,0,0.0015682,0.00156477,0.00156649,0.499451
639112000000,/,drone2,0,3,"container4",0,0,0.551708,8,27.2187,4.09035,0,27.4247,4.32362,0,27.3214,4.20669,0,0.00156649,0.001554,0.00156025,0.498
639112000000,/,drone2,1,4,"container5",2,0,0.000211193,8,30.4146,-4.13071,0,30.4172,-4.12522,0,30.4159,-4.12797,0,0.00156683,0.001554,0.00156042,0.497945
639112000000,/,drone1,0,4,"container5",1,0,0.000226426,8,29.9147,-3.09163,0,29.9096,-3.0879,0,29.9121,-3.08976,0,0.00157119,0.00156598,0.00156859,0.499169
639112000000,/,drone3,0,3,"container4",0,0,0.541293,8,27.3214,4.20669,0,27.1212,3.97263,0,27.2216,4.09005,0,0.00156025,0.00154423,0.00155226,0.49742
639180000000,/,drone2,0,3,"container4",0,0,0.551138,8,27.2216,4.09005,0,27.4202,4.32983,0,27.3214,4.2106,0,0.00155226,0.00157942,0.00156588,0.504337
639180000000,/,drone2,1,4,"container5",2,0,0.000718716,8,30.4159,-4.12797,0,30.4169,-4.11677,0,30.4164,-4.12235,0,0.00156042,0.00157942,0.00156994,0.503025
639180000000,/,drone1,0,4,"container5",1,0,5.6743e-05,8,29.9121,-3.08976,0,29.9096,-3.0879,0,29.9108,-3.08883,0,0.00156859,0.00156598,0.00156728,0.499584
639180000000,/,drone3,0,3,"container4",0,0,0.545588,8,27.3214,4.2106,0,27.1236,3.972,0,27.2223,4.09097,0,0.00156588,0.00157942,0.00157266,0.502153
639204000000,/,drone2,0,3,"container4",0,0,0.554274,8,27.2223,4.09097,0,27.4154,4.33615,0,27.3185,4.21315,0,0.00157266,0.00155653,0.00156461,0.497423
639204000000,/,drone2,1,4,"container5",2,0,0.0013178,8,30.4164,-4.12235,0,30.4171,-4.10715,0,30.4167,-4.11477,0,0.00156994,0.00155653,0.00156324,0.497855
639204000000,/,drone1,0,4,"container5",1,0,6.81201e-05,8,29.9108,-3.08883,0,29.9089,-3.086,0,29.9098,-3.08742,0,0.00156728,0.00155513,0.00156121,0.498054
639204000000,/,drone3,0,3,"container4",0,0,0.539992,8,27.3185,4.21315,0,27.1289,3.97049,0,27.2239,4.09202,0,0.00156461,0.00155653,0.00156057,0.498706
639264000000,/,drone2,0,3,"container4",0,0,0.549789,8,27.2239,4.09202,0,27.4125,4.33959,0,27.3188,4.21657,0,0.00156057,0.00159094,0.00157581,0.504819
639264000000,/,drone2,1,4,"container5",2,0,0.000875491,8,30.4167,-4.11477,0,30.4163,-4.10236,0,30.4165,-4.10853,0,0.00156324,0.00159094,0.00157713,0.504391
639264000000,/,drone1,0,4,"container5",1,0,0.00018968,8,29.9098,-3.08742,0,29.9078,-3.08201,0,29.9088,-3.08471,0,0.00156121,0.0015766,0.00156892,0.502452
639264000000,/,drone3,0,3,"container4",0,0,0.548089,8,27.3188,4.21657,0,27.1299,3.96946,0,27.224,4.09264,0,0.00157581,0.00159094,0.00158339,0.50239
639304000000,/,drone2,0,3,"container4",0,0,0.555206,8,27.224,4.09264,0,27.409,4.34481,0,27.3162,4.21828,0,0.00158339,0.00156597,0.0015747,0.497235
639304000000,/,drone2,1,4,"container5",2,0,0.00130869,8,30.4165,-4.10853,0,30.4155,-4.09339,0,30.416,-4.10098,0,0.00157713,0.00156597,0.00157156,0.498225
639304000000,/,drone1,0,4,"container5",1,0,0.000126327,8,29.9088,-3.08471,0,29.9074,-3.08022,0,29.9081,-3.08246,0,0.00156892,0.00156477,0.00156684,0.499337
639304000000,/,drone3,0,3,"container4",0,0,0.555513,8,27.3162,4.21828,0,27.1299,3.96716,0,27.2232,4.09294,0,0.0015747,0.00156597,0.00157034,0.498611
639368000000,/,drone2,0,3,"container4",0,0,0.561108,8,27.2232,4.09294,0,27.4076,4.34709,0,27.3151,4.21962,0,0.00157034,0.00155513,0.00156275,0.497567
639368000000,/,drone2,1,4,"container5",2,0,0.000683333,8,30.416,-4.10098,0,30.4154,-4.09003,0,30.4157,-4.09552,0,0.00157156,0.00155513,0.00156336,0.497372
639368000000,/,drone1,0,4,"container5",1,0,0.000178769,8,29.9081,-3.08246,0,29.907,-3.07698,0,29.9075,-3.07974,0,0.00156684,0.00154423,0.00155557,0.496366
639368000000,/,drone3,0,3,"container4",0,0,0.562765,8,27.3151,4.21962,0,27.1292,3.96622,0,27.2223,4.09311,0,0.00156275,0.00155513,0.00155894,0.498778
639400000000,/,drone2,0,3,"container4",0,0,0.564008,8,27.2223,4.09311,0,27.4055,4.34959,0,27.3145,4.22215,0,0.00155894,0.00158957,0.00157431,0.504865
639400000000,/,drone2,1,4,"container5",2,0,0.000434251,8,30.4157,-4.09552,0,30.4178,-4.08702,0,30.4167,-4.09125,0,0.00156336,0.00158957,0.0015765,0.504157
639400000000,/,drone1,0,4,"container5",1,0,0.000111834,8,29.9075,-3.07974,0,29.9066,-3.0754,0,29.9071,-3.07756,0,0.00155557,0.00157942,0.00156752,0.503805
639400000000,/,drone3,0,3,"container4",0,0,0.5754,8,27.3145,4.22215,0,27.1269,3.96488,0,27.2206,4.09345,0,0.00157431,0.0015766,0.00157545,0.500364
639436000000,/,drone2,0,3,"container4",0,0,0.576529,8,27.2206,4.09345,0,27.403,4.35462,0,27.3116,4.22375,0,0.00157545,0.00156476,0.00157011,0.498298
639436000000,/,drone2,1,4,"container5",2,0,0.000800441,8,30.4167,-4.09125,0,30.422,-4.0806,0,30.4194,-4.08594,0,0.0015765,0.00156476,0.00157064,0.498132
639436000000,/,drone1,0,4,"container5",1,0,0.000201621,8,29.9071,-3.07756,0,29.9072,-3.0716,0,29.9071,-3.07456,0,0.00156752,0.00159094,0.00157926,0.503708
639436000000,/,drone3,0,3,"container4",0,0,0.581311,8,27.3116,4.22375,0,27.1248,3.96425,0,27.2183,4.09414,0,0.00157011,0.00156476,0.00156744,0.499147
639484000000,/,drone2,0,3,"container4",0,0,0.579867,8,27.2183,4.09414,0,27.403,4.35462,0,27.3106,4.22431,0,0.00156744,0.00156476,0.0015661,0.499573
639484000000,/,drone2,1,4,"container5",2,0,0.000201198,8,30.4194,-4.08594,0,30.422,-4.0806,0,30.4207,-4.08327,0,0.00157064,0.00156476,0.0015677,0.499063
639484000000,/,drone1,0,4,"container5",1,0,0.00015599,8,29.9071,-3.07456,0,29.9076,-3.06934,0,29.9073,-3.07196,0,0.00157926,0.00156597,0.00157263,0.497887
639484000000,/,drone3,0,3,"container4",0,0,0.588908,8,27.3106,4.22431,0,27.1223,3.96369,0,27.2167,4.09432,0,0.0015661,0.001554,0.00156006,0.49806
639508000000,/,drone2,0,3,"container4",0,0,0.588948,8,27.2167,4.09432,0,27.3986,4.35915,0,27.3073,4.2263,0,0.00156006,0.00154423,0.00155216,0.497451
639508000000,/,drone2,1,4,"container5",2,0,0.000375851,8,30.4207,-4.08327,0,30.4243,-4.07601,0,30.4225,-4.07966,0,0.0015677,0.00154423,0.001556,0.496229
639508000000,/,drone1,0,4,"container5",1,0,0.000128886,8,29.9073,-3.07196,0,29.9071,-3.0672,0,29.9072,-3.06957,0,0.00157263,0.00158957,0.00158112,0.502679
639508000000,/,drone3,0,3,"container4",0,0,0.598912,8,27.3073,4.2263,0,27.118,3.96276,0,27.2121,4.0938,0,0.00155216,0.00157942,0.00156583,0.504352
639576000000,/,drone2,0,3,"container4",0,0,0.59837,8,27.2121,4.0938,0,27.3964,4.36105,0,27.3045,4.22779,0,0.00156583,0.00157942,0.00157263,0.502161
639576000000,/,drone2,1,4,"container5",2,0,0.000235864,8,30.4225,-4.07966,0,30.4266,-4.07475,0,30.4246,-4.07719,0,0.001556,0.00157942,0.00156774,0.503735
639576000000,/,drone1,0,4,"container5",1,0,3.19701e-05,8,29.9072,-3.06957,0,29.9071,-3.0672,0,29.9071,-3.06838,0,0.00158112,0.00158957,0.00158535,0.501334
639576000000,/,drone3,0,3,"container4",0,0,0.600788,8,27.3045,4.22779,0,27.1173,3.96192,0,27.211,4.095,0,0.00157263,0.00156744,0.00157004,0.499173
639640000000,/,drone2,0,3,"container4",0,0,0.602332,8,27.211,4.095,0,27.3918,4.36546,0,27.3012,4.22986,0,0.00157004,0.00155653,0.00156329,0.497839
639640000000,/,drone2,1,4,"container5",2,0,0.000509816,8,30.4246,-4.07719,0,30.434,-4.07623,0,30.4293,-4.07671,0,0.00156774,0.00155653,0.00156214,0.498206
639640000000,/,drone1,0,4,"container5",1,0,7.96145e-06,8,29.9071,-3.06838,0,29.9071,-3.0672,0,29.9071,-3.06779,0,0.00158535,0.00158957,0.00158746,0.500665
