epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,660.085,0.54116,0.47384,1.12667,0.96076,0.96175,0.98724,0.91863,0.38788,0.38782,0.91691,0.000660045,0.000660045,0.000660045
43,676.944,0.54254,0.49165,1.11429,0.99718,0.99334,0.99454,0.93851,0.37599,0.2912,0.8955,0.000649046,0.000649046,0.000649046
44,693.275,0.53599,0.47875,1.11551,0.9976,0.99637,0.99423,0.94199,0.36944,0.28977,0.89662,0.000638047,0.000638047,0.000638047
45,710.253,0.52628,0.45811,1.10839,0.99628,0.99599,0.99424,0.94098,0.3697,0.29493,0.90012,0.000627048,0.000627048,0.000627048
46,726.943,0.50846,0.43634,1.08995,0.99722,0.99593,0.99459,0.93956,0.38816,0.30952,0.89836,0.000616049,0.000616049,0.000616049
47,743.909,0.53111,0.43877,1.10763,0.9982,0.99797,0.99446,0.94605,0.3652,0.27615,0.88309,0.000605051,0.000605051,0.000605051
48,761.048,0.52316,0.4475,1.1002,0.97883,0.99752,0.99457,0.94251,0.38374,0.3158,0.89344,0.000594052,0.000594052,0.000594052
49,777.857,0.52086,0.44536,1.10028,0.98209,0.99683,0.99436,0.93638,0.37351,0.31892,0.88734,0.000583053,0.000583053,0.000583053
50,794.995,0.53054,0.45485,1.09685,0.99797,0.99722,0.99444,0.93916,0.37524,0.2976,0.89352,0.000572054,0.000572054,0.000572054
51,811.449,0.49022,0.42456,1.07488,0.99601,0.99688,0.99443,0.94344,0.36011,0.29402,0.88023,0.000561055,0.000561055,0.000561055
52,828.323,0.50605,0.4096,1.07904,0.99823,0.99583,0.99426,0.94078,0.35819,0.27368,0.87564,0.000550056,0.000550056,0.000550056
53,844.265,0.51537,0.42251,1.08617,0.99571,0.99489,0.99411,0.93999,0.36007,0.27675,0.86933,0.000539057,0.000539057,0.000539057
54,860.669,0.49029,0.42637,1.0736,0.99772,0.99557,0.99454,0.93663,0.35903,0.26735,0.87248,0.000528058,0.000528058,0.000528058
55,877.137,0.49176,0.39605,1.07708,0.9976,0.99666,0.99424,0.94597,0.34315,0.26545,0.86861,0.000517059,0.000517059,0.000517059
56,893.398,0.5094,0.42048,1.08757,0.99679,0.99522,0.99429,0.94095,0.36203,0.27413,0.88335,0.00050606,0.00050606,0.00050606
57,910.178,0.5123,0.41291,1.08692,0.99789,0.9961,0.99472,0.93869,0.35544,0.26581,0.87757,0.000495062,0.000495062,0.000495062
58,926.962,0.48962,0.40657,1.08285,0.99839,0.99789,0.99422,0.94531,0.36142,0.26462,0.87978,0.000484063,0.000484063,0.000484063
59,942.816,0.50225,0.41529,1.08433,0.99759,0.99856,0.99463,0.93878,0.36007,0.26619,0.88177,0.000473064,0.000473064,0.000473064
60,959.572,0.50058,0.42963,1.08344,0.99732,0.99661,0.99461,0.94288,0.35637,0.2552,0.86912,0.000462065,0.000462065,0.000462065
61,976.265,0.47006,0.39156,1.05687,0.99775,0.9976,0.99446,0.95049,0.34225,0.25929,0.86259,0.000451066,0.000451066,0.000451066
62,993.138,0.49668,0.42073,1.06572,0.99787,0.99572,0.99418,0.93803,0.3658,0.26792,0.87654,0.000440067,0.000440067,0.000440067
63,1009.64,0.4828,0.419,1.07366,0.99836,0.99633,0.99432,0.95312,0.33239,0.25196,0.85773,0.000429068,0.000429068,0.000429068
64,1026.5,0.49961,0.40343,1.08499,0.99719,0.9971,0.99431,0.94102,0.35372,0.25773,0.86753,0.000418069,0.000418069,0.000418069
65,1041.86,0.4827,0.39487,1.05606,0.99255,0.9896,0.99454,0.94558,0.33436,0.26378,0.85653,0.00040707,0.00040707,0.00040707
66,1058.02,0.46153,0.45299,1.05636,0.99763,0.99844,0.99444,0.94775,0.33676,0.24381,0.86224,0.000396071,0.000396071,0.000396071
67,1074.89,0.47258,0.38473,1.05357,0.99825,0.99778,0.99457,0.94746,0.34573,0.25383,0.8604,0.000385073,0.000385073,0.000385073
68,1090.65,0.48292,0.38224,1.06342,0.99787,0.99795,0.9946,0.94867,0.33059,0.24384,0.85806,0.000374074,0.000374074,0.000374074
69,1106.05,0.47982,0.37845,1.0561,0.99798,0.99766,0.99451,0.94412,0.35105,0.25278,0.85775,0.000363075,0.000363075,0.000363075
70,1121.96,0.48299,0.37235,1.05478,0.99737,0.99823,0.99424,0.94382,0.34258,0.24754,0.85465,0.000352076,0.000352076,0.000352076
71,1137.9,0.4635,0.36121,1.0545,0.99747,0.9979,0.99468,0.94965,0.33694,0.24781,0.85593,0.000341077,0.000341077,0.000341077
72,1153.73,0.46209,0.3767,1.05281,0.99822,0.99842,0.99435,0.9507,0.32897,0.24113,0.8532,0.000330078,0.000330078,0.000330078
73,1169.42,0.45066,0.36971,1.04889,0.99823,0.99812,0.99457,0.94469,0.34197,0.2399,0.86234,0.000319079,0.000319079,0.000319079
74,1185.28,0.44539,0.36164,1.03369,0.99753,0.99822,0.99443,0.95039,0.33589,0.23828,0.85672,0.00030808,0.00030808,0.00030808
75,1201.08,0.48304,0.36827,1.04773,0.99783,0.99823,0.99453,0.94832,0.34112,0.2427,0.85943,0.000297081,0.000297081,0.000297081
76,1216.92,0.46085,0.3603,1.03943,0.99841,0.99764,0.99454,0.95071,0.33677,0.23484,0.85434,0.000286083,0.000286083,0.000286083
77,1232.52,0.45783,0.34922,1.05117,0.9982,0.99852,0.99441,0.94955,0.34001,0.23267,0.85884,0.000275084,0.000275084,0.000275084
78,1247.88,0.45015,0.34371,1.0428,0.99821,0.99842,0.9945,0.9494,0.33218,0.23225,0.85622,0.000264085,0.000264085,0.000264085
79,1264.4,0.44307,0.34108,1.03687,0.99811,0.99829,0.99445,0.95458,0.32348,0.2291,0.84612,0.000253086,0.000253086,0.000253086
80,1280.45,0.43077,0.34735,1.03344,0.99817,0.99804,0.99445,0.95414,0.3223,0.22667,0.84797,0.000242087,0.000242087,0.000242087
81,1295.85,0.44379,0.35254,1.03866,0.99833,0.99816,0.99436,0.95484,0.31281,0.22682,0.8401,0.000231088,0.000231088,0.000231088
82,1311.46,0.44172,0.34049,1.03781,0.99796,0.99801,0.99451,0.95484,0.32192,0.22704,0.8419,0.000220089,0.000220089,0.000220089
83,1327.04,0.43298,0.33712,1.03133,0.99845,0.99817,0.99462,0.9549,0.32758,0.22577,0.84258,0.00020909,0.00020909,0.00020909
84,1342.97,0.44701,0.35061,1.03284,0.99835,0.99835,0.99437,0.95665,0.31768,0.22287,0.84125,0.000198091,0.000198091,0.000198091
85,1359.81,0.42981,0.3472,1.01998,0.99783,0.99802,0.99449,0.9567,0.31567,0.22842,0.84158,0.000187092,0.000187092,0.000187092
86,1375.8,0.43275,0.33847,1.03739,0.99671,0.99774,0.99463,0.95746,0.31249,0.22374,0.84178,0.000176094,0.000176094,0.000176094
87,1392.44,0.43229,0.33638,1.03851,0.99808,0.9985,0.99459,0.95332,0.32177,0.22446,0.84114,0.000165095,0.000165095,0.000165095
88,1408.65,0.41921,0.35101,1.02077,0.99817,0.99855,0.99434,0.95341,0.31842,0.22287,0.84162,0.000154096,0.000154096,0.000154096
89,1424.58,0.42898,0.33921,1.02901,0.99771,0.99841,0.99441,0.95502,0.30972,0.2173,0.83873,0.000143097,0.000143097,0.000143097
90,1440.63,0.41351,0.32504,1.01759,0.99777,0.99796,0.99439,0.96059,0.30635,0.21559,0.836,0.000132098,0.000132098,0.000132098
91,1456.68,0.3545,0.29288,0.96512,0.99797,0.99808,0.99447,0.96005,0.30587,0.21985,0.83045,0.000121099,0.000121099,0.000121099
92,1471.98,0.34906,0.28108,0.94571,0.99824,0.99848,0.9942,0.95611,0.31501,0.22452,0.83345,0.0001101,0.0001101,0.0001101
93,1487.83,0.34752,0.28447,0.94945,0.99811,0.99804,0.99425,0.95698,0.31573,0.222,0.83187,9.91012e-05,9.91012e-05,9.91012e-05
94,1502.77,0.35097,0.27422,0.95753,0.9977,0.9975,0.99419,0.9523,0.32164,0.22254,0.8378,8.81023e-05,8.81023e-05,8.81023e-05
95,1518.71,0.34219,0.27434,0.95629,0.99803,0.99754,0.99417,0.95854,0.31317,0.21742,0.82972,7.71034e-05,7.71034e-05,7.71034e-05
96,1533.98,0.33527,0.27052,0.9596,0.99808,0.99797,0.99417,0.95896,0.30363,0.21123,0.82936,6.61045e-05,6.61045e-05,6.61045e-05
97,1549.08,0.32192,0.2585,0.93474,0.99826,0.99817,0.99418,0.96155,0.29735,0.21061,0.82471,5.51056e-05,5.51056e-05,5.51056e-05
98,1565.31,0.32831,0.26348,0.94363,0.99829,0.99811,0.99424,0.96344,0.30223,0.21389,0.82687,4.41067e-05,4.41067e-05,4.41067e-05
99,1580.74,0.33631,0.26428,0.94177,0.99817,0.99824,0.9942,0.962,0.29674,0.21134,0.82497,3.31078e-05,3.31078e-05,3.31078e-05
100,1596.38,0.32653,0.25967,0.93692,0.99795,0.9983,0.99421,0.96343,0.29191,0.20948,0.82182,2.21089e-05,2.21089e-05,2.21089e-05
