stamp,track_id,class,ns,est_x,est_y,est_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aq_range_est,aq_range_gt,aq_range_err
622.020000,0,-1,drone3,4.194435,-4.846623,0.000000,container1,7.352495,-5.265233,-1.985569,-3.158060,0.418610,1.985569,3.753806,8.021886,11.123111,-3.101225
622.084000,1,-1,drone3,15.207756,-14.649889,0.000000,container5,16.862950,-15.265725,-1.924165,-1.655194,0.615836,1.924165,2.611768,22.733104,24.485637,-1.752533
622.084000,0,-1,drone3,4.193552,-4.852631,0.000000,container1,7.351589,-5.265400,-1.994537,-3.158037,0.412769,1.994537,3.757892,8.024807,11.124199,-3.099392
622.116000,1,-1,drone3,15.198443,-14.644524,0.000000,container5,16.862576,-15.265794,-1.929818,-1.664133,0.621269,1.929818,2.622882,22.722748,24.486083,-1.763335
622.116000,0,-1,drone3,4.193220,-4.856453,0.000000,container1,7.351128,-5.265486,-1.998843,-3.157908,0.409033,1.998843,3.759663,8.027007,11.124904,-3.097897
622.184000,1,-1,drone3,15.185193,-14.636070,0.000000,container5,16.862195,-15.265864,-1.935387,-1.677002,0.629794,1.935387,2.637176,22.707306,24.486433,-1.779127
622.184000,0,-1,drone3,4.193701,-4.863142,0.000000,container1,7.350661,-5.265572,-2.003028,-3.156960,0.402430,2.003028,3.760381,8.031438,11.125485,-3.094047
622.216000,1,-1,drone3,15.176642,-14.628716,0.000000,container5,16.861410,-15.266007,-1.946259,-1.684768,0.637291,1.946259,2.651887,22.696275,24.487017,-1.790742
622.216000,0,-1,drone3,4.194742,-4.867096,0.000000,container1,7.349713,-5.265749,-2.011021,-3.154970,0.398653,2.011021,3.762575,8.034836,11.126472,-3.091636
622.284000,1,-1,drone3,15.166738,-14.619788,0.000000,container5,16.861007,-15.266080,-1.951557,-1.694269,0.646292,1.951557,2.663985,22.683117,24.487333,-1.804216
622.284000,0,-1,drone3,4.195863,-4.873302,0.000000,container1,7.349231,-5.265839,-2.014826,-3.153368,0.392537,2.014826,3.762624,8.039512,11.126975,-3.087463
622.316000,1,-1,drone3,15.162174,-14.613023,0.000000,container5,16.860181,-15.266230,-1.961862,-1.698007,0.653207,1.961862,2.675595,22.675538,24.487848,-1.812310
622.316000,0,-1,drone3,4.196877,-4.876492,0.000000,container1,7.348254,-5.266021,-2.022041,-3.151377,0.389530,2.022041,3.764514,8.042445,11.127804,-3.085359
622.384000,0,-1,drone3,4.197733,-4.882205,0.000000,container1,7.347759,-5.266114,-2.025447,-3.150026,0.383909,2.025447,3.764636,8.046622,11.128226,-3.081604
622.384000,1,-1,drone3,15.153872,-14.603856,0.000000,container5,16.859758,-15.266307,-1.966863,-1.705887,0.662451,1.966863,2.686529,22.663465,24.488128,-1.824663
622.416000,1,-1,drone3,15.151498,-14.597287,0.000000,container5,16.858894,-15.266463,-1.976548,-1.707396,0.669176,1.976548,2.696246,22.657702,24.488570,-1.830868
622.416000,0,-1,drone3,4.198781,-4.885033,0.000000,container1,7.346757,-5.266302,-2.031846,-3.147976,0.381269,2.031846,3.766101,8.049371,11.128890,-3.079519
622.480000,1,-1,drone3,15.145661,-14.589393,0.000000,container5,16.858453,-15.266542,-1.981228,-1.712792,0.677149,1.981228,2.705079,22.648340,24.488812,-1.840472
622.480000,0,-1,drone3,4.200220,-4.890171,0.000000,container1,7.346251,-5.266397,-2.034836,-3.146032,0.376226,2.034836,3.765583,8.053690,11.129227,-3.075537
622.512000,1,-1,drone3,15.143778,-14.583414,0.000000,container5,16.858006,-15.266623,-1.985794,-1.714228,0.683209,1.985794,2.710854,22.643328,24.489121,-1.845794
622.512000,0,-1,drone3,4.201007,-4.893294,0.000000,container1,7.345741,-5.266493,-2.037683,-3.144734,0.373199,2.037683,3.765738,8.056394,11.129629,-3.073235
622.580000,1,-1,drone3,15.138563,-14.576298,0.000000,container5,16.857096,-15.266786,-1.994581,-1.718533,0.690488,1.994581,2.721853,22.634938,24.489380,-1.854442
622.580000,0,-1,drone3,4.201895,-4.899115,0.000000,container1,7.344713,-5.266686,-2.042943,-3.142818,0.367571,2.042943,3.766435,8.060660,11.129970,-3.069311
622.612000,1,-1,drone3,15.136700,-14.571776,0.000000,container5,16.856633,-15.266869,-1.998795,-1.719933,0.695093,1.998795,2.726996,22.630863,24.489648,-1.858785
622.612000,0,-1,drone3,4.202579,-4.901566,0.000000,container1,7.344195,-5.266784,-2.045353,-3.141616,0.365218,2.045353,3.766511,8.062887,11.130283,-3.067395
622.680000,1,-1,drone3,15.132561,-14.565101,0.000000,container5,16.855692,-15.267037,-2.006856,-1.723131,0.701936,2.006856,2.736671,22.623583,24.489829,-1.866246
622.680000,0,-1,drone3,4.203905,-4.906867,0.000000,container1,7.343150,-5.266981,-2.049727,-3.139245,0.360114,2.049727,3.766420,8.067208,11.130449,-3.063241
622.744000,1,-1,drone3,15.127858,-14.559464,0.000000,container5,16.855215,-15.267122,-2.010697,-1.727357,0.707658,2.010697,2.743619,22.616600,24.490054,-1.873454
622.744000,0,-1,drone3,4.205483,-4.912211,0.000000,container1,7.342625,-5.267080,-2.051688,-3.137142,0.354869,2.051688,3.765238,8.071840,11.130670,-3.058830
622.780000,1,-1,drone3,15.126698,-14.556399,0.000000,container5,16.854733,-15.267207,-2.014410,-1.728035,0.710808,2.014410,2.747581,22.613911,24.490187,-1.876276
622.780000,0,-1,drone3,4.207322,-4.915061,0.000000,container1,7.342098,-5.267179,-2.053496,-3.134775,0.352118,2.053496,3.763994,8.075154,11.130769,-3.055615
622.844000,1,-1,drone3,15.121943,-14.551504,0.000000,container5,16.853757,-15.267380,-2.021442,-1.731814,0.715876,2.021442,2.756426,22.607354,24.490335,-1.882981
622.844000,0,-1,drone3,4.209817,-4.919783,0.000000,container1,7.341039,-5.267379,-2.056652,-3.131222,0.347596,2.056652,3.762339,8.080168,11.130786,-3.050618
622.876000,1,-1,drone3,15.119835,-14.549684,0.000000,container5,16.853263,-15.267467,-2.024756,-1.733428,0.717783,2.024756,2.760366,22.604791,24.490501,-1.885709
622.876000,0,-1,drone3,4.211211,-4.922359,0.000000,container1,7.340507,-5.267479,-2.057998,-3.129296,0.345120,2.057998,3.761244,8.083037,11.130881,-3.047845
