epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,498.326,0.38608,0.34573,0.88109,0.99736,1,0.995,0.9441,0.33549,0.22613,0.71214,0.000795698,0.000795698,0.000795698
45,509.868,0.36188,0.3213,0.87451,0.99786,1,0.995,0.9412,0.31885,0.22015,0.70293,0.000788366,0.000788366,0.000788366
46,521.629,0.3827,0.33197,0.87109,0.99664,1,0.995,0.94538,0.33027,0.23117,0.70448,0.000781033,0.000781033,0.000781033
47,533.462,0.37192,0.43924,0.8804,0.99692,1,0.995,0.94898,0.33428,0.23361,0.71245,0.0007737,0.0007737,0.0007737
48,544.18,0.38397,0.35382,0.89399,0.9976,1,0.995,0.93923,0.34532,0.21847,0.71904,0.000766368,0.000766368,0.000766368
49,554.756,0.36467,0.31985,0.87377,0.99768,1,0.995,0.9429,0.32741,0.23802,0.70798,0.000759035,0.000759035,0.000759035
50,566.552,0.38173,0.33401,0.87642,0.996,0.99908,0.995,0.93846,0.33799,0.2404,0.70781,0.000751703,0.000751703,0.000751703
51,577.773,0.37606,0.32679,0.87973,0.99704,0.99955,0.995,0.94163,0.32158,0.24529,0.71603,0.00074437,0.00074437,0.00074437
52,589.534,0.36523,0.31069,0.86767,0.99787,1,0.995,0.95467,0.31964,0.23526,0.70868,0.000737037,0.000737037,0.000737037
53,601.004,0.35974,0.31018,0.8789,0.99741,1,0.995,0.95116,0.33395,0.23096,0.70743,0.000729705,0.000729705,0.000729705
54,611.551,0.37834,0.33574,0.87978,0.9971,0.9997,0.995,0.94676,0.36135,0.22739,0.72195,0.000722372,0.000722372,0.000722372
55,623.072,0.37104,0.29971,0.87908,0.99802,1,0.995,0.94815,0.33562,0.23507,0.70249,0.00071504,0.00071504,0.00071504
56,634.922,0.35997,0.29872,0.87532,0.998,1,0.995,0.94489,0.34181,0.2222,0.71255,0.000707707,0.000707707,0.000707707
57,646.649,0.37383,0.32094,0.87815,0.99768,1,0.995,0.95215,0.3411,0.22623,0.71322,0.000700374,0.000700374,0.000700374
