epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.02252,0.54941,2.81218,0.99146,0.00584,1,0.77174,0.71338,0.41263,2.69226,0.72799,0.00024442,0.00024442,0.00024442
2,11.4573,0.49592,1.27395,0.92477,0.87126,0.94829,0.96396,0.88538,0.42863,1.21642,0.73614,0.00049896,0.00049896,0.00049896
3,16.8714,0.48787,0.89913,0.90863,0.94697,0.96993,0.98658,0.91704,0.41096,0.95984,0.73447,0.000752488,0.000752488,0.000752488
4,22.2733,0.49566,0.8498,0.90918,0.96573,0.97787,0.9896,0.91686,0.40246,0.75051,0.72455,0.001005,0.001005,0.001005
5,27.6248,0.46934,0.82,0.90565,0.97314,0.95291,0.99022,0.92083,0.39839,0.70365,0.72127,0.0011022,0.0011022,0.0011022
6,33.0612,0.46494,0.76081,0.90554,0.98424,0.98023,0.99046,0.91998,0.41795,0.6801,0.73726,0.0011,0.0011,0.0011
7,38.4434,0.48006,0.73002,0.90927,0.98699,0.97977,0.99123,0.92206,0.4772,0.84771,0.78447,0.0010978,0.0010978,0.0010978
8,43.8661,0.46934,0.68498,0.90166,0.79961,0.87327,0.86622,0.80461,0.48482,1.21434,0.76896,0.0010956,0.0010956,0.0010956
9,49.3008,0.47021,0.73244,0.9043,0.97358,0.98175,0.99183,0.93126,0.38226,0.55761,0.70902,0.0010934,0.0010934,0.0010934
10,54.7362,0.44261,0.6432,0.90145,0.97463,0.99429,0.99468,0.9394,0.37391,0.56835,0.7102,0.0010912,0.0010912,0.0010912
11,60.1986,0.45253,0.61402,0.89424,0.98678,0.98857,0.99435,0.93258,0.40651,0.5816,0.72615,0.001089,0.001089,0.001089
12,65.5417,0.44441,0.57563,0.89325,0.98259,0.98411,0.99478,0.93353,0.40497,0.5082,0.72181,0.0010868,0.0010868,0.0010868
13,71.0031,0.43785,0.6036,0.8975,0.99608,0.99289,0.9945,0.93242,0.3836,0.44259,0.71035,0.0010846,0.0010846,0.0010846
14,76.4869,0.42239,0.53817,0.88983,0.99788,0.99011,0.99392,0.93327,0.40415,0.40669,0.72077,0.0010824,0.0010824,0.0010824
15,81.9671,0.43014,0.50981,0.89741,0.99585,0.98462,0.99352,0.94267,0.38729,0.40917,0.7078,0.0010802,0.0010802,0.0010802
16,87.4396,0.42363,0.48,0.88298,0.99585,0.99429,0.99468,0.93118,0.40579,0.39927,0.73248,0.001078,0.001078,0.001078
17,92.8588,0.42201,0.47574,0.89734,0.99718,0.99429,0.99468,0.93155,0.37773,0.36379,0.70056,0.0010758,0.0010758,0.0010758
18,98.2625,0.43974,0.48202,0.90109,0.99249,0.9908,0.99459,0.94123,0.36841,0.34854,0.70485,0.0010736,0.0010736,0.0010736
19,103.531,0.40642,0.50138,0.88103,0.99652,0.99326,0.99478,0.9345,0.35042,0.32123,0.70245,0.0010714,0.0010714,0.0010714
20,108.789,0.4255,0.46759,0.90033,0.98998,0.99429,0.99459,0.9247,0.39179,0.34116,0.71969,0.0010692,0.0010692,0.0010692
21,114.133,0.43753,0.47137,0.90432,0.99716,0.99059,0.99102,0.93121,0.37912,0.3302,0.71525,0.001067,0.001067,0.001067
22,119.626,0.41349,0.42702,0.89186,0.99701,0.99324,0.99102,0.95183,0.34132,0.31372,0.69314,0.0010648,0.0010648,0.0010648
23,125.085,0.42701,0.4151,0.87744,0.99721,0.99429,0.9938,0.93711,0.35117,0.31944,0.699,0.0010626,0.0010626,0.0010626
24,130.35,0.395,0.39717,0.88061,0.99439,0.98787,0.99256,0.9193,0.37207,0.35153,0.71125,0.00106041,0.00106041,0.00106041
25,135.741,0.40155,0.39938,0.88154,0.99456,0.98947,0.99468,0.93676,0.38271,0.33154,0.71818,0.00105821,0.00105821,0.00105821
26,141.145,0.39198,0.3886,0.87391,0.99284,0.98465,0.995,0.94485,0.34442,0.32712,0.70115,0.00105601,0.00105601,0.00105601
27,146.479,0.4123,0.40213,0.88653,0.99562,0.99159,0.99441,0.94071,0.35895,0.29228,0.70301,0.00105381,0.00105381,0.00105381
28,151.713,0.3873,0.37212,0.87797,0.99476,0.98976,0.99489,0.94882,0.34894,0.28375,0.69882,0.00105161,0.00105161,0.00105161
29,156.971,0.40932,0.37005,0.88358,0.89495,0.97853,0.95468,0.90252,0.3777,0.48219,0.70761,0.00104941,0.00104941,0.00104941
30,162.265,0.40433,0.38399,0.88464,0.99629,0.9903,0.99489,0.95454,0.35731,0.29529,0.70554,0.00104721,0.00104721,0.00104721
31,167.597,0.39836,0.36928,0.88052,0.99702,0.98995,0.995,0.94719,0.34231,0.25583,0.69311,0.00104501,0.00104501,0.00104501
32,173.006,0.38999,0.35852,0.88549,0.99617,0.99038,0.995,0.95453,0.33596,0.27773,0.68924,0.00104281,0.00104281,0.00104281
33,178.447,0.4027,0.3723,0.88436,0.99613,0.99062,0.995,0.95809,0.32888,0.2717,0.69106,0.00104061,0.00104061,0.00104061
34,183.965,0.38102,0.35622,0.8836,0.99709,0.99042,0.99489,0.93628,0.36474,0.27657,0.69789,0.00103841,0.00103841,0.00103841
35,189.453,0.39243,0.34013,0.88163,0.98776,1,0.995,0.96014,0.32311,0.28217,0.68817,0.00103621,0.00103621,0.00103621
36,194.915,0.36536,0.33683,0.88033,0.99501,0.99247,0.99459,0.94492,0.37078,0.31206,0.70914,0.00103401,0.00103401,0.00103401
37,200.269,0.38244,0.40215,0.87544,0.9801,0.99034,0.99457,0.94247,0.37452,0.31542,0.72606,0.00103181,0.00103181,0.00103181
38,205.789,0.37609,0.35004,0.87021,0.99421,0.99116,0.99489,0.94676,0.34649,0.25783,0.70086,0.00102961,0.00102961,0.00102961
39,211.209,0.38034,0.33455,0.87577,0.99673,0.99097,0.99489,0.9465,0.3603,0.27911,0.70866,0.00102741,0.00102741,0.00102741
40,216.669,0.37253,0.36303,0.87418,0.99713,0.98971,0.995,0.94338,0.36138,0.27031,0.70218,0.00102521,0.00102521,0.00102521
