stamp,drone,source,x,y,z,qx,qy,qz,qw,yaw,vx,vy,vz
0.020000,drone3,raw,1.000000,0.600000,1.697648,0.000000,-0.000000,0.000000,1.000000,0.000000,83.333333,50.000000,141.470667
0.020000,drone1,raw,1.000000,-0.600000,1.697648,0.000000,-0.000000,0.000000,1.000000,0.000000,83.333333,-50.000000,141.470667
0.020000,drone2,raw,1.000000,0.000000,1.697648,0.000000,-0.000000,0.000000,1.000000,0.000000,83.333333,0.000000,141.470667
0.040000,drone3,raw,1.000000,0.600000,1.691376,0.000000,-0.000000,0.000000,1.000000,0.000000,31.250000,18.750000,52.855500
0.040000,drone1,raw,1.000000,-0.600000,1.691376,0.000000,-0.000000,0.000000,1.000000,0.000000,31.250000,-18.750000,52.855500
0.040000,drone2,raw,1.000000,0.000000,1.691376,0.000000,-0.000000,0.000000,1.000000,0.000000,31.250000,0.000000,52.855500
0.060000,drone3,raw,1.000000,0.600000,1.681184,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-0.411600
0.060000,drone1,raw,1.000000,-0.600000,1.681184,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-0.411600
0.060000,drone2,raw,1.000000,0.000000,1.681184,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,0.000000,-0.411600
0.080000,drone3,raw,1.000000,0.600000,1.667072,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-0.607600
0.080000,drone2,raw,1.000000,0.000000,1.667072,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-0.607600
0.080000,drone1,raw,1.000000,-0.600000,1.667072,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-0.607600
0.100000,drone3,raw,1.000000,0.600000,1.649040,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-0.803600
0.100000,drone1,raw,1.000000,-0.600000,1.649040,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-0.803600
0.100000,drone2,raw,1.000000,0.000000,1.649040,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-0.803600
0.120000,drone2,raw,1.000000,0.000000,1.627088,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-0.999600
0.120000,drone3,raw,1.000000,0.600000,1.627088,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-0.999600
0.120000,drone1,raw,1.000000,-0.600000,1.627088,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-0.999600
0.140000,drone2,raw,1.000000,0.000000,1.601216,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-1.195600
0.140000,drone1,raw,1.000000,-0.600000,1.601216,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-1.195600
0.140000,drone3,raw,1.000000,0.600000,1.601216,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-1.195600
0.160000,drone3,raw,1.000000,0.600000,1.571424,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-1.391600
0.160000,drone1,raw,1.000000,-0.600000,1.571424,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-1.391600
0.160000,drone2,raw,1.000000,0.000000,1.571424,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-1.391600
0.180000,drone3,raw,1.000000,0.600000,1.537712,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-1.587600
0.180000,drone2,raw,1.000000,0.000000,1.537712,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-1.587600
0.180000,drone1,raw,1.000000,-0.600000,1.537712,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-1.587600
0.200000,drone3,raw,1.000000,0.600000,1.500080,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-1.783600
0.200000,drone1,raw,1.000000,-0.600000,1.500080,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-1.783600
0.200000,drone2,raw,1.000000,0.000000,1.500080,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-1.783600
0.220000,drone3,raw,1.000000,0.600000,1.458528,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-1.979600
0.220000,drone2,raw,1.000000,0.000000,1.458528,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-1.979600
0.220000,drone1,raw,1.000000,-0.600000,1.458528,0.000000,-0.000000,0.000000,1.000000,0.000000,-0.000000,-0.000000,-1.979600
0.240000,drone1,raw,0.999429,-0.600011,1.418331,0.000003,-0.000182,-0.000000,1.000000,-0.000000,-0.014305,-0.000277,-2.043729
0.240000,drone2,raw,0.998867,-0.000022,1.423385,0.000007,-0.000360,-0.000000,1.000000,-0.000000,-0.028425,-0.000551,-1.917370
0.240000,drone3,raw,0.999429,0.599989,1.418339,0.000004,-0.000182,-0.000000,1.000000,-0.000000,-0.014301,-0.000277,-2.043520
0.260000,drone3,raw,0.996407,0.599932,1.398983,0.000022,-0.001144,-0.000000,0.999999,-0.000001,-0.090587,-0.001725,-1.488506
0.260000,drone1,raw,0.996406,-0.600068,1.398931,0.000021,-0.001144,-0.000000,0.999999,-0.000001,-0.090611,-0.001725,-1.489796
0.260000,drone2,raw,0.995835,-0.000080,1.404006,0.000025,-0.001322,-0.000000,0.999999,-0.000001,-0.105133,-0.002007,-1.362896
0.280000,drone3,raw,0.993185,0.599872,1.382171,0.000040,-0.002167,-0.000001,0.999998,-0.000002,-0.158282,-0.002954,-0.903791
0.280000,drone1,raw,0.993184,-0.600128,1.382075,0.000040,-0.002167,-0.000001,0.999998,-0.000002,-0.158321,-0.002954,-0.905987
0.280000,drone2,raw,0.992603,-0.000139,1.387171,0.000043,-0.002345,-0.000001,0.999997,-0.000002,-0.159118,-0.002969,-0.904888
0.300000,drone3,raw,0.989900,0.599814,1.368413,0.000058,-0.003208,-0.000001,0.999995,-0.000002,-0.166029,-0.003001,-0.763505
0.300000,drone2,raw,0.989307,-0.000197,1.373389,0.000062,-0.003386,-0.000001,0.999994,-0.000002,-0.166833,-0.003015,-0.764610
0.300000,drone1,raw,0.989899,-0.600186,1.368273,0.000058,-0.003208,-0.000001,0.999995,-0.000002,-0.166064,-0.003000,-0.765719
0.320000,drone3,raw,0.986703,0.599758,1.358108,0.000076,-0.004218,-0.000001,0.999991,-0.000003,-0.165930,-0.002925,-0.600499
0.320000,drone1,raw,0.986700,-0.600242,1.357926,0.000076,-0.004218,-0.000001,0.999991,-0.000003,-0.165959,-0.002925,-0.602646
0.320000,drone2,raw,0.986099,-0.000253,1.363062,0.000079,-0.004396,-0.000001,0.999990,-0.000003,-0.166670,-0.002938,-0.601571
0.340000,drone3,raw,0.983747,0.599706,1.351540,0.000092,-0.005150,-0.000001,0.999987,-0.000004,-0.157336,-0.002760,-0.420475
0.340000,drone1,raw,0.983745,-0.600294,1.351319,0.000092,-0.005150,-0.000001,0.999987,-0.000004,-0.157358,-0.002760,-0.422502
0.340000,drone2,raw,0.983135,-0.000306,1.356474,0.000096,-0.005327,-0.000001,0.999986,-0.000004,-0.157981,-0.002772,-0.421487
0.360000,drone1,raw,0.981180,-0.600342,1.348613,0.000107,-0.005955,-0.000001,0.999982,-0.000004,-0.140316,-0.002554,-0.231373
0.360000,drone2,raw,0.980562,-0.000354,1.353785,0.000111,-0.006133,-0.000002,0.999981,-0.000004,-0.140821,-0.002564,-0.230428
0.360000,drone3,raw,0.981182,0.599658,1.348871,0.000107,-0.005955,-0.000001,0.999982,-0.000004,-0.140299,-0.002554,-0.229487
0.380000,drone2,raw,0.978497,-0.000392,1.355040,0.000123,-0.006777,-0.000002,0.999977,-0.000005,-0.116286,-0.002173,-0.034434
0.380000,drone3,raw,0.979124,0.599620,1.350140,0.000119,-0.006599,-0.000001,0.999978,-0.000005,-0.115909,-0.002166,-0.033625
0.380000,drone1,raw,0.979122,-0.600380,1.349854,0.000119,-0.006599,-0.000001,0.999978,-0.000005,-0.115920,-0.002166,-0.035245
