stamp,drone,source,x,y,z,qx,qy,qz,qw,yaw,vx,vy,vz
0.300000,drone1,raw,0.991558,-0.600030,1.373199,0.000009,-0.002679,-0.000000,0.999996,-0.000000,-0.135992,-0.000478,-0.681913
0.320000,drone3,raw,0.989096,0.599961,1.364868,0.000012,-0.003457,-0.000000,0.999994,-0.000000,-0.130456,-0.000470,-0.508241
0.320000,drone1,raw,0.989095,-0.600039,1.364839,0.000012,-0.003457,-0.000000,0.999994,-0.000000,-0.130461,-0.000470,-0.508588
0.320000,drone2,raw,0.988566,-0.000041,1.370121,0.000013,-0.003613,-0.000000,0.999993,-0.000001,-0.131037,-0.000472,-0.508413
0.340000,drone3,raw,0.986957,0.599953,1.360420,0.000015,-0.004130,-0.000000,0.999991,-0.000001,-0.117186,-0.000450,-0.319223
0.340000,drone1,raw,0.986957,-0.600047,1.360384,0.000015,-0.004130,-0.000000,0.999991,-0.000001,-0.117190,-0.000449,-0.319555
0.340000,drone2,raw,0.986421,-0.000049,1.365670,0.000015,-0.004287,-0.000000,0.999991,-0.000001,-0.117664,-0.000451,-0.319388
0.360000,drone2,raw,0.984686,-0.000057,1.365269,0.000018,-0.004829,-0.000000,0.999988,-0.000001,-0.097977,-0.000404,-0.120485
0.360000,drone3,raw,0.985228,0.599945,1.360022,0.000017,-0.004673,-0.000000,0.999989,-0.000001,-0.097623,-0.000403,-0.120335
0.360000,drone1,raw,0.985228,-0.600055,1.359981,0.000017,-0.004673,-0.000000,0.999989,-0.000001,-0.097627,-0.000403,-0.120635
0.380000,drone3,raw,0.983814,0.599940,1.363747,0.000019,-0.005115,-0.000000,0.999987,-0.000001,-0.077725,-0.000304,0.083912
0.380000,drone1,raw,0.983814,-0.600060,1.363702,0.000019,-0.005115,-0.000000,0.999987,-0.000001,-0.077727,-0.000304,0.083681
0.380000,drone2,raw,0.983268,-0.000062,1.368991,0.000019,-0.005271,-0.000000,0.999986,-0.000001,-0.077953,-0.000305,0.083796
0.400000,drone3,raw,0.982749,0.599937,1.371487,0.000020,-0.005446,-0.000000,0.999985,-0.000001,-0.058969,-0.000187,0.287244
0.400000,drone2,raw,0.982199,-0.000065,1.376730,0.000020,-0.005603,-0.000000,0.999984,-0.000001,-0.059077,-0.000187,0.287169
0.400000,drone1,raw,0.982749,-0.600063,1.371440,0.000019,-0.005446,-0.000000,0.999985,-0.000001,-0.058969,-0.000187,0.287096
0.420000,drone3,raw,0.982274,0.599936,1.382934,0.000020,-0.005592,-0.000000,0.999984,-0.000001,-0.033255,-0.000098,0.480052
0.420000,drone2,raw,0.981723,-0.000066,1.388176,0.000021,-0.005748,-0.000000,0.999983,-0.000001,-0.033224,-0.000098,0.480007
0.420000,drone1,raw,0.982274,-0.600064,1.382885,0.000020,-0.005592,-0.000000,0.999984,-0.000001,-0.033254,-0.000098,0.479964
