13.0899,13.0899,13.0899
12.9693,12.9693,12.9693
12.2598,12.2598,12.2598
55.640000000,3x3
13.1103,13.1103,13.1103
12.9928,12.9928,12.9928
12.289,12.289,12.289
56.108000000,3x3
13.1371,13.1371,13.1371
13.0304,13.0304,13.0304
12.3199,12.3199,12.3199
56.588000000,3x3
13.2248,13.2248,13.2248
13.1144,13.1144,13.1144
12.3434,12.3434,12.3434
56.960000000,3x3
13.2327,13.2327,13.2327
13.1095,13.1095,13.1095
12.3741,12.3741,12.3741
57.372000000,3x3
13.1966,13.1966,13.1966
13.0741,13.0741,13.0741
12.4074,12.4074,12.4074
57.784000000,3x3
13.1778,13.1778,13.1778
13.0469,13.0469,13.0469
12.4288,12.4288,12.4288
58.204000000,3x3
13.3009,13.3009,13.3009
13.1826,13.1826,13.1826
12.4514,12.4514,12.4514
58.660000000,3x3
13.5704,13.5704,13.5704
13.4644,13.4644,13.4644
12.482,12.482,12.482
59.132000000,3x3
13.8445,13.8445,13.8445
13.7322,13.7322,13.7322
12.5315,12.5315,12.5315
59.608000000,3x3
13.8054,13.8054,13.8054
13.6828,13.6828,13.6828
12.5593,12.5593,12.5593
60.96000000,3x3
13.9338,13.9338,13.9338
13.8236,13.8236,13.8236
12.5924,12.5924,12.5924
60.552000000,3x3
13.9789,13.9789,13.9789
13.859,13.859,13.859
12.6374,12.6374,12.6374
60.988000000,3x3
14.3128,14.3128,14.3128
14.1849,14.1849,14.1849
13.0992,13.0992,13.0992
61.376000000,3x3
14.334,14.334,14.334
14.2125,14.2125,14.2125
13.1314,13.1314,13.1314
61.732000000,3x3
14.3096,14.3096,14.3096
14.1985,14.1985,14.1985
13.1475,13.1475,13.1475
62.112000000,3x3
14.4149,14.4149,14.4149
14.313,14.313,14.313
13.1683,13.1683,13.1683
62.464000000,3x3
14.5417,14.5417,14.5417
14.4408,14.4408,14.4408
13.2028,13.2028,13.2028
62.872000000,3x3
14.6719,14.6719,14.6719
14.5644,14.5644,14.5644
13.2338,13.2338,13.2338
63.300000000,3x3
14.4629,14.4629,14.4629
14.3474,14.3474,14.3474
13.2569,13.2569,13.2569
63.696000000,3x3
14.344,14.344,14.344
14.2297,14.2297,14.2297
13.2736,13.2736,13.2736
64.100000000,3x3
14.2568,14.2568,14.2568
14.1399,14.1399,14.1399
13.3055,13.3055,13.3055
64.516000000,3x3
14.296,14.296,14.296
14.1717,14.1717,14.1717
13.341,13.341,13.341
64.940000000,3x3
14.4805,14.4805,14.4805
14.3509,14.3509,14.3509
13.3783,13.3783,13.3783
65.344000000,3x3
14.4907,14.4907,14.4907
14.3569,14.3569,14.3569
13.4097,13.4097,13.4097
65.728000000,3x3
14.5735,14.5735,14.5735
14.44,14.44,14.44
13.4377,13.4377,13.4377
66.152000000,3x3
14.5565,14.5565,14.5565
14.4244,14.4244,14.4244
13.4848,13.4848,13.4848
66.564000000,3x3
14.7813,14.7813,14.7813
14.6682,14.6682,14.6682
13.4248,13.4248,13.4248
66.992000000,3x3
15.4743,15.4743,15.4743
15.3828,15.3828,15.3828
13.312,13.312,13.312
67.388000000,3x3
15.3842,15.3842,15.3842
15.2879,15.2879,15.2879
13.304,13.304,13.304
67.800000000,3x3
14.7997,14.7997,14.7997
14.6969,14.6969,14.6969
13.1853,13.1853,13.1853
68.184000000,3x3
14.3921,14.3921,14.3921
14.2801,14.2801,14.2801
13.2013,13.2013,13.2013
68.604000000,3x6
14.3453,14.3453,14.3453,12.7335,12.7335,12.7335
14.2279,14.2279,14.2279,12.7614,12.7614,12.7614
13.1962,13.1962,13.1962,11.9004,11.9004,11.9004
68.988000000,3x6
14.1947,14.1947,14.1947,12.6464,12.6464,12.6464
14.0734,14.0734,14.0734,12.6719,12.6719,12.6719
13.0867,13.0867,13.0867,11.8563,11.8563,11.8563
69.436000000,3x6
14.0091,14.0091,14.0091,12.5658,12.5658,12.5658
13.8953,13.8953,13.8953,12.5852,12.5852,12.5852
12.9481,12.9481,12.9481,11.8049,11.8049,11.8049
69.852000000,3x6
13.9804,13.9804,13.9804,12.4651,12.4651,12.4651
13.8601,13.8601,13.8601,12.4647,12.4647,12.4647
12.9815,12.9815,12.9815,11.7533,11.7533,11.7533
70.200000000,3x6
14.0129,14.0129,14.0129,12.4643,12.4643,12.4643
13.8888,13.8888,13.8888,12.4568,12.4568,12.4568
13.0045,13.0045,13.0045,11.732,11.732,11.732
70.552000000,3x6
14.2356,14.2356,14.2356,12.3708,12.3708,12.3708
14.1089,14.1089,14.1089,12.3691,12.3691,12.3691
13.3114,13.3114,13.3114,11.7272,11.7272,11.7272
70.888000000,3x6
14.2557,14.2557,14.2557,12.2325,12.2325,12.2325
14.1334,14.1334,14.1334,12.2421,12.2421,12.2421
13.3509,13.3509,13.3509,11.6139,11.6139,11.6139
71.200000000,3x6
14.3441,14.3441,14.3441,12.0562,12.0562,12.0562
14.2187,14.2187,14.2187,12.062,12.062,12.062
13.383,13.383,13.383,11.3803,11.3803,11.3803
71.600000000,3x6
14.3974,14.3974,14.3974,12.5668,12.5668,12.5668
14.2686,14.2686,14.2686,12.5617,12.5617,12.5617
13.4096,13.4096,13.4096,11.8666,11.8666,11.8666
71.944000000,3x6
14.5103,14.5103,14.5103,12.4579,12.4579,12.4579
14.3894,14.3894,14.3894,12.4555,12.4555,12.4555
13.4333,13.4333,13.4333,11.6663,11.6663,11.6663
72.292000000,3x6
14.5751,14.5751,14.5751,12.1947,12.1947,12.1947
14.4691,14.4691,14.4691,12.2027,12.2027,12.2027
13.4576,13.4576,13.4576,11.3601,11.3601,11.3601
72.636000000,3x6
14.5214,14.5214,14.5214,12.1365,12.1365,12.1365
14.4188,14.4188,14.4188,12.1472,12.1472,12.1472
13.4891,13.4891,13.4891,11.3932,11.3932,11.3932
73.32000000,3x6
14.5382,14.5382,14.5382,12.0829,12.0829,12.0829
14.4242,14.4242,14.4242,12.0828,12.0828,12.0828
13.5109,13.5109,13.5109,11.3565,11.3565,11.3565
73.400000000,3x6
14.5715,14.5715,14.5715,12.1087,12.1087,12.1087
14.4472,14.4472,14.4472,12.0959,12.0959,12.0959
13.5325,13.5325,13.5325,11.3829,11.3829,11.3829
73.800000000,3x6
14.5696,14.5696,14.5696,12.0535,12.0535,12.0535
14.4423,14.4423,14.4423,12.043,12.043,12.043
13.5535,13.5535,13.5535,11.3485,11.3485,11.3485
74.200000000,3x6
15.0228,15.0228,15.0228,12.1786,12.1786,12.1786
14.8968,14.8968,14.8968,12.1639,12.1639,12.1639
13.8994,13.8994,13.8994,11.3591,11.3591,11.3591
74.564000000,3x6
14.7932,14.7932,14.7932,12.1785,12.1785,12.1785
14.6663,14.6663,14.6663,12.1602,12.1602,12.1602
13.6698,13.6698,13.6698,11.3659,11.3659,11.3659
74.912000000,3x6
14.9156,14.9156,14.9156,12.3676,12.3676,12.3676
14.7912,14.7912,14.7912,12.3474,12.3474,12.3474
13.7384,13.7384,13.7384,11.5011,11.5011,11.5011
75.308000000,3x6
14.8846,14.8846,14.8846,12.3335,12.3335,12.3335
14.7617,14.7617,14.7617,12.3155,12.3155,12.3155
