stamp_ns,node_ns,src_drone_ns,fused_id,class_id,frame,x,y,z,cov00,cov01,cov02,cov10,cov11,cov12,cov20,cov21,cov22
9796000000,/,drone2,0,-1,world,-0.783159,-0.127427,0.000000,1.228291e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.228291e-01,0.000000e+00,0.000000e+00,0.000000e+00,4.402927e-01
9868000000,/,drone2,0,-1,world,-0.571705,-0.015934,0.000000,1.131478e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.131478e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.832890e-01
9944000000,/,drone2,0,-1,world,-0.491486,0.026363,0.000000,1.094750e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.094750e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.632702e-01
10036000000,/,drone2,0,-1,world,-0.467111,0.039215,0.000000,1.083590e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.083590e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.573485e-01
10112000000,/,drone2,0,-1,world,-0.875654,-0.150992,0.000000,3.992510e-01,0.000000e+00,0.000000e+00,0.000000e+00,3.992510e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.279298e+00
10196000000,/,drone2,0,-1,world,-0.875718,-0.150530,0.000000,4.046124e-01,0.000000e+00,0.000000e+00,0.000000e+00,4.046124e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.293217e+00
10264000000,/,drone2,0,-1,world,-0.875704,-0.150304,0.000000,4.069642e-01,0.000000e+00,0.000000e+00,0.000000e+00,4.069642e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.299285e+00
10364000000,/,drone2,0,-1,world,-0.875681,-0.150195,0.000000,4.080170e-01,0.000000e+00,0.000000e+00,0.000000e+00,4.080170e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.301992e+00
10452000000,/,drone2,0,-1,world,-0.875664,-0.150142,0.000000,4.084924e-01,0.000000e+00,0.000000e+00,0.000000e+00,4.084924e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.303211e+00
10520000000,/,drone2,0,-1,world,-0.951919,-0.066213,0.000000,4.344622e-01,0.000000e+00,0.000000e+00,0.000000e+00,4.344622e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.440023e+00
10600000000,/,drone2,0,-1,world,-0.967683,-0.048815,0.000000,4.398307e-01,0.000000e+00,0.000000e+00,0.000000e+00,4.398307e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.469663e+00
10700000000,/,drone2,0,-1,world,-0.971469,-0.044651,0.000000,4.411200e-01,0.000000e+00,0.000000e+00,0.000000e+00,4.411200e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.476847e+00
10784000000,/,drone2,0,-1,world,-0.972406,-0.043623,0.000000,4.414393e-01,0.000000e+00,0.000000e+00,0.000000e+00,4.414393e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.478629e+00
10868000000,/,drone2,0,-1,world,-0.972640,-0.043368,0.000000,4.415189e-01,0.000000e+00,0.000000e+00,0.000000e+00,4.415189e-01,0.000000e+00,0.000000e+00,0.000000e+00,1.479074e+00
10952000000,/,drone1,0,-1,world,-0.934329,0.120949,0.000000,1.571911e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.571911e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.947824e+00
11028000000,/,drone1,0,-1,world,-0.935609,0.117234,0.000000,1.540440e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.540440e+00,0.000000e+00,0.000000e+00,0.000000e+00,1.943187e+00
