stamp,ns,odom_topic,frame_id,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z
14.452000,drone3,ekf/odom,/drone3/odom,0.942070,0.608619,1.103146,-0.001652,-0.004351,0.000031,0.999989,0.003760,0.020180,-0.099887,0.000000,0.000000,0.000000
14.600000,drone3,ekf/odom,/drone3/odom,0.935792,0.603932,1.089473,-0.001729,-0.003792,0.000032,0.999991,-0.039733,-0.031252,-0.096717,0.000000,0.000000,0.000000
14.732000,drone3,ekf/odom,/drone3/odom,0.931988,0.595298,1.078868,-0.001791,-0.003266,0.000034,0.999993,-0.026575,-0.068667,-0.089300,0.000000,0.000000,0.000000
14.732000,drone3,ekf/odom,/drone3/odom,0.931681,0.595745,1.080097,-0.001796,-0.003214,0.000034,0.999993,-0.026938,-0.068138,-0.087889,0.000000,0.000000,0.000000
14.732000,drone3,ekf/odom,/drone3/odom,0.931423,0.596146,1.081075,-0.001796,-0.003214,0.000034,0.999993,-0.027243,-0.067665,-0.086769,0.000000,0.000000,0.000000
14.736000,drone3,ekf/odom,/drone3/odom,0.931087,0.596247,1.081633,-0.001800,-0.003179,0.000034,0.999993,-0.028025,-0.068053,-0.084434,0.000000,0.000000,0.000000
14.736000,drone3,ekf/odom,/drone3/odom,0.930884,0.596584,1.082442,-0.001800,-0.003179,0.000034,0.999993,-0.028264,-0.067656,-0.083508,0.000000,0.000000,0.000000
14.736000,drone3,ekf/odom,/drone3/odom,0.930702,0.596887,1.083174,-0.001800,-0.003179,0.000034,0.999993,-0.028479,-0.067298,-0.082671,0.000000,0.000000,0.000000
14.736000,drone3,ekf/odom,/drone3/odom,0.930548,0.597165,1.083767,-0.001800,-0.003179,0.000034,0.999993,-0.028660,-0.066970,-0.081992,0.000000,0.000000,0.000000
14.736000,drone3,ekf/odom,/drone3/odom,0.930408,0.597418,1.084309,-0.001805,-0.003126,0.000034,0.999993,-0.028826,-0.066672,-0.081372,0.000000,0.000000,0.000000
14.736000,drone3,ekf/odom,/drone3/odom,0.930280,0.597649,1.084805,-0.001805,-0.003126,0.000034,0.999993,-0.028977,-0.066399,-0.080805,0.000000,0.000000,0.000000
14.736000,drone3,ekf/odom,/drone3/odom,0.930162,0.597861,1.085261,-0.001805,-0.003126,0.000034,0.999993,-0.029115,-0.066149,-0.080283,0.000000,0.000000,0.000000
14.752000,drone3,ekf/odom,/drone3/odom,0.929596,0.597034,1.084414,-0.001809,-0.003091,0.000034,0.999994,-0.030378,-0.067013,-0.079631,0.000000,0.000000,0.000000
14.752000,drone3,ekf/odom,/drone3/odom,0.929521,0.597263,1.084816,-0.001814,-0.003038,0.000034,0.999994,-0.030467,-0.066743,-0.079172,0.000000,0.000000,0.000000
14.752000,drone3,ekf/odom,/drone3/odom,0.929451,0.597476,1.085188,-0.001814,-0.003038,0.000034,0.999994,-0.030548,-0.066492,-0.078747,0.000000,0.000000,0.000000
14.752000,drone3,ekf/odom,/drone3/odom,0.929387,0.597673,1.085533,-0.001814,-0.003038,0.000034,0.999994,-0.030624,-0.066260,-0.078352,0.000000,0.000000,0.000000
14.800000,drone3,ekf/odom,/drone3/odom,0.927586,0.594665,1.082105,-0.001831,-0.002862,0.000035,0.999994,-0.037813,-0.069296,-0.080806,0.000000,0.000000,0.000000
14.800000,drone3,ekf/odom,/drone3/odom,0.927599,0.594977,1.082546,-0.001834,-0.002827,0.000035,0.999994,-0.037797,-0.068927,-0.080301,0.000000,0.000000,0.000000
