stamp,ns,odom_topic,frame_id,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z
14.600000,drone2,ekf/odom,/drone2/odom,0.952663,0.008776,1.091027,-0.001737,-0.003744,0.000036,0.999991,0.076789,0.032035,-0.098974,0.000000,0.000000,0.000000
14.600000,drone2,ekf/odom,/drone2/odom,0.951770,0.008545,1.091606,-0.001741,-0.003709,0.000039,0.999992,0.075565,0.031717,-0.098199,0.000000,0.000000,0.000000
14.600000,drone2,ekf/odom,/drone2/odom,0.950936,0.008329,1.092149,-0.001741,-0.003709,0.000039,0.999992,0.074422,0.031421,-0.097474,0.000000,0.000000,0.000000
14.600000,drone2,ekf/odom,/drone2/odom,0.950155,0.008126,1.092658,-0.001741,-0.003709,0.000039,0.999992,0.073351,0.031143,-0.096794,0.000000,0.000000,0.000000
14.652000,drone2,ekf/odom,/drone2/odom,0.952995,0.009845,1.087756,-0.001762,-0.003533,0.000037,0.999992,0.071881,0.038178,-0.106221,0.000000,0.000000,0.000000
14.652000,drone2,ekf/odom,/drone2/odom,0.952095,0.009579,1.088380,-0.001768,-0.003481,0.000038,0.999992,0.070647,0.037812,-0.105387,0.000000,0.000000,0.000000
14.652000,drone2,ekf/odom,/drone2/odom,0.951254,0.009330,1.088963,-0.001768,-0.003481,0.000038,0.999992,0.069494,0.037470,-0.104608,0.000000,0.000000,0.000000
14.652000,drone2,ekf/odom,/drone2/odom,0.950467,0.009097,1.089510,-0.001768,-0.003481,0.000038,0.999992,0.068415,0.037151,-0.103877,0.000000,0.000000,0.000000
14.700000,drone2,ekf/odom,/drone2/odom,0.952410,0.009883,1.085467,-0.001788,-0.003305,0.000038,0.999993,0.058576,0.021908,-0.097709,0.000000,0.000000,0.000000
14.700000,drone2,ekf/odom,/drone2/odom,0.951542,0.009619,1.086113,-0.001792,-0.003270,0.000039,0.999993,0.057387,0.021545,-0.096846,0.000000,0.000000,0.000000
14.700000,drone2,ekf/odom,/drone2/odom,0.950732,0.009372,1.086717,-0.001792,-0.003270,0.000039,0.999993,0.056276,0.021207,-0.096039,0.000000,0.000000,0.000000
14.700000,drone2,ekf/odom,/drone2/odom,0.949974,0.009141,1.087283,-0.001792,-0.003270,0.000039,0.999993,0.055237,0.020890,-0.095282,0.000000,0.000000,0.000000
14.752000,drone2,ekf/odom,/drone2/odom,0.951826,0.010284,1.083188,-0.001810,-0.003094,0.000039,0.999994,0.051781,0.027312,-0.091858,0.000000,0.000000,0.000000
14.752000,drone2,ekf/odom,/drone2/odom,0.950983,0.010007,1.083871,-0.001810,-0.003094,0.000039,0.999994,0.050625,0.026931,-0.090945,0.000000,0.000000,0.000000
14.752000,drone2,ekf/odom,/drone2/odom,0.950196,0.009748,1.084510,-0.001815,-0.003041,0.000038,0.999994,0.049546,0.026577,-0.090092,0.000000,0.000000,0.000000
14.752000,drone2,ekf/odom,/drone2/odom,0.949460,0.009506,1.085108,-0.001815,-0.003041,0.000038,0.999994,0.048537,0.026244,-0.089292,0.000000,0.000000,0.000000
14.800000,drone2,ekf/odom,/drone2/odom,0.950251,0.010229,1.081799,-0.001832,-0.002865,0.000041,0.999994,0.032703,0.020748,-0.083548,0.000000,0.000000,0.000000
14.800000,drone2,ekf/odom,/drone2/odom,0.949475,0.009957,1.082498,-0.001835,-0.002830,0.000038,0.999994,0.031639,0.020375,-0.082614,0.000000,0.000000,0.000000
14.800000,drone2,ekf/odom,/drone2/odom,0.948750,0.009703,1.083153,-0.001835,-0.002830,0.000038,0.999994,0.030645,0.020027,-0.081740,0.000000,0.000000,0.000000
14.800000,drone2,ekf/odom,/drone2/odom,0.948072,0.009465,1.083766,-0.001835,-0.002830,0.000038,0.999994,0.029715,0.019701,-0.080920,0.000000,0.000000,0.000000
14.852000,drone2,ekf/odom,/drone2/odom,0.948788,0.009939,1.080625,-0.001855,-0.002601,0.000040,0.999995,0.027587,0.014122,-0.074335,0.000000,0.000000,0.000000
14.852000,drone2,ekf/odom,/drone2/odom,0.948067,0.009677,1.081352,-0.001855,-0.002601,0.000040,0.999995,0.026599,0.013763,-0.073364,0.000000,0.000000,0.000000
14.852000,drone2,ekf/odom,/drone2/odom,0.947394,0.009433,1.082032,-0.001855,-0.002601,0.000040,0.999995,0.025677,0.013428,-0.072456,0.000000,0.000000,0.000000
14.852000,drone2,ekf/odom,/drone2/odom,0.946765,0.009204,1.082669,-0.001855,-0.002601,0.000040,0.999995,0.024814,0.013115,-0.071605,0.000000,0.000000,0.000000
14.900000,drone2,ekf/odom,/drone2/odom,0.947754,0.009674,1.079948,-0.001871,-0.002391,0.000040,0.999995,0.034664,0.015007,-0.072212,0.000000,0.000000,0.000000
14.900000,drone2,ekf/odom,/drone2/odom,0.947081,0.009425,1.080691,-0.001871,-0.002391,0.000040,0.999995,0.033741,0.014665,-0.071219,0.000000,0.000000,0.000000
14.900000,drone2,ekf/odom,/drone2/odom,0.946453,0.009191,1.081386,-0.001871,-0.002391,0.000040,0.999995,0.032880,0.014345,-0.070291,0.000000,0.000000,0.000000
14.900000,drone2,ekf/odom,/drone2/odom,0.945864,0.008973,1.082037,-0.001871,-0.002391,0.000040,0.999995,0.032073,0.014046,-0.069420,0.000000,0.000000,0.000000
14.952000,drone2,ekf/odom,/drone2/odom,0.946616,0.008602,1.079766,-0.001886,-0.002165,0.000042,0.999996,0.026496,-0.003045,-0.058302,0.000000,0.000000,0.000000
14.952000,drone2,ekf/odom,/drone2/odom,0.945988,0.008390,1.080529,-0.001886,-0.002165,0.000042,0.999996,0.025635,-0.003336,-0.057283,0.000000,0.000000,0.000000
