stamp,ns,odom_topic,frame_id,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z
15.252000,drone3,ekf/odom,/drone3/odom,0.942147,0.596119,1.121425,-0.001933,-0.000916,0.000037,0.999998,-0.001463,-0.045998,0.081328,0.000000,0.000000,0.000000
15.252000,drone3,ekf/odom,/drone3/odom,0.941759,0.596348,1.120823,-0.001933,-0.000916,0.000037,0.999998,-0.002003,-0.045679,0.080523,0.000000,0.000000,0.000000
15.300000,drone3,ekf/odom,/drone3/odom,0.941902,0.594741,1.124094,-0.001933,-0.000758,0.000037,0.999998,0.011277,-0.039551,0.081686,0.000000,0.000000,0.000000
15.300000,drone3,ekf/odom,/drone3/odom,0.941504,0.595032,1.123447,-0.001933,-0.000758,0.000037,0.999998,0.010725,-0.039147,0.080821,0.000000,0.000000,0.000000
15.300000,drone3,ekf/odom,/drone3/odom,0.941134,0.595304,1.122841,-0.001933,-0.000727,0.000037,0.999998,0.010210,-0.038770,0.080011,0.000000,0.000000,0.000000
15.300000,drone3,ekf/odom,/drone3/odom,0.940787,0.595558,1.122273,-0.001933,-0.000727,0.000037,0.999998,0.009728,-0.038417,0.079252,0.000000,0.000000,0.000000
15.352000,drone3,ekf/odom,/drone3/odom,0.941382,0.593732,1.126056,-0.001932,-0.000572,0.000037,0.999998,0.018619,-0.041373,0.084588,0.000000,0.000000,0.000000
15.356000,drone3,ekf/odom,/drone3/odom,0.941078,0.593906,1.125761,-0.001932,-0.000526,0.000037,0.999998,0.018351,-0.040216,0.084248,0.000000,0.000000,0.000000
15.356000,drone3,ekf/odom,/drone3/odom,0.940723,0.594219,1.125167,-0.001932,-0.000526,0.000037,0.999998,0.017858,-0.039780,0.083455,0.000000,0.000000,0.000000
15.356000,drone3,ekf/odom,/drone3/odom,0.940392,0.594512,1.124611,-0.001932,-0.000526,0.000037,0.999998,0.017398,-0.039374,0.082713,0.000000,0.000000,0.000000
15.400000,drone3,ekf/odom,/drone3/odom,0.939752,0.592201,1.127982,-0.001929,-0.000373,0.000037,0.999998,-0.007497,-0.061173,0.089786,0.000000,0.000000,0.000000
15.400000,drone3,ekf/odom,/drone3/odom,0.939444,0.592578,1.127406,-0.001929,-0.000373,0.000037,0.999998,-0.007924,-0.060650,0.089018,0.000000,0.000000,0.000000
15.400000,drone3,ekf/odom,/drone3/odom,0.939157,0.592929,1.126868,-0.001929,-0.000343,0.000037,0.999998,-0.008323,-0.060161,0.088300,0.000000,0.000000,0.000000
15.400000,drone3,ekf/odom,/drone3/odom,0.938888,0.593259,1.126363,-0.001929,-0.000343,0.000037,0.999998,-0.008696,-0.059705,0.087626,0.000000,0.000000,0.000000
15.452000,drone3,ekf/odom,/drone3/odom,0.937984,0.591137,1.129830,-0.001924,-0.000192,0.000037,0.999998,-0.012757,-0.048748,0.076602,0.000000,0.000000,0.000000
15.452000,drone3,ekf/odom,/drone3/odom,0.937744,0.591552,1.129313,-0.001924,-0.000192,0.000037,0.999998,-0.013091,-0.048172,0.075911,0.000000,0.000000,0.000000
15.452000,drone3,ekf/odom,/drone3/odom,0.937519,0.591939,1.128829,-0.001923,-0.000148,0.000037,0.999998,-0.013403,-0.047635,0.075265,0.000000,0.000000,0.000000
15.452000,drone3,ekf/odom,/drone3/odom,0.937309,0.592301,1.128375,-0.001923,-0.000148,0.000037,0.999998,-0.013694,-0.047133,0.074659,0.000000,0.000000,0.000000
15.500000,drone3,ekf/odom,/drone3/odom,0.936610,0.590518,1.131408,-0.001917,0.000000,0.000037,0.999998,-0.010694,-0.046187,0.072447,0.000000,0.000000,0.000000
15.500000,drone3,ekf/odom,/drone3/odom,0.936425,0.590951,1.130965,-0.001915,0.000030,0.000037,0.999998,-0.010951,-0.045586,0.071854,0.000000,0.000000,0.000000
15.500000,drone3,ekf/odom,/drone3/odom,0.936252,0.591355,1.130549,-0.001915,0.000030,0.000037,0.999998,-0.011191,-0.045025,0.071300,0.000000,0.000000,0.000000
15.500000,drone3,ekf/odom,/drone3/odom,0.936090,0.591733,1.130160,-0.001915,0.000030,0.000037,0.999998,-0.011416,-0.044501,0.070780,0.000000,0.000000,0.000000
15.552000,drone3,ekf/odom,/drone3/odom,0.935134,0.591139,1.133770,-0.001905,0.000218,0.000037,0.999998,-0.015936,-0.019320,0.076677,0.000000,0.000000,0.000000
15.552000,drone3,ekf/odom,/drone3/odom,0.935005,0.591551,1.133391,-0.001905,0.000218,0.000037,0.999998,-0.016113,-0.018748,0.076172,0.000000,0.000000,0.000000
15.552000,drone3,ekf/odom,/drone3/odom,0.934886,0.591936,1.133037,-0.001905,0.000218,0.000037,0.999998,-0.016280,-0.018214,0.075699,0.000000,0.000000,0.000000
15.552000,drone3,ekf/odom,/drone3/odom,0.934774,0.592295,1.132705,-0.001905,0.000218,0.000037,0.999998,-0.016435,-0.017715,0.075255,0.000000,0.000000,0.000000
15.600000,drone3,ekf/odom,/drone3/odom,0.934109,0.592203,1.136437,-0.001896,0.000360,0.000037,0.999998,-0.012047,-0.009683,0.084452,0.000000,0.000000,0.000000
15.600000,drone3,ekf/odom,/drone3/odom,0.934023,0.592574,1.136116,-0.001896,0.000360,0.000037,0.999998,-0.012166,-0.009168,0.084024,0.000000,0.000000,0.000000
15.600000,drone3,ekf/odom,/drone3/odom,0.933943,0.592921,1.135816,-0.001894,0.000388,0.000037,0.999998,-0.012278,-0.008687,0.083623,0.000000,0.000000,0.000000
15.600000,drone3,ekf/odom,/drone3/odom,0.933868,0.593245,1.135535,-0.001894,0.000388,0.000037,0.999998,-0.012382,-0.008236,0.083247,0.000000,0.000000,0.000000
15.652000,drone3,ekf/odom,/drone3/odom,0.931990,0.592573,1.140210,-0.001879,0.000569,0.000036,0.999998,-0.035994,-0.019793,0.095275,0.000000,0.000000,0.000000
15.652000,drone3,ekf/odom,/drone3/odom,0.931983,0.592932,1.139930,-0.001879,0.000569,0.000036,0.999998,-0.036003,-0.019295,0.094901,0.000000,0.000000,0.000000
15.652000,drone3,ekf/odom,/drone3/odom,0.931977,0.593266,1.139668,-0.001879,0.000569,0.000036,0.999998,-0.036012,-0.018831,0.094551,0.000000,0.000000,0.000000
15.652000,drone3,ekf/odom,/drone3/odom,0.931971,0.593579,1.139422,-0.001879,0.000569,0.000036,0.999998,-0.036020,-0.018396,0.094223,0.000000,0.000000,0.000000
15.700000,drone3,ekf/odom,/drone3/odom,0.930043,0.593063,1.144365,-0.001867,0.000705,0.000036,0.999998,-0.041542,-0.017796,0.108270,0.000000,0.000000,0.000000
15.700000,drone3,ekf/odom,/drone3/odom,0.930109,0.593400,1.144113,-0.001867,0.000705,0.000036,0.999998,-0.041450,-0.017328,0.107932,0.000000,0.000000,0.000000
15.700000,drone3,ekf/odom,/drone3/odom,0.930171,0.593715,1.143876,-0.001864,0.000731,0.000036,0.999998,-0.041364,-0.016890,0.107616,0.000000,0.000000,0.000000
15.700000,drone3,ekf/odom,/drone3/odom,0.930228,0.594010,1.143655,-0.001864,0.000731,0.000036,0.999998,-0.041284,-0.016481,0.107320,0.000000,0.000000,0.000000
15.752000,drone3,ekf/odom,/drone3/odom,0.929150,0.593076,1.149369,-0.001845,0.000902,0.000036,0.999998,-0.022720,-0.024391,0.114361,0.000000,0.000000,0.000000
15.752000,drone3,ekf/odom,/drone3/odom,0.929252,0.593413,1.149136,-0.001845,0.000902,0.000036,0.999998,-0.022578,-0.023925,0.114050,0.000000,0.000000,0.000000
15.752000,drone3,ekf/odom,/drone3/odom,0.929348,0.593726,1.148919,-0.001845,0.000902,0.000036,0.999998,-0.022444,-0.023489,0.113760,0.000000,0.000000,0.000000
15.752000,drone3,ekf/odom,/drone3/odom,0.929438,0.594020,1.148715,-0.001845,0.000902,0.000036,0.999998,-0.022320,-0.023082,0.113487,0.000000,0.000000,0.000000
15.800000,drone3,ekf/odom,/drone3/odom,0.928567,0.593464,1.154366,-0.001829,0.001030,0.000035,0.999998,-0.020797,-0.018215,0.122242,0.000000,0.000000,0.000000
15.800000,drone3,ekf/odom,/drone3/odom,0.928694,0.593783,1.154150,-0.001829,0.001030,0.000035,0.999998,-0.020621,-0.017773,0.121953,0.000000,0.000000,0.000000
15.800000,drone3,ekf/odom,/drone3/odom,0.928812,0.594080,1.153948,-0.001826,0.001055,0.000035,0.999998,-0.020457,-0.017360,0.121683,0.000000,0.000000,0.000000
15.800000,drone3,ekf/odom,/drone3/odom,0.928923,0.594358,1.153758,-0.001826,0.001055,0.000035,0.999998,-0.020303,-0.016975,0.121430,0.000000,0.000000,0.000000
15.852000,drone3,ekf/odom,/drone3/odom,0.927746,0.593276,1.159324,-0.001808,0.001179,0.000035,0.999998,-0.025727,-0.026992,0.110409,0.000000,0.000000,0.000000
15.852000,drone3,ekf/odom,/drone3/odom,0.927906,0.593600,1.159148,-0.001803,0.001215,0.000035,0.999998,-0.025504,-0.026543,0.110174,0.000000,0.000000,0.000000
15.852000,drone3,ekf/odom,/drone3/odom,0.928056,0.593902,1.158983,-0.001803,0.001215,0.000035,0.999998,-0.025296,-0.026125,0.109954,0.000000,0.000000,0.000000
15.852000,drone3,ekf/odom,/drone3/odom,0.928196,0.594184,1.158829,-0.001803,0.001215,0.000035,0.999998,-0.025101,-0.025733,0.109747,0.000000,0.000000,0.000000
15.900000,drone3,ekf/odom,/drone3/odom,0.926744,0.592998,1.163656,-0.001779,0.001358,0.000034,0.999997,-0.034394,-0.031559,0.103112,0.000000,0.000000,0.000000
15.900000,drone3,ekf/odom,/drone3/odom,0.926942,0.593326,1.163535,-0.001779,0.001358,0.000034,0.999997,-0.034119,-0.031104,0.102950,0.000000,0.000000,0.000000
15.900000,drone3,ekf/odom,/drone3/odom,0.927126,0.593632,1.163421,-0.001779,0.001358,0.000034,0.999997,-0.033863,-0.030679,0.102798,0.000000,0.000000,0.000000
15.900000,drone3,ekf/odom,/drone3/odom,0.927299,0.593919,1.163315,-0.001779,0.001358,0.000034,0.999997,-0.033623,-0.030281,0.102655,0.000000,0.000000,0.000000
15.952000,drone3,ekf/odom,/drone3/odom,0.925916,0.592728,1.169149,-0.001759,0.001472,0.000034,0.999997,-0.031031,-0.029329,0.113763,0.000000,0.000000,0.000000
15.952000,drone3,ekf/odom,/drone3/odom,0.926147,0.593064,1.169067,-0.001752,0.001506,0.000034,0.999997,-0.030710,-0.028864,0.113653,0.000000,0.000000,0.000000
