stamp,ns,odom_topic,frame_id,pos_x,pos_y,pos_z,orient_x,orient_y,orient_z,orient_w,lin_vel_x,lin_vel_y,lin_vel_z,ang_vel_x,ang_vel_y,ang_vel_z
70.268000,drone1,ekf/odom,/drone1/odom,0.795217,-0.628402,1.479183,-0.002069,-0.001559,0.000096,0.999997,-0.057087,-0.064444,0.083794,0.000000,0.000000,0.000000
70.268000,drone1,ekf/odom,/drone1/odom,0.796862,-0.627333,1.478227,-0.002069,-0.001559,0.000096,0.999997,-0.055119,-0.063167,0.082689,0.000000,0.000000,0.000000
70.268000,drone1,ekf/odom,/drone1/odom,0.798319,-0.626386,1.477472,-0.002066,-0.001567,0.000095,0.999997,-0.053377,-0.062034,0.081815,0.000000,0.000000,0.000000
70.268000,drone1,ekf/odom,/drone1/odom,0.799623,-0.625538,1.476793,-0.002066,-0.001567,0.000095,0.999997,-0.051818,-0.061021,0.081029,0.000000,0.000000,0.000000
70.268000,drone1,ekf/odom,/drone1/odom,0.800797,-0.624775,1.476180,-0.002066,-0.001567,0.000095,0.999997,-0.050415,-0.060108,0.080320,0.000000,0.000000,0.000000
70.268000,drone1,ekf/odom,/drone1/odom,0.801859,-0.624085,1.475624,-0.002066,-0.001567,0.000095,0.999997,-0.049145,-0.059283,0.079677,0.000000,0.000000,0.000000
70.268000,drone1,ekf/odom,/drone1/odom,0.802819,-0.623460,1.475202,-0.002064,-0.001573,0.000095,0.999997,-0.047997,-0.058535,0.079189,0.000000,0.000000,0.000000
70.268000,drone1,ekf/odom,/drone1/odom,0.803695,-0.622889,1.474816,-0.002064,-0.001573,0.000095,0.999997,-0.046949,-0.057853,0.078742,0.000000,0.000000,0.000000
70.268000,drone1,ekf/odom,/drone1/odom,0.804499,-0.622366,1.474462,-0.002064,-0.001573,0.000095,0.999997,-0.045988,-0.057227,0.078332,0.000000,0.000000,0.000000
70.272000,drone1,ekf/odom,/drone1/odom,0.805071,-0.622098,1.474435,-0.002064,-0.001573,0.000095,0.999997,-0.044497,-0.056100,0.078643,0.000000,0.000000,0.000000
70.300000,drone1,ekf/odom,/drone1/odom,0.804609,-0.623213,1.476298,-0.002052,-0.001601,0.000095,0.999997,-0.043666,-0.058939,0.078806,0.000000,0.000000,0.000000
70.300000,drone1,ekf/odom,/drone1/odom,0.805334,-0.622704,1.475970,-0.002052,-0.001601,0.000095,0.999997,-0.042801,-0.058332,0.078428,0.000000,0.000000,0.000000
70.300000,drone1,ekf/odom,/drone1/odom,0.806004,-0.622233,1.475666,-0.002052,-0.001601,0.000095,0.999997,-0.042003,-0.057771,0.078078,0.000000,0.000000,0.000000
70.300000,drone1,ekf/odom,/drone1/odom,0.806625,-0.621797,1.475384,-0.002052,-0.001601,0.000095,0.999997,-0.041263,-0.057251,0.077753,0.000000,0.000000,0.000000
70.352000,drone1,ekf/odom,/drone1/odom,0.804348,-0.623453,1.478742,-0.002038,-0.001630,0.000094,0.999997,-0.057587,-0.041607,0.071197,0.000000,0.000000,0.000000
70.352000,drone1,ekf/odom,/drone1/odom,0.805055,-0.622954,1.478402,-0.002034,-0.001639,0.000094,0.999997,-0.056742,-0.041010,0.070805,0.000000,0.000000,0.000000
70.352000,drone1,ekf/odom,/drone1/odom,0.805709,-0.622491,1.478087,-0.002034,-0.001639,0.000094,0.999997,-0.055960,-0.040457,0.070441,0.000000,0.000000,0.000000
70.352000,drone1,ekf/odom,/drone1/odom,0.806317,-0.622061,1.477794,-0.002034,-0.001639,0.000094,0.999997,-0.055233,-0.039943,0.070102,0.000000,0.000000,0.000000
70.400000,drone1,ekf/odom,/drone1/odom,0.804448,-0.623704,1.480407,-0.002015,-0.001677,0.000093,0.999997,-0.053194,-0.044571,0.061381,0.000000,0.000000,0.000000
70.400000,drone1,ekf/odom,/drone1/odom,0.805121,-0.623215,1.480080,-0.002015,-0.001677,0.000093,0.999997,-0.052385,-0.043984,0.061001,0.000000,0.000000,0.000000
70.400000,drone1,ekf/odom,/drone1/odom,0.805746,-0.622762,1.479776,-0.002015,-0.001677,0.000093,0.999997,-0.051633,-0.043439,0.060648,0.000000,0.000000,0.000000
70.400000,drone1,ekf/odom,/drone1/odom,0.806328,-0.622340,1.479492,-0.002015,-0.001677,0.000093,0.999997,-0.050933,-0.042931,0.060318,0.000000,0.000000,0.000000
70.452000,drone1,ekf/odom,/drone1/odom,0.805051,-0.624772,1.482916,-0.001993,-0.001720,0.000092,0.999997,-0.036810,-0.056756,0.072584,0.000000,0.000000,0.000000
70.452000,drone1,ekf/odom,/drone1/odom,0.805683,-0.624259,1.482570,-0.001993,-0.001720,0.000092,0.999997,-0.036043,-0.056132,0.072178,0.000000,0.000000,0.000000
70.452000,drone1,ekf/odom,/drone1/odom,0.806270,-0.623781,1.482247,-0.001993,-0.001720,0.000092,0.999997,-0.035330,-0.055553,0.071800,0.000000,0.000000,0.000000
70.452000,drone1,ekf/odom,/drone1/odom,0.806817,-0.623336,1.481945,-0.001993,-0.001720,0.000092,0.999997,-0.034666,-0.055012,0.071446,0.000000,0.000000,0.000000
70.500000,drone1,ekf/odom,/drone1/odom,0.804849,-0.625231,1.484901,-0.001970,-0.001762,0.000091,0.999997,-0.054017,-0.050315,0.068983,0.000000,0.000000,0.000000
