stamp,ns,class,score,u,v,world_x,world_y,world_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aquabot_x,aquabot_y,aquabot_z,aq_det_range,aq_gt_range,aq_range_err
528.960000,drone1,4,0.961359,181.770737,174.966629,30.932199,-2.479313,0.000000,container5,31.808221,-3.263539,-1.487559,-0.876022,0.784226,1.487559,1.896116,-2.024959,-0.146620,0.169842,33.040045,34.016852,-0.976807
528.992000,drone1,4,0.961756,181.926605,175.245438,30.932636,-2.483177,0.000000,container5,31.808221,-3.263539,-1.487559,-0.875585,0.780362,1.487559,1.894320,-2.025183,-0.146593,0.171857,33.040990,34.017176,-0.976186
529.024000,drone1,4,0.962190,181.574539,175.426239,30.935170,-2.473761,0.000000,container5,31.808221,-3.263539,-1.487559,-0.873051,0.789777,1.487559,1.897050,-2.025691,-0.146589,0.166786,33.043334,34.017435,-0.974100
529.060000,drone1,4,0.964309,180.941238,175.829971,30.933536,-2.457552,0.000000,container5,31.808221,-3.263539,-1.487559,-0.874685,0.805986,1.487559,1.904605,-2.026242,-0.146581,0.161709,33.041091,34.017736,-0.976646
529.092000,drone1,4,0.966053,180.456360,175.943512,30.941320,-2.446604,0.000000,container5,31.808221,-3.263539,-1.487559,-0.866901,0.816934,1.487559,1.905710,-2.026438,-0.146550,0.163460,33.048299,34.018019,-0.969721
529.124000,drone1,4,0.967726,179.962753,176.423126,30.939615,-2.435581,0.000000,container5,31.808221,-3.263539,-1.487559,-0.868606,0.827958,1.487559,1.911236,-2.026944,-0.146543,0.157919,33.046311,34.018255,-0.971944
529.156000,drone1,4,0.968568,179.207199,176.480133,30.961029,-2.413204,0.000000,container5,31.808221,-3.263539,-1.487559,-0.847193,0.850335,1.487559,1.911449,-2.027488,-0.146532,0.152303,33.066648,34.018525,-0.951877
529.192000,drone1,4,0.965945,179.729996,178.252640,31.039781,-2.390218,0.000000,container5,31.808221,-3.263539,-1.487559,-0.768440,0.873320,1.487559,1.888391,-2.027677,-0.146488,0.153981,33.143851,34.018799,-0.874948
529.224000,drone1,4,0.953648,184.426849,188.518723,30.886520,-2.486458,0.000000,container5,31.808221,-3.263539,-1.487559,-0.921702,0.777081,1.487559,1.914738,-2.028174,-0.146480,0.147849,32.998097,34.018999,-1.020902
529.256000,drone1,4,0.951491,185.485840,195.581390,30.807755,-2.494184,0.000000,container5,31.808221,-3.263539,-1.487559,-1.000466,0.769355,1.487559,1.950813,-2.028588,-0.146459,0.144326,32.920481,34.019243,-1.098762
529.288000,drone1,4,0.966222,182.557922,198.462662,30.801090,-2.445871,0.000000,container5,31.808221,-3.263539,-1.487559,-1.007131,0.817668,1.487559,1.973759,-2.028823,-0.146428,0.142745,32.910652,34.019403,-1.108752
529.320000,drone1,4,0.966808,181.782913,198.956116,30.858890,-2.452276,0.000000,container5,31.808221,-3.263539,-1.487559,-0.949331,0.811263,1.487559,1.942218,-2.029310,-0.146419,0.136153,32.969217,34.019574,-1.050358
529.356000,drone1,4,0.961824,180.637360,198.218582,30.946973,-2.449057,0.000000,container5,31.808221,-3.263539,-1.487559,-0.861248,0.814482,1.487559,1.902094,-2.029788,-0.146393,0.131434,33.057319,34.019827,-0.962508
529.388000,drone1,4,0.956686,179.587631,197.964981,30.938924,-2.431790,0.000000,container5,31.808221,-3.263539,-1.487559,-0.869298,0.831749,1.487559,1.913196,-2.029957,-0.146351,0.130532,33.048258,34.019956,-0.971698
529.420000,drone1,4,0.954990,179.620453,196.917511,30.952644,-2.442219,0.000000,container5,31.808263,-3.263523,-1.483612,-0.855619,0.821304,1.483612,1.899402,-2.030455,-0.146339,0.123515,33.063139,34.019973,-0.956834
529.456000,drone1,4,0.953636,179.747360,196.122528,30.959963,-2.455109,0.000000,container5,31.808310,-3.263508,-1.479813,-0.848347,0.808400,1.479813,1.887604,-2.030921,-0.146306,0.118374,33.071785,34.020063,-0.948278
529.488000,drone1,4,0.952302,180.487549,197.023224,30.938229,-2.473307,0.000000,container5,31.808417,-3.263479,-1.472669,-0.870188,0.790171,1.472669,1.884238,-2.031065,-0.146257,0.117161,33.051524,34.019923,-0.968399
529.520000,drone1,4,0.952967,180.141006,196.760468,30.946028,-2.461997,0.000000,container5,31.808477,-3.263465,-1.469327,-0.862449,0.801468,1.469327,1.882841,-2.031564,-0.146241,0.109814,33.058983,34.019981,-0.960998
529.552000,drone1,4,0.952665,179.949738,196.385895,30.956898,-2.454655,0.000000,container5,31.808477,-3.263465,-1.469327,-0.851579,0.808810,1.469327,1.881032,-2.031829,-0.146194,0.108153,33.069575,34.020172,-0.950597
529.588000,drone1,4,0.952469,179.839081,196.171997,30.968597,-2.451833,0.000000,container5,31.808541,-3.263451,-1.466140,-0.839945,0.811618,1.466140,1.874512,-2.032138,-0.146160,0.102691,33.081341,34.020145,-0.938804
529.620000,drone1,4,0.952977,179.947739,196.751144,30.959002,-2.455430,0.000000,container5,31.808610,-3.263438,-1.463110,-0.849608,0.808007,1.463110,1.874940,-2.032626,-0.146148,0.094928,33.072486,34.020203,-0.947717
529.652000,drone1,4,0.952963,179.897736,196.612076,30.968105,-2.454234,0.000000,container5,31.808682,-3.263425,-1.460238,-0.840577,0.809191,1.460238,1.869132,-2.032864,-0.146101,0.092965,33.081718,34.020294,-0.938576
529.684000,drone1,4,0.952611,179.945023,196.439209,30.977131,-2.455965,0.000000,container5,31.808682,-3.263425,-1.460238,-0.831551,0.807460,1.460238,1.864340,-2.033156,-0.146074,0.087125,33.091120,34.020321,-0.929201
529.716000,drone1,4,0.953149,179.703827,196.824249,30.971264,-2.450618,0.000000,container5,31.808758,-3.263413,-1.457527,-0.837493,0.812795,1.457527,1.867194,-2.033646,-0.146059,0.079042,33.085364,34.020394,-0.935030
529.752000,drone1,4,0.952805,179.934250,196.906036,30.974326,-2.457459,0.000000,container5,31.808837,-3.263401,-1.454976,-0.834512,0.805942,1.454976,1.860888,-2.033861,-0.146002,0.076777,33.089109,34.020475,-0.931365
529.784000,drone1,4,0.951962,179.612808,196.394257,30.991407,-2.448831,0.000000,container5,31.808920,-3.263390,-1.452587,-0.817513,0.814558,1.452587,1.855220,-2.034141,-0.145976,0.070623,33.105815,34.020454,-0.914638
529.816000,drone1,4,0.952443,181.261963,195.602554,31.017577,-2.491680,0.000000,container5,31.809007,-3.263379,-1.450362,-0.791430,0.771699,1.450362,1.823576,-2.034630,-0.145961,0.062200,33.135398,34.020550,-0.885152
529.852000,drone1,4,0.952259,181.354370,195.093903,31.035441,-2.493954,0.000000,container5,31.809096,-3.263369,-1.448300,-0.773655,0.769416,1.448300,1.813317,-2.034949,-0.145911,0.057537,33.153692,34.020662,-0.866970
529.884000,drone1,4,0.952427,181.396439,195.168961,31.037313,-2.494983,0.000000,container5,31.809188,-3.263360,-1.446404,-0.771875,0.768377,1.446404,1.810602,-2.035074,-0.145867,0.053216,33.155752,34.020607,-0.864854
529.916000,drone1,4,0.952922,180.768173,194.864151,31.048568,-2.478076,0.000000,container5,31.809283,-3.263352,-1.444674,-0.760715,0.785276,1.444674,1.811748,-2.035555,-0.145845,0.044602,33.166255,34.020727,-0.854472
529.948000,drone1,4,0.952994,179.605927,196.063522,31.019851,-2.448468,0.000000,container5,31.809381,-3.263344,-1.443110,-0.789530,0.814876,1.443110,1.835742,-2.035654,-0.145788,0.042516,33.135639,34.020768,-0.885128
529.984000,drone1,4,0.953998,179.322586,195.952057,31.025701,-2.441562,0.000000,container5,31.809481,-3.263337,-1.441714,-0.783780,0.821775,1.441714,1.835256,-2.035991,-0.145754,0.034979,33.141325,34.020816,-0.879491
530.016000,drone1,4,0.954941,179.257019,195.990906,31.027320,-2.440526,0.000000,container5,31.809583,-3.263331,-1.440486,-0.782263,0.822806,1.440486,1.834106,-2.036476,-0.145734,0.026021,33.143346,34.020961,-0.877616
530.048000,drone1,4,0.955960,178.982376,195.721252,31.036857,-2.433725,0.000000,container5,31.809687,-3.263326,-1.439425,-0.772830,0.829601,1.439425,1.832335,-2.036363,-0.145669,0.025140,33.152281,34.020874,-0.868593
530.080000,drone1,4,0.956268,178.803833,195.626816,31.041765,-2.429671,0.000000,container5,31.809793,-3.263322,-1.438534,-0.768029,0.833651,1.438534,1.831453,-2.036864,-0.145648,0.015984,33.157392,34.021048,-0.863655
530.112000,drone1,4,0.956628,178.896164,196.061234,31.033004,-2.433207,0.000000,container5,31.809901,-3.263319,-1.437811,-0.776897,0.830111,1.437811,1.833018,-2.037341,-0.145622,0.006885,33.149372,34.021214,-0.871842
530.148000,drone1,4,0.956618,178.961945,196.380905,31.027555,-2.436037,0.000000,container5,31.810010,-3.263317,-1.437257,-0.782455,0.827280,1.437257,1.833668,-2.037461,-0.145559,0.002763,33.144254,34.021249,-0.876995
530.180000,drone1,4,0.956843,179.136948,196.575272,31.024891,-2.441852,0.000000,container5,31.810010,-3.263317,-1.437257,-0.785119,0.821465,1.437257,1.832192,-2.037665,-0.145514,-0.003702,33.142205,34.021183,-0.878978
530.212000,drone1,4,0.956692,179.333664,196.759460,31.022473,-2.448273,0.000000,container5,31.810121,-3.263315,-1.436873,-0.787648,0.815042,1.436873,1.830106,-2.038167,-0.145487,-0.013003,33.140744,34.021388,-0.880644
530.248000,drone1,4,0.956160,179.348007,196.318451,31.036597,-2.449489,0.000000,container5,31.810232,-3.263315,-1.436658,-0.773635,0.813826,1.436658,1.823406,-2.037965,-0.145408,-0.014601,33.154723,34.021229,-0.866506
530.280000,drone1,4,0.956316,179.239258,196.325989,31.037941,-2.448137,0.000000,container5,31.810345,-3.263316,-1.436612,-0.772403,0.815179,1.436612,1.823452,-2.038468,-0.145378,-0.024076,33.156480,34.021448,-0.864968
530.312000,drone1,4,0.955873,179.326309,196.309937,31.039991,-2.451965,0.000000,container5,31.810458,-3.263318,-1.436735,-0.770467,0.811353,1.436735,1.821022,-2.038938,-0.145345,-0.033470,33.159270,34.021648,-0.862378
530.344000,drone1,4,0.955890,179.271194,196.312424,31.041429,-2.452075,0.000000,container5,31.810571,-3.263321,-1.437027,-0.769143,0.811247,1.437027,1.820645,-2.038823,-0.145276,-0.035856,33.160604,34.021567,-0.860963
530.380000,drone1,4,0.956064,179.221558,196.059402,31.049211,-2.451880,0.000000,container5,31.810685,-3.263326,-1.437487,-0.761475,0.811446,1.437487,1.817871,-2.039195,-0.145233,-0.044925,33.168739,34.021701,-0.852962
530.412000,drone1,4,0.955974,179.310272,195.986465,31.052110,-2.455224,0.000000,container5,31.810799,-3.263331,-1.438114,-0.758689,0.808108,1.438114,1.815715,-2.039672,-0.145201,-0.054420,33.172356,34.021930,-0.849574
530.444000,drone1,4,0.956025,179.163864,195.833878,31.056894,-2.452322,0.000000,container5,31.810913,-3.263338,-1.438910,-0.754019,0.811016,1.438910,1.815696,-2.039528,-0.145131,-0.057045,33.176792,34.021832,-0.845041
