stamp,ns,class,score,u,v,world_x,world_y,world_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aquabot_x,aquabot_y,aquabot_z,aq_det_range,aq_gt_range,aq_range_err
529.192000,drone3,3,0.923491,560.223877,95.651245,27.991259,4.372647,0.000000,container4,31.790720,4.730000,-1.468661,-3.799462,-0.357353,1.468661,4.089080,-2.027677,-0.146488,0.153981,30.357582,34.206682,-3.849100
529.224000,drone3,3,0.924335,560.265259,96.244965,27.985816,4.367296,0.000000,container4,31.790720,4.730000,-1.468661,-3.804904,-0.362704,1.468661,4.094608,-2.028174,-0.146480,0.147849,30.351864,34.206883,-3.855018
529.256000,drone3,3,0.922999,559.991272,96.772415,27.980808,4.369890,0.000000,container4,31.790720,4.730000,-1.468661,-3.809913,-0.360110,1.468661,4.099034,-2.028588,-0.146459,0.144326,30.347686,34.207122,-3.859436
529.288000,drone3,3,0.921980,559.910034,97.194260,27.974367,4.367244,0.000000,container4,31.790784,4.730008,-1.465050,-3.816418,-0.362765,1.465050,4.104024,-2.028823,-0.146428,0.142745,30.341143,34.207170,-3.866027
529.320000,drone3,3,0.922955,559.894043,96.849159,27.985507,4.367306,0.000000,container4,31.790784,4.730008,-1.465050,-3.805278,-0.362703,1.465050,4.093662,-2.029310,-0.146419,0.136153,30.352619,34.207342,-3.854722
529.356000,drone3,3,0.924423,559.835083,96.906013,27.987766,4.365861,0.000000,container4,31.790784,4.730008,-1.465050,-3.803019,-0.364147,1.465050,4.091690,-2.029788,-0.146393,0.131434,30.355086,34.207590,-3.852504
529.388000,drone3,3,0.924614,559.857666,96.958305,27.989383,4.362598,0.000000,container4,31.790853,4.730017,-1.461597,-3.801470,-0.367419,1.461597,4.089307,-2.029957,-0.146351,0.130532,30.356358,34.207617,-3.851259
529.420000,drone3,3,0.925048,559.810303,96.468613,28.003249,4.364101,0.000000,container4,31.790853,4.730017,-1.461597,-3.787604,-0.365917,1.461597,4.076286,-2.030455,-0.146339,0.123515,30.370754,34.207781,-3.837028
529.456000,drone3,3,0.927524,559.944946,96.106155,28.015282,4.360428,0.000000,container4,31.790853,4.730017,-1.461597,-3.775572,-0.369589,1.461597,4.065440,-2.030921,-0.146306,0.118374,30.382543,34.208000,-3.825456
529.488000,drone3,3,0.928904,560.002625,96.844810,28.004910,4.354875,0.000000,container4,31.790853,4.730017,-1.461597,-3.785944,-0.375142,1.461597,4.075582,-2.031065,-0.146257,0.117161,30.371594,34.208079,-3.836486
529.520000,drone3,3,0.928686,559.999756,97.399025,27.998637,4.351846,0.000000,container4,31.790926,4.730026,-1.458303,-3.792290,-0.378180,1.458303,4.080579,-2.031564,-0.146241,0.109814,30.365404,34.208154,-3.842750
529.552000,drone3,3,0.928673,560.037109,97.460983,28.003651,4.350604,0.000000,container4,31.790926,4.730026,-1.458303,-3.787275,-0.379422,1.458303,4.076035,-2.031829,-0.146194,0.108153,30.370428,34.208333,-3.837905
529.588000,drone3,3,0.927617,559.927246,97.394012,28.007038,4.354340,0.000000,container4,31.790926,4.730026,-1.458303,-3.783888,-0.375686,1.458303,4.072542,-2.032138,-0.146160,0.102691,30.374613,34.208384,-3.833771
529.620000,drone3,3,0.928346,560.029541,97.470955,28.007238,4.351983,0.000000,container4,31.791355,4.730068,-1.444282,-3.784117,-0.378085,1.444282,4.067978,-2.032626,-0.146148,0.094928,30.374918,34.208308,-3.833391
529.652000,drone3,3,0.927232,559.972229,97.498230,28.008330,4.353823,0.000000,container4,31.791355,4.730068,-1.444282,-3.783025,-0.376245,1.444282,4.066791,-2.032864,-0.146101,0.092965,30.376493,34.208448,-3.831956
529.684000,drone3,3,0.927529,560.116943,97.773277,28.004098,4.348508,0.000000,container4,31.791355,4.730068,-1.444282,-3.787257,-0.381560,1.444282,4.071222,-2.033156,-0.146074,0.087125,30.371788,34.208471,-3.836683
529.716000,drone3,3,0.926750,560.187073,97.802231,28.005369,4.346413,0.000000,container4,31.791355,4.730068,-1.444282,-3.785986,-0.383654,1.444282,4.070237,-2.033646,-0.146059,0.079042,30.373195,34.208593,-3.835397
529.752000,drone3,3,0.927184,560.181458,97.421173,28.016107,4.348472,0.000000,container4,31.791355,4.730068,-1.444282,-3.775248,-0.381596,1.444282,4.060057,-2.033861,-0.146002,0.076777,30.384318,34.208697,-3.824379
529.784000,drone3,3,0.926778,560.243286,97.277649,28.023942,4.347147,0.000000,container4,31.791355,4.730068,-1.444282,-3.767413,-0.382920,1.444282,4.052898,-2.034141,-0.145976,0.070623,30.392129,34.208697,-3.816568
529.816000,drone3,3,0.928306,560.322449,97.445244,28.024710,4.343639,0.000000,container4,31.791452,4.730076,-1.441978,-3.766742,-0.386437,1.441978,4.051787,-2.034630,-0.145961,0.062200,30.392832,34.208801,-3.815969
529.852000,drone3,3,0.928104,560.312012,97.720459,28.023446,4.341641,0.000000,container4,31.791553,4.730083,-1.439842,-3.768107,-0.388443,1.439842,4.052488,-2.034949,-0.145911,0.057537,30.391586,34.208912,-3.817326
529.884000,drone3,3,0.927923,560.386292,97.985886,28.020149,4.337193,0.000000,container4,31.791657,4.730091,-1.437876,-3.771508,-0.392898,1.437876,4.055383,-2.035074,-0.145867,0.053216,30.387778,34.208858,-3.821080
529.916000,drone3,3,0.928618,560.456543,98.076035,28.020844,4.333835,0.000000,container4,31.791763,4.730098,-1.436082,-3.770919,-0.396262,1.436082,4.054527,-2.035555,-0.145845,0.044602,30.388430,34.208986,-3.820556
529.948000,drone3,3,0.927740,560.620361,98.033157,28.024717,4.328936,0.000000,container4,31.791873,4.730104,-1.434460,-3.767156,-0.401169,1.434460,4.050936,-2.035654,-0.145788,0.042516,30.391625,34.209025,-3.817400
529.984000,drone3,3,0.925716,560.430969,98.373016,28.022111,4.331079,0.000000,container4,31.791873,4.730104,-1.434460,-3.769763,-0.399026,1.434460,4.053148,-2.035991,-0.145754,0.034979,30.389681,34.209029,-3.819347
530.016000,drone3,3,0.926617,560.456543,98.358955,28.027576,4.330095,0.000000,container4,31.792101,4.730116,-1.431734,-3.764525,-0.400022,1.431734,4.047410,-2.036476,-0.145734,0.026021,30.395410,34.209233,-3.813822
530.048000,drone3,3,0.928307,560.451599,98.098076,28.038628,4.331260,0.000000,container4,31.792218,4.730122,-1.430632,-3.753590,-0.398861,1.430632,4.036736,-2.036363,-0.145669,0.025140,30.406391,34.209144,-3.802753
530.080000,drone3,3,0.928552,560.362305,98.779793,28.028012,4.329247,0.000000,container4,31.792218,4.730122,-1.430632,-3.764206,-0.400875,1.430632,4.046808,-2.036864,-0.145648,0.015984,30.396080,34.209247,-3.813167
530.112000,drone3,3,0.928184,560.318909,98.936028,28.029455,4.329103,0.000000,container4,31.792459,4.730131,-1.428952,-3.763004,-0.401027,1.428952,4.045111,-2.037341,-0.145622,0.006885,30.397951,34.209501,-3.811550
530.148000,drone3,3,0.928438,560.279419,99.104324,28.031263,4.328755,0.000000,container4,31.792459,4.730131,-1.428952,-3.761196,-0.401375,1.428952,4.043464,-2.037461,-0.145559,0.002763,30.399797,34.209438,-3.809641
530.180000,drone3,3,0.929915,560.366882,98.987091,28.036929,4.326548,0.000000,container4,31.792582,4.730134,-1.428374,-3.755653,-0.403586,1.428374,4.038324,-2.037665,-0.145514,-0.003702,30.405272,34.209461,-3.804189
530.212000,drone3,3,0.931844,560.395508,98.882660,28.041896,4.325656,0.000000,container4,31.792707,4.730137,-1.427972,-3.750811,-0.404481,1.427972,4.033769,-2.038167,-0.145487,-0.013003,30.410548,34.209675,-3.799126
530.248000,drone3,3,0.931677,560.715515,98.865662,28.045626,4.317014,0.000000,container4,31.792833,4.730140,-1.427745,-3.747206,-0.413126,1.427745,4.031214,-2.037965,-0.145408,-0.014601,30.412758,34.209513,-3.796755
