stamp,track_id,class,class_name,ns,est_x,est_y,est_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aquabot_x,aquabot_y,aquabot_z,aq_range_est,aq_range_gt,aq_range_err
559.584000,0,3,container4,drone3,27.864548,4.085010,0.000000,container4,31.648838,4.738396,-1.839398,-3.784290,-0.653386,1.839398,4.258069,-2.106105,-0.186038,0.000000,30.273452,34.161815,-3.888363
559.616000,0,3,container4,drone3,27.862799,4.083530,0.000000,container4,31.648838,4.738396,-1.839398,-3.786039,-0.654866,1.839398,4.259850,-2.106142,-0.186012,0.000000,30.271545,34.161848,-3.890303
559.648000,0,3,container4,drone3,27.862058,4.082145,0.000000,container4,31.648689,4.738390,-1.836337,-3.786630,-0.656246,1.836337,4.259267,-2.106160,-0.185998,0.000000,30.270632,34.161551,-3.890919
559.684000,0,3,container4,drone3,27.862129,4.080923,0.000000,container4,31.648541,4.738382,-1.833233,-3.786412,-0.657459,1.833233,4.257923,-2.106196,-0.185972,0.000000,30.270562,34.161269,-3.890707
559.716000,0,3,container4,drone3,27.861608,4.079849,0.000000,container4,31.648395,4.738370,-1.830089,-3.786787,-0.658521,1.830089,4.257068,-2.106232,-0.185945,0.000000,30.269926,34.160986,-3.891059
559.748000,0,3,container4,drone3,27.861080,4.078906,0.000000,container4,31.648250,4.738355,-1.826905,-3.787171,-0.659449,1.826905,4.256186,-2.106250,-0.185932,0.000000,30.269286,34.160686,-3.891400
559.780000,0,3,container4,drone3,27.860243,4.078042,0.000000,container4,31.648108,4.738338,-1.823681,-3.787865,-0.660296,1.823681,4.255552,-2.106285,-0.185906,0.000000,30.268367,34.160401,-3.892034
559.812000,0,3,container4,drone3,27.859558,4.077125,0.000000,container4,31.647967,4.738318,-1.820420,-3.788409,-0.661194,1.820420,4.254779,-2.106319,-0.185881,0.000000,30.267590,34.160116,-3.892525
559.848000,0,3,container4,drone3,27.857937,4.076225,0.000000,container4,31.647967,4.738318,-1.820420,-3.790029,-0.662093,1.820420,4.256362,-2.106337,-0.185868,0.000000,30.265874,34.160131,-3.894256
559.880000,0,3,container4,drone3,27.854293,4.075273,0.000000,container4,31.647690,4.738270,-1.813788,-3.793397,-0.662997,1.813788,4.256672,-2.106371,-0.185842,0.000000,30.262162,34.159528,-3.897366
559.912000,0,3,container4,drone3,27.850473,4.074174,0.000000,container4,31.647555,4.738242,-1.810419,-3.797081,-0.664068,1.810419,4.258689,-2.106404,-0.185817,0.000000,30.258256,34.159241,-3.900985
559.948000,0,3,container4,drone3,27.847702,4.073241,0.000000,container4,31.647555,4.738242,-1.810419,-3.799852,-0.665001,1.810419,4.261305,-2.106421,-0.185805,0.000000,30.255396,34.159255,-3.903860
559.980000,0,3,container4,drone3,27.845152,4.072214,0.000000,container4,31.647289,4.738178,-1.803582,-3.802137,-0.665963,1.803582,4.260594,-2.106470,-0.185767,0.000000,30.252770,34.158666,-3.905895
560.012000,0,3,container4,drone3,27.842408,4.071286,0.000000,container4,31.647289,4.738178,-1.803582,-3.804882,-0.666892,1.803582,4.263188,-2.106486,-0.185755,0.000000,30.249937,34.158680,-3.908743
