stamp,track_id,class,class_name,ns,est_x,est_y,est_z,gt_name,gt_x,gt_y,gt_z,err_x,err_y,err_z,err_norm,aquabot_x,aquabot_y,aquabot_z,aq_range_est,aq_range_gt,aq_range_err
528.464000,0,3,container4,drone2,27.768430,5.446201,0.000000,container4,31.790669,4.729885,-1.577012,-4.022239,0.716316,1.577012,4.379325,-2.005135,-0.196318,0.000000,30.303517,34.189338,-3.885820
528.464000,1,4,container5,drone2,30.439132,-2.499676,0.000000,container5,31.808342,-3.263803,-1.575237,-1.369210,0.764127,1.575237,2.222611,-2.005135,-0.196318,0.000000,32.525927,33.988852,-1.462925
528.496000,0,3,container4,drone2,27.751884,5.448599,0.000000,container4,31.790669,4.729885,-1.577012,-4.038785,0.718714,1.577012,4.394918,-2.005135,-0.196318,0.000000,30.287708,34.189338,-3.901629
528.496000,1,4,container5,drone2,30.436345,-2.505589,0.000000,container5,31.808342,-3.263803,-1.575237,-1.371997,0.758215,1.575237,2.222304,-2.005135,-0.196318,0.000000,32.523566,33.988852,-1.465286
528.528000,0,3,container4,drone2,27.745411,5.450768,0.000000,container4,31.790669,4.729885,-1.577012,-4.045258,0.720883,1.577012,4.401222,-2.005135,-0.196318,0.000000,30.281752,34.189338,-3.907585
528.528000,1,4,container5,drone2,30.437672,-2.507381,0.000000,container5,31.808342,-3.263803,-1.575237,-1.370670,0.756422,1.575237,2.220874,-2.005135,-0.196318,0.000000,32.525017,33.988852,-1.463835
528.564000,0,3,container4,drone2,27.741050,5.453275,0.000000,container4,31.790609,4.729885,-1.570630,-4.049559,0.723390,1.570630,4.403305,-2.005135,-0.196318,0.000000,30.277936,34.188984,-3.911048
528.564000,1,4,container5,drone2,30.441660,-2.505916,0.000000,container5,31.808287,-3.263789,-1.569120,-1.366627,0.757873,1.569120,2.214538,-2.005135,-0.196318,0.000000,32.528890,33.988513,-1.459622
528.596000,0,3,container4,drone2,27.739750,5.455312,0.000000,container4,31.790609,4.729885,-1.570630,-4.050858,0.725427,1.570630,4.404836,-2.005135,-0.196318,0.000000,30.277039,34.188984,-3.911945
528.596000,1,4,container5,drone2,30.445942,-2.506133,0.000000,container5,31.808287,-3.263789,-1.569120,-1.362344,0.757656,1.569120,2.211824,-2.005135,-0.196318,0.000000,32.533178,33.988513,-1.455335
528.628000,0,3,container4,drone2,27.737345,5.457762,0.000000,container4,31.790609,4.729885,-1.570630,-4.053264,0.727876,1.570630,4.407452,-2.005135,-0.196318,0.000000,30.275134,34.188984,-3.913851
528.628000,1,4,container5,drone2,30.449900,-2.505834,0.000000,container5,31.808287,-3.263789,-1.569120,-1.358387,0.757955,1.569120,2.209491,-2.005135,-0.196318,0.000000,32.537104,33.988513,-1.451409
528.664000,0,3,container4,drone2,27.733663,5.460407,0.000000,container4,31.790609,4.729885,-1.570630,-4.056946,0.730521,1.570630,4.411275,-2.005216,-0.196326,0.000000,30.272092,34.189066,-3.916974
528.664000,1,4,container5,drone2,30.450402,-2.505875,0.000000,container5,31.808287,-3.263789,-1.569120,-1.357885,0.757914,1.569120,2.209168,-2.005216,-0.196326,0.000000,32.537689,33.988593,-1.450904
528.696000,0,3,container4,drone2,27.730708,5.462830,0.000000,container4,31.790555,4.729886,-1.564351,-4.059847,0.732943,1.564351,4.412115,-2.005298,-0.196335,0.000000,30.269724,34.188807,-3.919083
528.696000,1,4,container5,drone2,30.450050,-2.506093,0.000000,container5,31.808238,-3.263775,-1.563109,-1.358189,0.757682,1.563109,2.205010,-2.005298,-0.196335,0.000000,32.537433,33.988347,-1.450914
528.728000,0,3,container4,drone2,27.726299,5.465537,0.000000,container4,31.790555,4.729886,-1.564351,-4.064256,0.735651,1.564351,4.416622,-2.005379,-0.196343,0.000000,30.265981,34.188889,-3.922908
528.728000,1,4,container5,drone2,30.449924,-2.506558,0.000000,container5,31.808238,-3.263775,-1.563109,-1.358315,0.757216,1.563109,2.204927,-2.005379,-0.196343,0.000000,32.537421,33.988427,-1.451006
528.760000,0,3,container4,drone2,27.724108,5.467855,0.000000,container4,31.790555,4.729886,-1.564351,-4.066447,0.737968,1.564351,4.419025,-2.005379,-0.196343,0.000000,30.264262,34.188889,-3.924627
528.760000,1,4,container5,drone2,30.450269,-2.506786,0.000000,container5,31.808238,-3.263775,-1.563109,-1.357969,0.756989,1.563109,2.204636,-2.005379,-0.196343,0.000000,32.537782,33.988427,-1.450645
528.796000,0,3,container4,drone2,27.720526,5.470137,0.000000,container4,31.790508,4.729888,-1.558178,-4.069982,0.740249,1.558178,4.420480,-2.005461,-0.196351,0.000000,30.261252,34.188643,-3.927390
528.796000,1,4,container5,drone2,30.443961,-2.509031,0.000000,container5,31.808196,-3.263760,-1.557206,-1.364235,0.754729,1.557206,2.203553,-2.005461,-0.196351,0.000000,32.531730,33.988193,-1.456463
528.828000,0,3,container4,drone2,27.716748,5.472420,0.000000,container4,31.790364,4.729911,-1.523558,-4.073616,0.742509,1.523558,4.412131,-2.006283,-0.196438,0.000000,30.258792,34.187768,-3.928976
528.828000,1,4,container5,drone2,30.438051,-2.511392,0.000000,container5,31.808071,-3.263666,-1.524240,-1.370020,0.752274,1.524240,2.183158,-2.006283,-0.196438,0.000000,32.526816,33.987375,-1.460559
528.860000,0,3,container4,drone2,27.712812,5.474520,0.000000,container4,31.790364,4.729911,-1.523558,-4.077552,0.744609,1.523558,4.416118,-2.006283,-0.196438,0.000000,30.255320,34.187768,-3.932448
528.860000,1,4,container5,drone2,30.432081,-2.513483,0.000000,container5,31.808071,-3.263666,-1.524240,-1.375989,0.750183,1.524240,2.186191,-2.006283,-0.196438,0.000000,32.521011,33.987375,-1.466364
528.892000,0,3,container4,drone2,27.708195,5.476782,0.000000,container4,31.790364,4.729911,-1.523558,-4.082169,0.746871,1.523558,4.420764,-2.006283,-0.196438,0.000000,30.251208,34.187768,-3.936560
528.892000,1,4,container5,drone2,30.433190,-2.513503,0.000000,container5,31.808071,-3.263666,-1.524240,-1.374880,0.750163,1.524240,2.185486,-2.006283,-0.196438,0.000000,32.522119,33.987375,-1.465257
528.924000,0,3,container4,drone2,27.704335,5.479040,0.000000,container4,31.790364,4.729911,-1.523558,-4.086029,0.749129,1.523558,4.424710,-2.006283,-0.196438,0.000000,30.247841,34.187768,-3.939927
528.924000,1,4,container5,drone2,30.430565,-2.513669,0.000000,container5,31.808071,-3.263666,-1.524240,-1.377506,0.749997,1.524240,2.187082,-2.006283,-0.196438,0.000000,32.519512,33.987375,-1.467864
528.960000,0,3,container4,drone2,27.698269,5.481618,0.000000,container4,31.790364,4.729911,-1.523558,-4.092095,0.751707,1.523558,4.430749,-2.006283,-0.196438,0.000000,30.242366,34.187768,-3.945402
528.960000,1,4,container5,drone2,30.427240,-2.513991,0.000000,container5,31.808071,-3.263666,-1.524240,-1.380830,0.749675,1.524240,2.189067,-2.006283,-0.196438,0.000000,32.516218,33.987375,-1.471157
528.992000,0,3,container4,drone2,27.691966,5.483854,0.000000,container4,31.790364,4.729911,-1.523558,-4.098399,0.753943,1.523558,4.436951,-2.006283,-0.196438,0.000000,30.236595,34.187768,-3.951173
528.992000,1,4,container5,drone2,30.424626,-2.514291,0.000000,container5,31.808071,-3.263666,-1.524240,-1.383444,0.749375,1.524240,2.190614,-2.006283,-0.196438,0.000000,32.513633,33.987375,-1.473743
529.024000,0,3,container4,drone2,27.685687,5.486370,0.000000,container4,31.790364,4.729911,-1.523558,-4.104677,0.756460,1.523558,4.443178,-2.006283,-0.196438,0.000000,30.230902,34.187768,-3.956866
529.024000,1,4,container5,drone2,30.422793,-2.514604,0.000000,container5,31.808071,-3.263666,-1.524240,-1.385278,0.749063,1.524240,2.191665,-2.006283,-0.196438,0.000000,32.511826,33.987375,-1.475549
529.060000,0,3,container4,drone2,27.679944,5.489096,0.000000,container4,31.790362,4.729917,-1.518219,-4.110418,0.759179,1.518219,4.447120,-2.006533,-0.196465,0.000000,30.226024,34.187780,-3.961757
529.060000,1,4,container5,drone2,30.421876,-2.515018,0.000000,container5,31.808070,-3.263650,-1.519180,-1.386194,0.748632,1.519180,2.188582,-2.006533,-0.196465,0.000000,32.511189,33.987393,-1.476204
529.092000,0,3,container4,drone2,27.673837,5.491706,0.000000,container4,31.790366,4.729923,-1.513010,-4.116529,0.761783,1.513010,4.451441,-2.006616,-0.196474,0.000000,30.220601,34.187638,-3.967038
529.092000,1,4,container5,drone2,30.417752,-2.516202,0.000000,container5,31.808076,-3.263634,-1.514251,-1.390324,0.747432,1.514251,2.187375,-2.006616,-0.196474,0.000000,32.507242,33.987260,-1.480018
529.124000,0,3,container4,drone2,27.669317,5.495434,0.000000,container4,31.790366,4.729923,-1.513010,-4.121049,0.765511,1.513010,4.456260,-2.006700,-0.196483,0.000000,30.216947,34.187723,-3.970775
529.124000,1,4,container5,drone2,30.414769,-2.516938,0.000000,container5,31.808076,-3.263634,-1.514251,-1.393307,0.746697,1.514251,2.189022,-2.006700,-0.196483,0.000000,32.504402,33.987343,-1.482941
529.156000,0,3,container4,drone2,27.665359,5.498986,0.000000,container4,31.790377,4.729929,-1.507935,-4.125018,0.769057,1.507935,4.458821,-2.006784,-0.196492,0.000000,30.213814,34.187594,-3.973780
529.156000,1,4,container5,drone2,30.413141,-2.517161,0.000000,container5,31.808087,-3.263618,-1.509455,-1.394946,0.746457,1.509455,2.186670,-2.006784,-0.196492,0.000000,32.502878,33.987222,-1.484344
529.192000,0,3,container4,drone2,27.661021,5.502786,0.000000,container4,31.790393,4.729936,-1.502995,-4.129371,0.772850,1.502995,4.461838,-2.006954,-0.196510,0.000000,30.210441,34.187563,-3.977123
529.192000,1,4,container5,drone2,30.411520,-2.517533,0.000000,container5,31.808103,-3.263602,-1.504795,-1.396583,0.746069,1.504795,2.184370,-2.006954,-0.196510,0.000000,32.501455,33.987197,-1.485741
529.224000,0,3,container4,drone2,27.657177,5.506332,0.000000,container4,31.790393,4.729936,-1.502995,-4.133216,0.776396,1.502995,4.466011,-2.007039,-0.196519,0.000000,30.207420,34.187649,-3.980229
529.224000,1,4,container5,drone2,30.410402,-2.518044,0.000000,container5,31.808103,-3.263602,-1.504795,-1.397701,0.745557,1.504795,2.184910,-2.007039,-0.196519,0.000000,32.500461,33.987280,-1.486820
529.256000,0,3,container4,drone2,27.654012,5.509886,0.000000,container4,31.790475,4.729958,-1.489017,-4.136463,0.779927,1.489017,4.464951,-2.007382,-0.196557,0.000000,30.205328,34.187467,-3.982140
529.256000,1,4,container5,drone2,30.409803,-2.518339,0.000000,container5,31.808184,-3.263554,-1.491653,-1.398381,0.745215,1.491653,2.176200,-2.007382,-0.196557,0.000000,32.500225,33.987116,-1.486891
529.288000,0,3,container4,drone2,27.649946,5.513540,0.000000,container4,31.790514,4.729966,-1.484646,-4.140568,0.783574,1.484646,4.467938,-2.007556,-0.196576,0.000000,30.202199,34.187491,-3.985292
529.288000,1,4,container5,drone2,30.408868,-2.518611,0.000000,container5,31.808221,-3.263539,-1.487559,-1.399353,0.744928,1.487559,2.173923,-2.007556,-0.196576,0.000000,32.499483,33.987143,-1.487660
529.320000,0,3,container4,drone2,27.646010,5.517096,0.000000,container4,31.790514,4.729966,-1.484646,-4.144504,0.787130,1.484646,4.472210,-2.007556,-0.196576,0.000000,30.199008,34.187491,-3.988483
529.320000,1,4,container5,drone2,30.408019,-2.519323,0.000000,container5,31.808221,-3.263539,-1.487559,-1.400203,0.744216,1.487559,2.174226,-2.007556,-0.196576,0.000000,32.498687,33.987143,-1.488456
529.356000,0,3,container4,drone2,27.642121,5.520873,0.000000,container4,31.790607,4.729983,-1.476349,-4.148486,0.790890,1.476349,4.473818,-2.007820,-0.196605,0.000000,30.196168,34.187491,-3.991323
529.356000,1,4,container5,drone2,30.407495,-2.520506,0.000000,container5,31.808310,-3.263508,-1.479813,-1.400815,0.743002,1.479813,2.168913,-2.007820,-0.196605,0.000000,32.498510,33.987150,-1.488641
529.388000,0,3,container4,drone2,27.638744,5.524353,0.000000,container4,31.790607,4.729983,-1.476349,-4.151863,0.794371,1.476349,4.477566,-2.007909,-0.196615,0.000000,30.193600,34.187580,-3.993980
529.388000,1,4,container5,drone2,30.407409,-2.521301,0.000000,container5,31.808310,-3.263508,-1.479813,-1.400901,0.742207,1.479813,2.168696,-2.007909,-0.196615,0.000000,32.498569,33.987238,-1.488669
529.420000,0,3,container4,drone2,27.635853,5.527494,0.000000,container4,31.790661,4.729991,-1.472428,-4.154808,0.797502,1.472428,4.479563,-2.007998,-0.196625,0.000000,30.191446,34.187556,-3.996109
529.420000,1,4,container5,drone2,30.407525,-2.522124,0.000000,container5,31.808361,-3.263493,-1.476165,-1.400836,0.741369,1.476165,2.165879,-2.007998,-0.196625,0.000000,32.498832,33.987217,-1.488384
529.456000,0,3,container4,drone2,27.632767,5.530559,0.000000,container4,31.790720,4.730000,-1.468661,-4.157954,0.800559,1.468661,4.481790,-2.008268,-0.196655,0.000000,30.189269,34.187725,-3.998456
529.456000,1,4,container5,drone2,30.407478,-2.523068,0.000000,container5,31.808417,-3.263479,-1.472669,-1.400939,0.740410,1.472669,2.163236,-2.008268,-0.196655,0.000000,32.499120,33.987385,-1.488265
