epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.73263,0.54941,2.81218,0.99146,0.00584,1,0.77174,0.71338,0.41263,2.69226,0.72799,0.00024442,0.00024442,0.00024442
2,12.1927,0.49428,1.2731,0.92452,0.87659,0.94424,0.96495,0.88883,0.41977,1.21734,0.72972,0.000495,0.000495,0.000495
3,17.4724,0.48789,0.89369,0.90603,0.93236,0.95602,0.99478,0.92389,0.43594,0.95793,0.74205,0.000740521,0.000740521,0.000740521
4,22.6132,0.48694,0.84721,0.90723,0.96843,0.98088,0.98625,0.90992,0.41565,0.76647,0.72943,0.000980983,0.000980983,0.000980983
5,27.8465,0.4732,0.82785,0.90605,0.97204,0.99003,0.99233,0.88711,0.52626,0.77863,0.77427,0.001067,0.001067,0.001067
6,33.1599,0.45459,0.74699,0.89756,0.98842,0.99666,0.995,0.90874,0.45439,0.6787,0.7508,0.00105601,0.00105601,0.00105601
7,38.4678,0.4519,0.70002,0.89818,0.98552,0.99429,0.99478,0.91499,0.48111,0.70628,0.76618,0.00104501,0.00104501,0.00104501
8,43.7695,0.45771,0.66626,0.89611,0.83702,0.93365,0.90075,0.8333,0.43824,0.86561,0.74887,0.00103401,0.00103401,0.00103401
9,49.1247,0.46742,0.69472,0.90563,0.99378,0.9978,0.995,0.93889,0.38496,0.53207,0.71984,0.00102301,0.00102301,0.00102301
10,54.476,0.44913,0.63399,0.90081,0.98685,0.99429,0.99459,0.92989,0.42229,0.58186,0.73709,0.00101201,0.00101201,0.00101201
11,60.1294,0.42821,0.62244,0.89079,0.99012,0.99379,0.99489,0.94043,0.37522,0.57571,0.71463,0.00100101,0.00100101,0.00100101
12,65.5371,0.44608,0.57969,0.89099,0.99057,0.99067,0.99489,0.91982,0.42953,0.49888,0.72996,0.000990012,0.000990012,0.000990012
