stamp,drone,source,x,y,z,,,,,,,,,,,,,,,,
0.54,drone3,raw,0.995265,0.59985,1.503817,,,,,,,,,,,,,,,,
0.54,drone2,raw,0.994757,-0.000153,1.50903,,,,,,,,,,,,,,,,
0.54,drone1,raw,0.995264,-0.60015,1.503703,,,,,,,,,,,,,,,,
0.56,drone3,raw,0.998844,0.599829,1.527811,,,,,,,,,,,,,,,,
0.56,drone1,raw,0.998842,-0.600171,1.527682,,,,,,,,,,,,,,,,
0.56,drone2,raw,0.998348,-0.000174,1.533018,,,,,,,,,,,,,,,,
0.58,drone3,raw,1.002305,0.599809,1.551472,,,,,,,,,,,,,,,,
0.58,drone1,raw,1.002302,-0.600191,1.551327,,,,,,,,,,,,,,,,
0.58,drone2,raw,1.00182,-0.000193,1.556672,,,,,,,,,,,,,,,,
0.6,drone3,raw,1.005469,0.599792,1.574299,,,,,,,,,,,,,,,,
0.6,drone1,raw,1.005466,-0.600208,1.574141,,,,,,,,,,,,,,,,
0.6,drone2,raw,1.004995,-0.00021,1.579494,,,,,,,,,,,,,,,,
0.62,drone1,raw,1.008196,-0.600221,1.595663,,,,,,,,,,,,,,,,
0.62,drone2,raw,1.007734,-0.000224,1.601021,,,,,,,,,,,,,,,,
0.62,drone3,raw,1.008199,0.599779,1.595831,,,,,,,,,,,,,,,,
0.64,drone3,raw,1.0104,0.599768,1.615652,,,,,,,,,,,,,,,,
0.64,drone1,raw,1.010396,-0.600232,1.615476,,,,,,,,,,,,,,,,
0.64,drone2,raw,1.009943,-0.000235,1.620839,,,,,,,,,,,,,,,,
0.66,drone3,raw,1.012023,0.599759,1.6334,,,,,,,,,,,,,,,,
0.66,drone1,raw,1.012019,-0.600241,1.633216,,,,,,,,,,,,,,,,
0.66,drone2,raw,1.011571,-0.000244,1.638584,,,,,,,,,,,,,,,,
0.68,drone3,raw,1.013056,0.599752,1.648769,,,,,,,,,,,,,,,,
0.68,drone1,raw,1.013052,-0.600248,1.648579,,,,,,,,,,,,,,,,
0.68,drone2,raw,1.012608,-0.000251,1.65395,,,,,,,,,,,,,,,,
0.7,drone3,raw,1.013519,0.599746,1.661515,,,,,,,,,,,,,,,,
0.7,drone1,raw,1.013515,-0.600254,1.66132,,,,,,,,,,,,,,,,
0.7,drone2,raw,1.013072,-0.000257,1.666693,,,,,,,,,,,,,,,,
0.72,drone3,raw,1.013449,0.599739,1.671458,,,,,,,,,,,,,,,,
0.72,drone1,raw,1.013445,-0.600261,1.671258,,,,,,,,,,,,,,,,
0.72,drone2,raw,1.013002,-0.000263,1.676633,,,,,,,,,,,,,,,,
0.74,drone2,raw,1.012448,-0.00027,1.683651,,,,,,,,,,,,,,,,
0.74,drone3,raw,1.012897,0.599732,1.678478,,,,,,,,,,,,,,,,
0.74,drone1,raw,1.012893,-0.600268,1.678272,,,,,,,,,,,,,,,,
0.76,drone3,raw,1.011914,0.599724,1.682517,,,,,,,,,,,,,,,,
